"ID","Key","Value"
"id-7290034d211e4fc7bcc48d8fa7e9c94f","Directed","false"
"id-7db4415f5e5543c2962da1d777617513","Directed","false"
"id-f879d93d0c5a4e338e35193fb9a4038b","Directed","false"
"id-a6e00924492d46cba056ef900283894d","Access_Type","Write"
"id-90ff307b0eda4c3fa3b7ff53a2a82606","Access_Type","Write"
"id-8a6a8004d2954afea27bc2ac87aef2a5","Access_Type","Access"
"id-cfd24bee8e9945d685cf7758b806efc5","Directed","false"
"id-a13b413b37974129910ef42fb51d5ddc","Directed","false"
"id-6acfa6d4d8d6435bb7f5d32f847e7b68","Directed","false"
"id-46d5a3a491ca4fd88d5384660c0f2549","Directed","false"
"id-475508bff2004023a47a43dfc5c154a4","Directed","false"
"id-ff6efaaa668841a3b3defe34c226a7d8","Directed","false"
"id-16749f62c91640379ec464c04c89922f","Directed","false"
"id-f0cef32265364323b866a8beb63d8e8c","Directed","false"
"id-d3a40a5a77ed4ec5bd6ea0de2f79fe3c","Directed","false"
"id-29e7681acb164b389f006dd1e71c1bb1","Directed","false"
"id-25a96e14a3b2498ba93a217c90b1be51","Directed","false"
"id-46177556ada64ee6a52d2b501963b846","Directed","false"
"id-6d39ddd660ad4dc8ad7d9a6c849e962a","Directed","false"
"id-caa691125cce4f4da60a81103b2b12bb","Directed","false"
"id-3f491afd21294e3ab5aa6c30c7ca4e62","Directed","false"
"id-099998b2edb6453da82732400c3c2c56","Access_Type","Write"
"id-336d4bd3c98b4587b87f6ba47680b3c6","Access_Type","Write"
