"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-5066ab30a9c54cc58cd4a2cd9971d5e5","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-a39f633d56114c65ba2d27e5effdcd26",""
"id-70bdeff842b6408cbdcb8982522626e2","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-a360ef8683bd4885b1610cf913196329",""
"id-5e7cab78dbb344a1b2c67358361bec22","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-b603650a9da44997888766b1269a8121",""
"id-87110383daf94592b1e1b7176073aaf8","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-78a5b198299a4101a51c78f960fd36ad",""
"id-9b9f279b0c494c24a9b6e7366c6baa6a","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-e7d359657bc041638348908e6e907b5c",""
"id-912dc5497774411ab087385a2562db61","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-b836dd78eee9456ca1b6a758a81b8445",""
"id-9e8b77b0932849899c13261f3bfb953c","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-1d46ac3d617e4b139330648dff18417f",""
"id-1170b23d0e4c4613b9ff42adb7de9c13","AccessRelationship","","","id-52b3f4babd954cde843e68db91b51032","id-8c89c40da55148dc8d3c84a70f18bd74",""
"id-89cf0cd44c0f47cebec6c8f7ad4bde7c","AccessRelationship","accesses","","id-0ef53ba9c53e47859e78aefe35cb9dd4","id-fe6d6b9867b8418483b7850627eecdce",""
"id-4023434aa76a4778b5d4692dfe621b60","AccessRelationship","accesses","","id-de0c0c2bce174a329e5026c0fcc7252c","id-b9ea6d3a6a4d434ea93abf049f151415",""
"id-2dee82d3e0284f85a9ad95eece88852b","AssignmentRelationship","","","id-30de907b2cb94760ac3ce96cec23d315","id-52b3f4babd954cde843e68db91b51032",""
"id-8e3bd82c85364355a7a6cd1d17254aac","AssignmentRelationship","","","id-4fd01f9e56a543c3a61d22aacaf9dddd","id-30de907b2cb94760ac3ce96cec23d315",""
"id-a2abbcd36d8e4c5fa120dd6f4a05dfa1","AssociationRelationship","accesses","","id-484d8d910398408cb81389228798e026","id-a486d122a142422a9a23886197dad155",""
"id-53717faab1814953b60a50f58357c53f","AssociationRelationship","accesses","","id-484d8d910398408cb81389228798e026","id-10ab403192a6413ab55ba05d00abea60",""
"id-29bc0e39e5d34343a744e3a3dd4f31a4","AssociationRelationship","accesses","","id-484d8d910398408cb81389228798e026","id-ba838e66a9b64aa289c10deae82f7a63",""
"id-4d54adfe04304b58b9e72733bd037e6e","AssociationRelationship","accesses","","id-484d8d910398408cb81389228798e026","id-3614a3b114bf4f2f8e8821452c414186",""
"id-b60c0fe2728c4f5e98eeaeb7d499a9f8","AssociationRelationship","accesses","","id-484d8d910398408cb81389228798e026","id-121f5fdc115f4087a23c1c78945f1ed5",""
