"ID","Key","Value"
"id-a4481e2ff24f4054a079f96751469db9","Junction_Type","Or"
"id-6ee87840d6e84192a065d4d522fa621a","Junction_Type","Or"
"id-8d696fa331854b23b1a4a539d73d079a","Junction_Type","Or"
"id-231761173dd1479ab50e6f8dd66c3260","Junction_Type","Or"
"id-97667c0fa399422e9b0005a4079d5ad0","Junction_Type","Or"
"id-8a1e7c35942b49ddb667c6603f4e38ef","Junction_Type","Or"
"id-02775f9a05e9487b930861c3a8b3a6d8","Junction_Type","Or"
"id-4d00f81b3a48410f8e01dc62a99943a8","Junction_Type","Or"
"id-a9320a212b3041c485760a7a42b5e6dd","Junction_Type","Or"
"id-794816c67fd040ebb51ec0ccbfcc0f0d","Directed","false"
"id-550f107dc96b4a81af2939d140980b21","Directed","false"
"id-a22d82c281d24ccfaf5599f0b5b96519","Directed","false"
"id-609f5e34e0e1434d893984928931b1ed","Directed","false"
"id-9353eab787324e97992094e6e70df166","Directed","false"
"id-12c72fe385d64103bd3ae6c5376691df","Directed","false"
"id-00f28e964cf44c4c8ccb9153191fdab0","Directed","false"
