"ID","Type","Name","Documentation","Source","Target","Specialization"
"d9d79d56","AccessRelationship","","","id-16f08bb9","id-4a3fd326",""
"id-867a73fe","AccessRelationship","","","id-53d89b6a","id-4a3fd326",""
"id-84f2f977","AccessRelationship","","","id-97f44d28","id-4a3fd326",""
"c68c8a74","AccessRelationship","","","id-949d0a3d","eb3c4979",""
"dd97cfea","AccessRelationship","","","id-2847b3ef","eb3c4979",""
"id-7eaa4fb1","AccessRelationship","","","id-704634d9","d9308dee",""
"id-2c4d8e71","AccessRelationship","","","id-5e488ca2","eb3c4979",""
"efde9c87","AccessRelationship","","","id-5882e12f","eb3c4979",""
"id-04b6ddf8","AccessRelationship","","","id-5b32b623","id-4a3fd326",""
"fda002fc","AccessRelationship","","","c765ebe5","d9308dee",""
"id-2acceada","AccessRelationship","","","afa7f013","eb3c4979",""
"d7643abc","AssignmentRelationship","","","afa7f013","id-2908838f",""
"a21c9277","AssignmentRelationship","","","afa7f013","id-3bda5c0d",""
"id-572b43a0","AssignmentRelationship","","","c765ebe5","id-5882e12f",""
"a81faf53","AssociationRelationship","","","id-5b32b623","id-16f08bb9",""
"id-7df6048b","AssociationRelationship","","","id-5b32b623","id-53d89b6a",""
"id-34ce3642","AssociationRelationship","","","id-5b32b623","c0980675",""
"b59f20bc","AssociationRelationship","","","id-5b32b623","id-4a3fd326",""
"d4578e94","AssociationRelationship","","","id-87c620e7","da40032d",""
"deb3033f","AssociationRelationship","","","afa7f013","eb3c4979",""
"id-02b30237","AssociationRelationship","","","c765ebe5","d9308dee",""
"id-59a2b903","CompositionRelationship","","","c0980675","id-97f44d28",""
"id-0ec73df2","CompositionRelationship","","","id-97f44d28","id-9b337041",""
"ac401a84","CompositionRelationship","","","id-2908838f","id-949d0a3d",""
"fa962fd7","CompositionRelationship","","","id-3bda5c0d","id-2847b3ef",""
"id-12752bfd","CompositionRelationship","","","id-3bda5c0d","d5c2bbd3",""
"id-3aad5f8e","CompositionRelationship","","","id-5882e12f","id-704634d9",""
"id-30939ac3","CompositionRelationship","","","id-5882e12f","id-5e488ca2",""
"id-4e52c034","FlowRelationship","","","id-9b337041","da40032d",""
"id-79f5bdcd","FlowRelationship","","","d5c2bbd3","c0980675",""
"id-1b4775ba","FlowRelationship","","","df7df6a9","be1d0c33",""
"id-8d776d44","FlowRelationship","","","be1d0c33","id-7fb19d34",""
"be648036","FlowRelationship","","","da40032d","id-5882e12f",""
"id-67ae602b","RealizationRelationship","","","id-5882e12f","da40032d",""
"id-59b7d5d5","RealizationRelationship","","","c765ebe5","id-87c620e7",""
"id-7b29c197","RealizationRelationship","","","afa7f013","id-5b32b623",""
"id-005f20db","ServingRelationship","","","id-87c620e7","df7df6a9",""
"c8a77f97","ServingRelationship","","","id-16f08bb9","be1d0c33",""
"aa874906","ServingRelationship","","","id-3bda5c0d","id-7fb19d34",""
"db2b6a63","ServingRelationship","","","id-87c620e7","id-5b32b623",""
"id-9ff41bdb","ServingRelationship","","","afa7f013","c765ebe5",""
