"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-b7601ec3-c55c-4677-a0ba-0eef31915036","AccessRelationship","","","id-45add4f7-0149-4891-95c7-ae9355d5b110","id-99bbb744-5d1a-406e-9c72-2b6cd31849e0",""
"id-661a8e52-6b7f-4a17-918a-ea0002990062","AccessRelationship","","","id-f3d1cef9-94ab-496f-9bcb-2d177248b370","id-806ac701-642d-46d3-8512-5eba522731b2",""
"id-5467e143-3123-4632-b0a7-5a6a8b4bf1ee","AccessRelationship","","","id-9ef05b16-f909-4dcb-893c-49da134287a7","id-68b7baf9-8b94-4a1f-9522-37c875357797",""
"id-eb980672-5662-4560-bc3c-5d8d78cccb31","AccessRelationship","","","id-6f5fe7c8-cee9-4403-b1e4-00bb3ce304b8","id-68b7baf9-8b94-4a1f-9522-37c875357797",""
"id-5574cdef-b5a0-434f-a973-62ff77cc97ed","AccessRelationship","","","id-f2dd34e4-5e58-46bb-b045-5bacdf23340e","id-66f6835c-a46e-4162-ab78-517902390270",""
"id-bd8af61b-3c8d-46d6-899d-7338d38cee89","AccessRelationship","","","id-4e7849f8-5a95-4c6b-9558-788f9bf3f076","id-66f6835c-a46e-4162-ab78-517902390270",""
"id-3bf9e68e-3959-4100-b02c-914962ea1444","AggregationRelationship","","","id-527c1878-5921-4bfc-8b75-ed1904cfaa9c","id-4dd610d4-a432-4623-af7d-545b30980ea5",""
"id-c43d060f-50a8-42cd-80ae-80388dca56f1","AggregationRelationship","","","id-527c1878-5921-4bfc-8b75-ed1904cfaa9c","id-ad2f240f-7055-47f9-b7db-417ffe7930e3",""
"id-7c7a9396-4713-4607-8154-a4c7d033e8c2","AssociationRelationship","","","id-1338c251-6310-46a7-bbf7-9a689a0089ff","id-5204d1d4-5814-4315-8d2a-b56c02d4ceba",""
"id-de25389c-9bb1-452d-8a18-3a1698a9bffe","AssociationRelationship","","","id-1338c251-6310-46a7-bbf7-9a689a0089ff","id-f58a25de-2167-46d7-9918-9a06ae8a371f",""
"id-61e6e6f3-10ba-42de-99fa-baad9f57f73c","AssociationRelationship","","","id-1338c251-6310-46a7-bbf7-9a689a0089ff","id-593dd0e0-0ea1-4303-b078-df43aadbf03b",""
"id-c0446494-56c9-4b63-9e59-db501a9d3e41","AssociationRelationship","","","id-06f75e24-999a-471a-83d4-398af3cf19c8","id-df3995fb-bd9a-4a1d-99e8-da995634f938",""
"id-635d517f-4f6b-40c7-8fe5-4758365b15c9","AssociationRelationship","","","id-06f75e24-999a-471a-83d4-398af3cf19c8","id-c20d36e8-91b9-4227-a6f4-9f64ab6cb02a",""
