"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-784f9180-d195-4802-95d9-bbe5a81720da","FlowRelationship","","","id-04735596-c700-40f5-87da-e19eb07be05c","b4fbcd62-9643-455e-bafe-edf26d7f6145",""
"f44edbbb-1ec9-4cdb-831f-e76833374245","FlowRelationship","","","id-9207953b-4b15-4fd8-b0c0-91d0ae134b9d","b4fbcd62-9643-455e-bafe-edf26d7f6145",""
"id-1757b2ef-d81c-4372-80ee-82ba32d66396","FlowRelationship","","","b4fbcd62-9643-455e-bafe-edf26d7f6145","id-9207953b-4b15-4fd8-b0c0-91d0ae134b9d",""
"id-4ffe8e7c-b1e5-4a4d-ba5a-ca3f45b71c6d","FlowRelationship","","","b4fbcd62-9643-455e-bafe-edf26d7f6145","id-04735596-c700-40f5-87da-e19eb07be05c",""
"id-5867f96a-ffb1-4ac1-b0ab-f9634b099970","FlowRelationship","Ideas and results","","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b","id-04735596-c700-40f5-87da-e19eb07be05c",""
"id-67f653b8-957d-439a-8ae2-d6cf2920e8e4","FlowRelationship","Ideas and results","","id-9207953b-4b15-4fd8-b0c0-91d0ae134b9d","id-04735596-c700-40f5-87da-e19eb07be05c",""
"id-03d9bb01-564b-44a3-9103-08f83c28cb7f","FlowRelationship","Information","","id-3da56c17-2e64-4273-a432-9a8354668708","id-04735596-c700-40f5-87da-e19eb07be05c",""
"id-0991704d-3e18-4e28-b299-aea7249ecb50","FlowRelationship","Information","","id-3da56c17-2e64-4273-a432-9a8354668708","id-9207953b-4b15-4fd8-b0c0-91d0ae134b9d",""
"bfe96371-2468-4333-a614-2cde19144470","FlowRelationship","Information","","id-3da56c17-2e64-4273-a432-9a8354668708","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b",""
"a7c92d13-8f15-4557-8abf-973ba839616b","FlowRelationship","Inputs","","id-66de7049-0b04-4ecd-88b7-20dc6fa0bdec","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b",""
"id-8a1200e9-a407-4db3-a6e1-55f471c1523f","FlowRelationship","Needs","","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b","b4fbcd62-9643-455e-bafe-edf26d7f6145",""
"id-655f7d81-42d5-4c4b-b6a7-caf766ff533b","FlowRelationship","New capabilities","","id-9207953b-4b15-4fd8-b0c0-91d0ae134b9d","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b",""
"id-0ae8a519-e0e5-4fef-ac6a-2d27f85d4914","FlowRelationship","Plans","","id-04735596-c700-40f5-87da-e19eb07be05c","id-9207953b-4b15-4fd8-b0c0-91d0ae134b9d",""
"f54ef79a-b805-47b5-bf3d-bbe38b9bc8b0","FlowRelationship","Plans","","id-04735596-c700-40f5-87da-e19eb07be05c","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b",""
"id-0231dc9e-f931-479c-818a-7d8597a1ba30","FlowRelationship","Plans","","id-04735596-c700-40f5-87da-e19eb07be05c","b4fbcd62-9643-455e-bafe-edf26d7f6145",""
"id-5927466e-b4c2-4bd5-bdc3-44feac9b4833","FlowRelationship","Product","","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b","id-8ddb5efd-71f1-49e1-9a0d-9899c1851d50",""
"id-66314469-ee9b-410d-89c3-9333dc29e426","FlowRelationship","Requirements","","id-8ddb5efd-71f1-49e1-9a0d-9899c1851d50","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b",""
"de05d65c-50da-4cf3-a050-ec4ad34f1407","FlowRelationship","Resources","","b4fbcd62-9643-455e-bafe-edf26d7f6145","bcb9d5fa-8f76-42a8-b839-c3a2b1ee805b",""
"id-6cbf2f92-27fb-4b9d-beb2-794598348a8e","FlowRelationship","Resources","","b4fbcd62-9643-455e-bafe-edf26d7f6145","id-3da56c17-2e64-4273-a432-9a8354668708",""
"id-580d168a-52de-408a-966a-49b086675ed1","FlowRelationship","Resources","","id-3da56c17-2e64-4273-a432-9a8354668708","b4fbcd62-9643-455e-bafe-edf26d7f6145",""
