"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-08d3f47a","AssociationRelationship","","","id-7a988c79","e9744c3c",""
"a7bb2052","AssociationRelationship","","","id-6facd130","id-7c74ca73",""
"id-9eb80472","AssociationRelationship","","","ffadcc90","id-8946bd5d",""
"id-49e1a23d","AssociationRelationship","","","e9744c3c","d115c193",""
"id-6a9b9861","AssociationRelationship","","","ad128bd9","d9ba67a4",""
"id-0f03b429","AssociationRelationship","","","id-88bac790","d115c193",""
"b51c8dc3","AssociationRelationship","","","e5495b8b","id-3f1c3050",""
"id-9c36184f","AssociationRelationship","","","d9ba67a4","a46e0c54",""
"c28dcec1","AssociationRelationship","","","id-8946bd5d","e5495b8b",""
"ae5bb3f4","AssociationRelationship","","","id-7c74ca73","id-9c835785",""
"cf0e4b54","AssociationRelationship","","","d9ba67a4","e9744c3c",""
"id-89a10e99","AssociationRelationship","","","ad2acebe","d9ba67a4",""
"f0fb2ee0","AssociationRelationship","","","id-9c835785","id-8946bd5d",""
"aabc2292","AssociationRelationship","","","e9744c3c","id-5c3cfdd6",""
"b15a69bc","AssociationRelationship","","","e5495b8b","id-9c835785",""
"d2ad493f","AssociationRelationship","","","id-6facd130","e5495b8b",""
"id-028f325b","AssociationRelationship","","","e9744c3c","id-89d3e96d",""
"a2b137b4","AssociationRelationship","","","id-7a988c79","id-88bac790",""
"dea54d91","AssociationRelationship","","","ad2acebe","id-7a988c79",""
"id-0b672723","AssociationRelationship","","","id-7c74ca73","id-2fc5b6e4",""
"id-68ea0739","AssociationRelationship","","","id-7c74ca73","ffadcc90",""
"ab18e7e7","AssociationRelationship","","","id-2fc5b6e4","id-9c835785",""
"id-35a95606","AssociationRelationship","","","ffadcc90","id-6facd130",""
"id-52fb550f","AssociationRelationship","","","id-9c835785","id-3f1c3050",""
"id-578d107d","AssociationRelationship","","","e5495b8b","ad128bd9",""
"id-9096a632","AssociationRelationship","","","id-89d3e96d","id-9c835785",""
"id-73cd15de","CompositionRelationship","","","id-94eba15e","id-6facd130",""
"id-3d3e3c49","CompositionRelationship","","","id-87a71493","a46e0c54",""
"d0f43564","CompositionRelationship","","","id-94eba15e","id-8946bd5d",""
"id-2421dc6f","CompositionRelationship","","","id-87a71493","ad2acebe",""
"id-5a636648","CompositionRelationship","","","id-94eba15e","id-9c835785",""
"id-3a69e2cc","CompositionRelationship","","","id-87a71493","e9744c3c",""
"id-32e0cfab","CompositionRelationship","","","id-87a71493","d9ba67a4",""
"da246599","CompositionRelationship","","","id-94eba15e","id-3f1c3050",""
"id-9bf08870","CompositionRelationship","","","id-87a71493","id-7a988c79",""
"id-1c9dd4b7","CompositionRelationship","","","id-87a71493","d115c193",""
"id-88a2f4b2","CompositionRelationship","","","id-94eba15e","id-7c74ca73",""
"c678c9ff","CompositionRelationship","","","id-94eba15e","ffadcc90",""
"id-87046248","CompositionRelationship","","","id-94eba15e","e5495b8b",""
"id-2ce796c1","CompositionRelationship","","","id-94eba15e","id-2fc5b6e4",""
"id-13708aea","CompositionRelationship","","","id-87a71493","id-88bac790",""
"e81a1c38","CompositionRelationship","","","id-87a71493","id-5c3cfdd6",""
"bda0d1d5","FlowRelationship","","","id-540e6303","a46e0c54",""
"f551c190","FlowRelationship","","","f1a98831","id-3f1c3050",""
"id-4bf96c6f","FlowRelationship","","","f1a98831","id-6bf6b658",""
"id-0fb3f505","FlowRelationship","","","id-6bf6b658","ad128bd9",""
"dea703b9","FlowRelationship","","","id-6bf6b658","id-540e6303",""
"af446e0f","FlowRelationship","","","id-60f8e588","id-1bc4bfdf",""
"id-365aa479","FlowRelationship","","","id-1bc4bfdf","id-89d3e96d",""
"d781fe50","FlowRelationship","","","id-1bc4bfdf","f1a98831",""
"id-65510127","FlowRelationship","get data(request-responce)","","id-3f1c3050","f1a98831",""
"id-172f24fe","FlowRelationship","get data(request-responce)","","id-5c3cfdd6","id-60f8e588",""
