"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-a406146b-3868-402f-b13a-3fb89821cd8b","AccessRelationship","","","id-dcd94610-05de-4d5e-83d0-fe06f6eb8af2","id-EAID_592E4A1B_AECE_4df1_B041_78794B188CEB",""
"id-a2867271-9729-4591-9cc6-83da06ef71cf","AssignmentRelationship","","","id-3368f8a1-e4cd-47cd-8a4f-fbeaf7c4d078","id-dcd94610-05de-4d5e-83d0-fe06f6eb8af2",""
"id-EAID_0043ED90_37F9_498b_AC20_B5848C861CC1","AssociationRelationship","","","id-EAID_F6337E6F_1ADB_4635_B95C_C97E950E48AB","id-EAID_BF674FAB_E0F7_428c_9CD3_448F2720AFD8",""
"id-EAID_ADF52DC1_45F8_4ed8_A676_57049A6FD446","AssociationRelationship","","","id-EAID_8CAF5D15_7FF2_4c64_A50C_A338C28E0E48","id-EAID_856197AB_89D7_408f_A241_D62ECD35428D",""
"id-EAID_004F3424_C9B3_486f_A5AF_6E09B497D668","AssociationRelationship","","","id-EAID_958E8654_0493_42d1_A171_9855558B0094","id-EAID_89B20AD6_DE12_4165_8F1B_6393A44B2A29",""
"id-EAID_E37EAD61_1FB6_4c8e_B989_1B8F9A0E33C4","AssociationRelationship","","","id-EAID_958E8654_0493_42d1_A171_9855558B0094","id-EAID_359D4A2D_2F06_4318_A414_90286E4B317E",""
"id-EAID_5A4B9FCE_2866_49b0_A4A3_F1203F94AC08","AssociationRelationship","","","id-EAID_F6337E6F_1ADB_4635_B95C_C97E950E48AB","id-EAID_078EF63D_1A42_4dbd_B6A3_EA174BB28945",""
"id-EAID_F26BC060_A3BD_4771_B932_3A56CE9D96B1","AssociationRelationship","","","id-EAID_530769BF_2344_4774_9F94_C7A1FD8D14D1","id-EAID_832B5704_30FC_4c80_B9D2_9031D0728938",""
"id-87c8ba78-8286-4602-b78e-fe10c6dbd195","AssociationRelationship","","","id-ae8d1405-0ea0-4cfd-bfb1-e20ec27fa560","id-dc373353-ef70-45bd-a7e7-ca385d825798",""
"id-91a983ad-af40-4650-ae28-07f20c939773","AssociationRelationship","","","id-dc373353-ef70-45bd-a7e7-ca385d825798","id-aac57e1e-ac67-4635-a4e6-6cfdf045159c",""
"id-2fe99e19-bd63-4697-b6d0-02da51875f57","AssociationRelationship","","","id-aac57e1e-ac67-4635-a4e6-6cfdf045159c","id-ae8d1405-0ea0-4cfd-bfb1-e20ec27fa560",""
"id-85661900-b3d2-41a8-8fa1-28ed2da202cd","AssociationRelationship","","","id-dc373353-ef70-45bd-a7e7-ca385d825798","id-8aebbaed-02ee-42b5-8d14-c53fb666dc8d",""
"id-8a850bf4-172d-440f-9557-bc165c8dfd07","AssociationRelationship","","","id-dc373353-ef70-45bd-a7e7-ca385d825798","id-0de18129-622f-4075-9e0c-669c599fcc08",""
"id-103ceff2-dcf8-4418-a3c9-543f5243f5c4","AssociationRelationship","","","id-dc373353-ef70-45bd-a7e7-ca385d825798","id-11d439ad-367d-4884-b476-4874cbb13c59",""
"id-970bea32-8323-49a7-9e64-d7e39a73b376","CompositionRelationship","","","id-b175ede3-4967-4d95-bcb9-c239d9e9d63f","id-d7ac89f7-bc23-450a-8407-0e6393676bad",""
"id-30e93568-d7c9-43b7-b78f-58cf76cc72c7","CompositionRelationship","","","id-8e01eb5f-f67a-4553-995a-6fc12616a1a7","id-aafca714-a8ac-4d9a-a1d4-304823a00774",""
