"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-143c1faa6b7242018482ad0bada31f53","AccessRelationship","","","id-1e7d1230037b49928fe88e629888bc16","id-3b32bcd6e9964543ab405604f89c93a9",""
"id-4bd8254d7fc644d1b4af7b7bdbb41c95","AccessRelationship","","","id-dd826f656cb44d0eb8e49e234d6574cb","id-3b32bcd6e9964543ab405604f89c93a9",""
"id-50bc9c9547c34461991e17c8d91664af","AccessRelationship","","","id-1e7d1230037b49928fe88e629888bc16","id-901fcb854650496faef26384c65563d9",""
"id-5ea94577729043fc87e0cb5392521011","AggregationRelationship","","","id-1028e8ce0cb2424e8fbdf4d25c6b4aca","id-f65e837d0345490fb964c97a0ffd40a1",""
"id-26fdb246b7604b3aa59dfc5cd9838628","AggregationRelationship","","","id-1028e8ce0cb2424e8fbdf4d25c6b4aca","id-e6e60f09698d461f823764f33412f313",""
"id-b4806011981441fbb85448e9ec7074d4","AggregationRelationship","","","id-106a7c8719fc44cda09ac19275d3d851","id-2aeaf4e8f6644cc6bd4cd92edaa5f32c",""
"id-f442cccadbe645979748786b687ad97b","AggregationRelationship","","","id-106a7c8719fc44cda09ac19275d3d851","id-e6e60f09698d461f823764f33412f313",""
"id-edc297df168443b8adc3d49275bb59dc","AssignmentRelationship","","","id-f65e837d0345490fb964c97a0ffd40a1","id-dd826f656cb44d0eb8e49e234d6574cb",""
"id-a50236c3c46249e596b109fd08ab0c32","AssignmentRelationship","","","id-580f0bae28574f888d91a3dd48086a8e","id-9fbc284e36a04852ac93381f2de166b5",""
"id-430798d34b51468c9672a13f788557e4","AssignmentRelationship","","","id-580f0bae28574f888d91a3dd48086a8e","id-85c9d14a495b45a3a915817c8cad62ea",""
"id-344379de95fa4137b930351dfbe7bf30","AssignmentRelationship","","","id-2aeaf4e8f6644cc6bd4cd92edaa5f32c","id-c82dc96261a44c008cf6cae3e449d346",""
"id-701bfcddeb084ed89098168cd27d760d","AssociationRelationship","","","id-2eda353c048c443ebfcb5f5e4b531271","id-1f9bde9ec48b48958e7de48e7379079e",""
"id-573a6e064691468e99496126ac6e0f05","AssociationRelationship","","","id-c8e46c49860545b8866205a9f9fbf413","id-95d64a8e039642cb9be8251d35d099dd",""
"id-77e5acd8c3924819bd11539dc22ea6b1","AssociationRelationship","","","id-c8e895ce791e4379b8eca3aa96c9f33a","id-5021b71eb0c84bd383b4547afc640f5f",""
"id-32e12436c2184cbaa424025bbffe20a5","AssociationRelationship","","","id-ba07c75fd5474aa7a2aa9eee82aabb90","id-e88f3c9ee0384a5c94b81ef2856d7b9c",""
"id-f0764f9f2bb148938640811338b81ded","FlowRelationship","","","id-85c9d14a495b45a3a915817c8cad62ea","id-2eda353c048c443ebfcb5f5e4b531271",""
"id-5cb9d832dcde4c68af05f844839b1e2e","FlowRelationship","","","id-9fbc284e36a04852ac93381f2de166b5","id-2eda353c048c443ebfcb5f5e4b531271",""
"id-1b14432ddfcd4e44be6c5df3b45c3f8b","FlowRelationship","","","id-85c9d14a495b45a3a915817c8cad62ea","id-9fbc284e36a04852ac93381f2de166b5",""
"id-c5b7d5f3f8004dfd8e9c4683e60d5f05","FlowRelationship","","","id-9fbc284e36a04852ac93381f2de166b5","id-c82dc96261a44c008cf6cae3e449d346",""
"id-45a260d4b73c4ff8aadf771babb5562e","FlowRelationship","","","id-85c9d14a495b45a3a915817c8cad62ea","id-c8e46c49860545b8866205a9f9fbf413",""
"id-f9a7c7de360b498582eab8abf306e568","FlowRelationship","","","id-9fbc284e36a04852ac93381f2de166b5","id-ba07c75fd5474aa7a2aa9eee82aabb90",""
"id-f14bc26c9d91489ca5f7c5574973e0ed","FlowRelationship","","","id-9fbc284e36a04852ac93381f2de166b5","id-c8e46c49860545b8866205a9f9fbf413",""
"id-9d2e27fd323e4a43ada224e3ad0a7cbe","TriggeringRelationship","","","id-dd826f656cb44d0eb8e49e234d6574cb","id-9fbc284e36a04852ac93381f2de166b5",""
