"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-f7d173ee8a2840769608bf936b28607a","AccessRelationship","","","id-8c89445141e1431393b3049699696991","id-00431916c2b24b0b9d3a20f1613e4f56",""
"id-671501ed529e42709213b152916db380","AccessRelationship","","","id-8c89445141e1431393b3049699696991","id-e809c1c7c70743eabefc9b4dc59f88de",""
"id-b12c788c5a8f4104ba9e10b2d1ab175f","AccessRelationship","","","id-cbd90c907fd348068760f71ec70f7191","id-00431916c2b24b0b9d3a20f1613e4f56",""
"id-10e7579e140e46baa0cbaeb47acafe9a","AccessRelationship","","","id-cbd90c907fd348068760f71ec70f7191","id-f7d48c6f13f84ac4a87a7a742933c4a4",""
"id-18fe4ec4b66841c485d583b23f9e3ba3","AggregationRelationship","","","id-7d66fc092102452aad99c94a09aad3f3","id-11f5d981acb44ae5979bc2e621b7baa8",""
"id-c5db1a1345cb4cb18a3f122d41c7d728","AggregationRelationship","","","id-9664a549d5eb4f299c9c090794e57c61","id-11f5d981acb44ae5979bc2e621b7baa8",""
"id-f88618f8beac44d0b2408f15afe4e5a9","AggregationRelationship","","","id-68167f64cd0846f395a2537ec8bc31b4","id-11f5d981acb44ae5979bc2e621b7baa8",""
"id-ff9bd446bce641a6bc7772dd34c31569","AggregationRelationship","","","id-f708d7fe72b3485cabe7298ffe367c9a","id-11f5d981acb44ae5979bc2e621b7baa8",""
"id-5a07f5bddf8f49788bb08bf499c2c878","AssociationRelationship","","","id-18ccbd7fb9e34d6daf96a695703afaf3","id-673400994d6048d68f6150bdca2b84d3",""
"id-d2a0540d7af34421a9f8cf16f562af27","AssociationRelationship","","","id-e29e8603763b43df98486d02213cbb10","id-18fe4ec4b66841c485d583b23f9e3ba3",""
"id-e97bd23388074466a61f1165f5cf360c","AssociationRelationship","","","id-aa6fb008658b45d783c3581dc7bce88c","id-c5db1a1345cb4cb18a3f122d41c7d728",""
"id-9c0265f7014f4cf69afb735564c202bf","AssociationRelationship","","","id-c340b5124d884d18887788dd5e7db10a","id-f88618f8beac44d0b2408f15afe4e5a9",""
"id-68548a18fdd6449bb0bd686eb28c5104","AssociationRelationship","","","id-b27b2d2da4d9442b9fd17f8575a46884","id-ff9bd446bce641a6bc7772dd34c31569",""
"id-0cddca3e7fb147ecac7e5142a3a2237c","FlowRelationship","","","id-11f5d981acb44ae5979bc2e621b7baa8","id-67464c3d09aa4d71a210161aca605610",""
"id-673400994d6048d68f6150bdca2b84d3","FlowRelationship","","","id-67464c3d09aa4d71a210161aca605610","id-8c89445141e1431393b3049699696991",""
"id-de9f150086c44f8e9b8cfa14fb7c3e2e","SpecializationRelationship","","","id-5aa201f964414014bd6ad2b0bbacb354","id-11f5d981acb44ae5979bc2e621b7baa8",""
"id-c84a5760aba94931a36aa00886ad9dc2","SpecializationRelationship","","","id-7d66fc092102452aad99c94a09aad3f3","id-fd201fec76404b6686c41da3fa4933e2",""
"id-8f44f19d0d704ae3bcf7dc1b8d429c89","SpecializationRelationship","","","id-9664a549d5eb4f299c9c090794e57c61","id-fd201fec76404b6686c41da3fa4933e2",""
