"ID","Type","Name","Documentation","Source","Target","Specialization"
"1d9b032b","AccessRelationship","","","2d23d800","78b1a7f3",""
"d5431091","AccessRelationship","","","9c583fc9","f14949dc",""
"d36701d1","AccessRelationship","","","85055ddd","3aa1c27f",""
"18ad80d4","AccessRelationship","","","a530f9df","70e34a08",""
"da79a6e6","AssignmentRelationship","","","e37c6b18","46ccf096",""
"8dcaffbd","AssignmentRelationship","","","e37c6b18","aec6d2a8",""
"c5f4f9c4","AssignmentRelationship","","","2d23d800","1a1850f5",""
"0b9e7b59","AssignmentRelationship","","","e37c6b18","b94c85b2",""
"9a25ace1","AssignmentRelationship","","","2d23d800","aec77a30",""
"3ba00dc4","AssignmentRelationship","","","85055ddd","7b23db29",""
"ba083aae","AssignmentRelationship","","","a530f9df","85cea9b4",""
"8929c5ae","AssignmentRelationship","","","2d23d800","66b7c2b8",""
"0665ad8f","AssignmentRelationship","","","2583a890","a83ae920",""
"c0d8b1a6","AssignmentRelationship","","","7b23db29","92411f98",""
"6cc44007","AssignmentRelationship","","","5ea4b605","8259bbe0",""
"270821fb","AssignmentRelationship","","","a530f9df","5ea4b605",""
"c0f8f6b5","AssignmentRelationship","","","85055ddd","34196ee9",""
"f57a7629","AssociationRelationship","","","9c583fc9","59df0a7b",""
"5e5f2193","AssociationRelationship","","","9c583fc9","dc30d577",""
"03b958c5","AssociationRelationship","","","7e195cfd","90a3b8c1",""
"b394c06a","AssociationRelationship","","","7f2fcbe3","4389bc7b",""
"53e94ad8","AssociationRelationship","","","e824efb9","f4a31fea",""
"991b9dd0","AssociationRelationship","","","9c583fc9","44356c0a",""
"4d5cb0d9","AssociationRelationship","","","f14949dc","f14949dc",""
"a7bf9578","CompositionRelationship","","","7b23db29","06871acf",""
"ebf1a847","CompositionRelationship","","","aec77a30","94977c0c",""
"7cb72675","CompositionRelationship","","","46ccf096","911b4163",""
"049b1a27","CompositionRelationship","","","85cea9b4","3c5c011d",""
"5b984c33","CompositionRelationship","","","aec6d2a8","02a9814a",""
"89444a8f","CompositionRelationship","","","85cea9b4","abcfe7ef",""
"9ed8d3e8","CompositionRelationship","","","66b7c2b8","f9b33798",""
"676ce17d","CompositionRelationship","","","1a1850f5","3cdfb8c6",""
"c8e10eea","CompositionRelationship","","","7e195cfd","4389bc7b",""
"0d103dd7","CompositionRelationship","","","90a3b8c1","617f9d89",""
"076f09cf","CompositionRelationship","","","f4a31fea","753fb32c",""
"9652ee33","CompositionRelationship","","","2d23d800","9c583fc9",""
"b0022f33","CompositionRelationship","","","e824efb9","7e195cfd",""
"38030792","CompositionRelationship","","","7b23db29","60a53650",""
"eb0df37b","CompositionRelationship","","","b94c85b2","3b18d5c2",""
"4e0bea8b","CompositionRelationship","","","2583a890","4c221f66",""
"18dfbcc6","CompositionRelationship","","","2583a890","e279b9d1",""
"48514f31","CompositionRelationship","","","5ea4b605","ef021f0d",""
"8a9de115","CompositionRelationship","","","5ea4b605","c764f18d",""
"49326995","CompositionRelationship","","","5ea4b605","d5010bf6",""
"a2b301da","CompositionRelationship","","","2d23d800","2d23d800",""
"750101f2","CompositionRelationship","","","34196ee9","6dd3fe66",""
"47583807","FlowRelationship","","","90a3b8c1","f4a31fea",""
"963551ac","FlowRelationship","","","f4a31fea","720715ae",""
"b64ce958","FlowRelationship","","","7f2fcbe3","90a3b8c1",""
"0114bd10","FlowRelationship","","","44356c0a","7b23db29",""
"7a315866","FlowRelationship","","","60a53650","aec77a30",""
"2266210a","FlowRelationship","","","44356c0a","aec77a30",""
"a0943c28","FlowRelationship","","","94977c0c","7b23db29",""
"366fa6ce","FlowRelationship","","","60a53650","34196ee9",""
"f1c838d1","FlowRelationship","","","6dd3fe66","5ea4b605",""
"fe62e34c","RealizationRelationship","","","e37c6b18","9c583fc9",""
"5d8c1d74","RealizationRelationship","","","2d23d800","9c583fc9",""
"a09a73a8","ServingRelationship","","","aec77a30","06871acf",""
"f7604021","ServingRelationship","","","e37c6b18","7f2fcbe3",""
"2fd1bf71","ServingRelationship","","","44356c0a","720715ae",""
"c660fc1d","ServingRelationship","","","85055ddd","90a3b8c1",""
"01abf79f","ServingRelationship","","","dc30d577","3cdfb8c6",""
"1e29e060","ServingRelationship","","","44356c0a","94977c0c",""
"634d9262","ServingRelationship","","","a530f9df","f4a31fea",""
"3b998b13","ServingRelationship","","","1a1850f5","3c5c011d",""
"ae45c02a","ServingRelationship","","","aec77a30","60a53650",""
"fc1a7fcd","ServingRelationship","","","59df0a7b","7f2fcbe3",""
"6eaa9b9c","ServingRelationship","","","59df0a7b","90a3b8c1",""
"97048310","ServingRelationship","","","59df0a7b","f4a31fea",""
"40c06c79","ServingRelationship","","","2d23d800","c3416fcb",""
"fb4155f6","SpecializationRelationship","","","85055ddd","2d23d800",""
"abaacb2d","SpecializationRelationship","","","a530f9df","2d23d800",""
"9c7b4017","TriggeringRelationship","","","a83ae920","4c221f66",""
"30d5c557","TriggeringRelationship","can't exec","","92411f98","60a53650",""
"5b905a04","TriggeringRelationship","can't exec","","8259bbe0","c764f18d",""
"a963369f","TriggeringRelationship","i can exec request","","a83ae920","e279b9d1",""
"7595c8d6","TriggeringRelationship","I exec request","","92411f98","06871acf",""
"ee83cf3a","TriggeringRelationship","I exec request","","8259bbe0","ef021f0d",""
