"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-3905a7ada50245acb97dcff3018fa872","AggregationRelationship","","","id-90261a52f29d414197a624bfe1624fca","id-f7da8d16078d4ee0a5a45f120b90faa9",""
"id-78a480a6b0ca48d79f5911e7528e2fd5","AggregationRelationship","","","id-f7da8d16078d4ee0a5a45f120b90faa9","id-2245b191a825443584383dd5b09dae72",""
"id-e3cbbf0b28684f1598c12ea0571ff12a","AggregationRelationship","","","id-90261a52f29d414197a624bfe1624fca","id-b6a704e878d7425cbcc58b749ee71a04",""
"id-568d89ce3cf24187b74a328289e813a8","AggregationRelationship","","","id-90261a52f29d414197a624bfe1624fca","id-6670e30315994409a6ec2c7f38ad7542",""
"id-a9b9d512f7c24877b0f9a08d0e5c7f50","AggregationRelationship","","","id-f7da8d16078d4ee0a5a45f120b90faa9","id-075baf59effb469db58611846d9143e0",""
"id-9e4e92c7b0bf4f20bc21c4e184328893","AssignmentRelationship","","","id-3b8fe32b5f3f4f598f4ea6866f4dd7e0","id-fb4eb87d52e54e24a7546cc2b2eb3ed0",""
"id-55aaa222e12a4bfea949488d059c3a30","AssignmentRelationship","","","id-0d9a152a37f5437e90ae37e053041abe","id-bdc6adf323a94ac8ae5a137b0e866ec5",""
"id-2c47603af1d74a0c86028c4ab01a40cd","AssociationRelationship","","","8e4291ac-c9db-4b22-b510-ed9444955f13","id-39a336dedad94299afeb7eaf5e0d7496",""
"id-bfaf587cc57d4366819f8b2182a571fe","AssociationRelationship","","","id-39b2ae29b1964d22bd9d7fc3f8abfebe","id-39a336dedad94299afeb7eaf5e0d7496",""
"id-bfba808306c14e939cacb65ff6b1b67d","AssociationRelationship","","","id-07659cdbcbec48eba218c1a72fa6fb18","id-39a336dedad94299afeb7eaf5e0d7496",""
"id-a3dc8a0d55a84920a10a2b5e08220574","AssociationRelationship","","","id-23f28335374f49208cf1a2fa3299b78a","id-6e339f0fec064e6e8edb46978b1e4d89",""
"id-aa59b6cf55464e36bf4e55eccf1e2d85","AssociationRelationship","","","id-df0e3eac01874ec2bed9622f31d3c34d","id-9f30c8075e1d4f919036446f1a21b561",""
"id-b3046cc1c72b494e8e63e84cae333239","CompositionRelationship","","","id-df083d548605455bb28b9c2a798df80f","id-8bb16ea2019d439cb22cf9f985c8d5ef",""
"id-bf6f26b413dc447a87ff6137465effff","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-27c62af6d5e342f98e3e425dae6f4c37",""
"id-2e006cb8d1dd44afb08bd7ca0ec1b7c8","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-a6fce31b0e8b4e11ad7f3fad8b78900e",""
"id-629663adb1794d65b09dc609161bb50c","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-3bf938c80d8346c2879be5476065dbab",""
"id-c96607960a124b03831f6a783f8aaa33","CompositionRelationship","","","id-df083d548605455bb28b9c2a798df80f","id-2d29e444c0b0480b96bef0376882f0cf",""
"id-afdcd31d28e24dde9c992a26cf96c50d","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-d04f2d93e1ae414cac7475ac9d3b6c7b",""
"id-076e7f4379c649459d2b34d09b5d45b5","CompositionRelationship","","","id-9d95b8fe025b4d2d9e2abd116730f15e","id-4555926650964bb9a9e55f2ba9c5a2f9",""
"id-064544fe83d94b23826303b178fe0236","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-e0f0c0704e074deca20cf33b82d228ad",""
"id-62d8f4120a194ff9b2a4cc55adf3a305","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-a499a11f352d41858bf3d5f3b44fb87c",""
"id-77d67f80429547dab173433c469e9160","CompositionRelationship","","","id-12673f544ccb414fa146ddf6bd57abfe","id-749be72b93a14ea78a59d80baf67ea55",""
"id-6223a56bd908420581fd6bbaaee58bdd","CompositionRelationship","","","id-0580bb9574ca4fd78c729fd624b015b6","id-7bf8e7ac52a1446fa9aba6d35ef4ccf4",""
"id-7280f038cfa9447cb6888635667bb6a2","CompositionRelationship","","","id-9d95b8fe025b4d2d9e2abd116730f15e","id-469104cf6520468b97f9c31b727316c8",""
"id-43e83b39d56f45969cb10639976e1d5e","CompositionRelationship","","","id-15329c2ec0984676a5d31dc62094deb6","id-5afcae26730748f6b22e912870634ff0",""
"id-90bd18cb16e04278a86f9d2fd3cfe000","CompositionRelationship","","","id-0580bb9574ca4fd78c729fd624b015b6","id-ea4d7384c6ab4426a76c1ef1f997e123",""
"id-fb261a20ee994ff59f474df0510b2847","CompositionRelationship","","","id-51c3f654d39c41f99ef5b1664e53cdee","id-8f35913fa62c46aa95b3db6bb1d31137",""
"id-06f2b91153ab4546be815e4d203e3caa","CompositionRelationship","","","id-6370b54bc17b42a8afce54a83c8abc23","id-76b947541e344ed9bfd961befff4de36",""
"id-7217f86e4d2442789f9bd62ea5a48561","CompositionRelationship","","","id-12673f544ccb414fa146ddf6bd57abfe","id-5a017ebeb18845338b729a1cc0d6d30c",""
"id-211a96cae8be4096813f2919d348bf20","CompositionRelationship","","","id-9d95b8fe025b4d2d9e2abd116730f15e","id-bb5ce7eeba6f481395415871f94db000",""
"id-8371bb055a54496d88ff3fb761f53c12","CompositionRelationship","","","id-9f30c8075e1d4f919036446f1a21b561","id-c8e6c49c7b644bfa87b06aee82c4a921",""
"id-5eb8c5fbbbc4418681516e3b04993150","CompositionRelationship","","","id-9d95b8fe025b4d2d9e2abd116730f15e","id-7ca2cc3b895b4664830cefa7fe11317c",""
"id-ded12aa3994f4ec3bedf25c8ff668a7b","CompositionRelationship","","","id-15329c2ec0984676a5d31dc62094deb6","id-df083d548605455bb28b9c2a798df80f",""
"id-b62a043838a046e9b61cb6a15c3fc0dc","CompositionRelationship","","","id-df083d548605455bb28b9c2a798df80f","id-77b8de83e89041aeb38ce87dfb717c98",""
"id-c04d3e818c43426293998a84402b9917","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-86bf8dbcc66d4ab58293f0d1f4c1e60e",""
"id-a5708d91aa794822aea68855694f7faf","CompositionRelationship","","","id-12673f544ccb414fa146ddf6bd57abfe","id-4bb2e7919a5b4a7a96c945f278aae88c",""
"id-9869c56dba554a218fefbca391a587f2","CompositionRelationship","","","id-df083d548605455bb28b9c2a798df80f","id-3641f5e0fefd43acb8def54c2ca001f0",""
"id-e8372f5a64274f669de0cdd7bd1e3e62","CompositionRelationship","","","id-9f30c8075e1d4f919036446f1a21b561","id-6370b54bc17b42a8afce54a83c8abc23",""
"id-dc0a445952ea4b798b87d96430c00027","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-5cb8434ed9ed4954a1c93e33b1fae867",""
"id-2c19fbbea225435b94bc2932c559df84","CompositionRelationship","","","id-33d5ea68af85487ca3a78836962eb28f","id-404d349f65534e898d039ad0853d5074",""
"id-2695f13732a242008b9298b00cfe40a8","CompositionRelationship","","","id-c8e6c49c7b644bfa87b06aee82c4a921","id-05878d3561334e86ac6cb473f7a167d4",""
"id-bfa5806ac14c4995aaba6c7e750d083d","CompositionRelationship","","","id-ce1b4695832248d8b181d1d0c55c02da","id-448c2aa782304118898fef8e8479abc7",""
"id-43e8acf1928c4db0bd2535d7931badc1","CompositionRelationship","","","id-9f30c8075e1d4f919036446f1a21b561","id-9d95b8fe025b4d2d9e2abd116730f15e",""
"id-b3c8af0d9d4c4c8a9f0e520c850a69ee","CompositionRelationship","","","id-ce1b4695832248d8b181d1d0c55c02da","id-dbe7b737cdc545ee8b6ccc9069654bf2",""
"id-a9fe7c3170714305831b1e805c1b61c3","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-c4c39a9080b44970aca7f79a41ea3bce",""
"id-b1e4fe9d1abe4fc8a908ca07592449ec","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-690e5215d34045f3a535c113b1a80e9d",""
"id-99edbeff83d14d4f853f658e3348693d","CompositionRelationship","","","id-15329c2ec0984676a5d31dc62094deb6","id-33d5ea68af85487ca3a78836962eb28f",""
"id-90cf5406081e4dd78631693189f646a5","CompositionRelationship","","","id-5afcae26730748f6b22e912870634ff0","id-b6776927ba4e4993bf4fbd18225fc95e",""
"id-aff2d1d273de40259fe14efe285a853c","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-c201f5af16c449b39b671e13c4e623e0",""
"id-690c28616dbc4429aba5002e81f30d06","CompositionRelationship","","","id-15329c2ec0984676a5d31dc62094deb6","id-51c3f654d39c41f99ef5b1664e53cdee",""
"id-8d3d8d6099744c1eb3ecba2543c8d1d1","CompositionRelationship","","","id-15329c2ec0984676a5d31dc62094deb6","id-ce1b4695832248d8b181d1d0c55c02da",""
"id-af905197a88a470e977c89b50ecadd48","CompositionRelationship","","","id-ce1b4695832248d8b181d1d0c55c02da","id-727fb42a8f964adb909878b2629c3f51",""
"id-29eca3a9234145bfa89b767ad244eb66","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-f58acbceb7ac4f3abee5caf2a67ed827",""
"id-3659389a2ca74b6c8423748c7b004255","CompositionRelationship","","","id-67a03a63072648db96e22d49fc1615c5","id-5e72be0059ed42abae13c5aa2b2954fd",""
"id-a0234b32153d4f9d85f37dc3b2c1f9be","CompositionRelationship","","","id-12673f544ccb414fa146ddf6bd57abfe","id-5624f1bcee4745679b4572731b4c7927",""
"id-c6d5cf7b4eba496fb4a3dc9ba96d34f0","CompositionRelationship","","","id-9f30c8075e1d4f919036446f1a21b561","id-0a8faa1eba344a60b47dda1299aa6912",""
"id-7c5fd83de6494f7eb85a7735017f6218","CompositionRelationship","","","id-5afcae26730748f6b22e912870634ff0","id-3f9c83091a194f82a9b6dfb07ae9b5f5",""
"id-a9c738e9caf8486e8e9a29ff7648ab8d","CompositionRelationship","","","id-6370b54bc17b42a8afce54a83c8abc23","id-060f29eaa0f742caa6e713199b470b3d",""
"id-bc76200466fc4eec821ad23360287241","CompositionRelationship","","","id-c8e6c49c7b644bfa87b06aee82c4a921","id-623ee8b6b1ab4b9bb694bef0ef775957",""
"id-b2d08591cc3144fba704db7150b7097f","CompositionRelationship","","","id-6370b54bc17b42a8afce54a83c8abc23","id-507da9652f2b4a1a81b195e4586c3b38",""
"id-87ca35e0081f4bc48c1e79aafdfed6a1","CompositionRelationship","","","id-9f30c8075e1d4f919036446f1a21b561","id-12673f544ccb414fa146ddf6bd57abfe",""
"id-46f5bc7953f044e3a42738bac5139c5d","CompositionRelationship","","","id-9f30c8075e1d4f919036446f1a21b561","id-0580bb9574ca4fd78c729fd624b015b6",""
"id-b17a857540ac490f86c6b9a605cd70b5","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-df2e5af2f6a84a1ca95385cd36dbfb53",""
"id-e59a073ef208411ab9b33ebc9c88463f","CompositionRelationship","","","id-33d5ea68af85487ca3a78836962eb28f","id-67af2a04d9de44e4b0b4eae0de6c8fce",""
"id-a7e168b0e7854a75be30f9db45c7170c","CompositionRelationship","","","id-6370b54bc17b42a8afce54a83c8abc23","id-1d85b944bcb84a1cb9e1747246ef95a3",""
"id-ce06092272bd4812a95f35b083f93ecf","CompositionRelationship","","","id-5afcae26730748f6b22e912870634ff0","id-de0a273fff5944cc9fb97caa3b36249f",""
"id-3639fb79cb7d4536bdb95f157957e841","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-b5cc33812e2a4238bee9db717d64acf0",""
"id-59e9f28c60b1403ea63d39b465b1bb2e","CompositionRelationship","","","id-9d95b8fe025b4d2d9e2abd116730f15e","id-d9b1d2382d354e39ba6fecf0990832e1",""
"id-de238f03a54a4dd5b3138bb90de14442","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-eefee88af4ac4b85879630201e232abc",""
"id-f89e961bdd874624ae0d3b3c5a3a77e5","CompositionRelationship","","","id-0a8faa1eba344a60b47dda1299aa6912","id-3712452d2c9b4c64a2e2123ed31721dd",""
"id-50373d4353714a519a62cbfd840b63ab","CompositionRelationship","","","id-51c3f654d39c41f99ef5b1664e53cdee","id-4dfbaa51425b4292aa82a79082e876f8",""
"id-9368d01e61444f938284bbb968e5f1c9","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-bdf6220302c54ebbabb5001ef9dc4b02",""
"id-6ec5249b72774b1b91417a4df9fa46bc","CompositionRelationship","","","id-0a8faa1eba344a60b47dda1299aa6912","id-6a82302f04c944f9b59a595c3adb4f2d",""
"id-386a6ad12d7a47aeb8101c153d05491e","CompositionRelationship","","","id-12673f544ccb414fa146ddf6bd57abfe","id-9951330f78a440e3afac16423a0039a5",""
"id-c06de272d75548f296884db19e9f7e9b","CompositionRelationship","","","id-ce1b4695832248d8b181d1d0c55c02da","id-91e8c32f2d474d42b3970b0ef865893d",""
"id-de7af715d9ab401995d8e047c79bdeb1","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-bf82dc1967484d9faa494d8861e7599d",""
"id-5057c097338a4fb98242e800a12fa911","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-9559c8dfb8684b729ce3aeae905bc2cf",""
"id-c386e629ea4a40f2a285f51e61277274","CompositionRelationship","","","id-0580bb9574ca4fd78c729fd624b015b6","id-4b6dcf6b33af4cf394c4e915947dec69",""
"id-bd6f4bb3907441de9823f4fe564ad42d","CompositionRelationship","","","id-c8e6c49c7b644bfa87b06aee82c4a921","id-cf5303b85e724ba7accf3c4065098655",""
"id-d08f62cfe9544a9bb79e2685120af02e","CompositionRelationship","","","id-9d95b8fe025b4d2d9e2abd116730f15e","id-c63002cb67c9434cad69631a0c00ea5c",""
"id-bff79ddfac3743ffb3b2b78d2c3fc7c3","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-ea3c30f9e0844254be27c5abd4fbd090",""
"id-18e0cee7fe284e4fb276fb62f85b2cec","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-d76ad2aae99f4e55a21c363fc13297b5",""
"id-f0c628a193e04d04bc3f63ae0432f7dd","CompositionRelationship","","","id-6e339f0fec064e6e8edb46978b1e4d89","id-14fc1d0c5c494ce9b5676a6530cb79eb",""
"id-ec0eacab610044809f70808cb5d2ccec","CompositionRelationship","","","id-6370b54bc17b42a8afce54a83c8abc23","id-ad955162a2b34780afb1792abb9af37c",""
"id-256a363b25af49538caa397f509e140d","CompositionRelationship","","","id-0a8faa1eba344a60b47dda1299aa6912","id-87140d22bd0a4173b38fd1ceece92fc8",""
"id-3472ead5948f43aab1ce0584937449e5","CompositionRelationship","","","id-5e72be0059ed42abae13c5aa2b2954fd","id-b537d3ba21d34737babb849199587163",""
"id-5f378a0c4c024eeb9b4454a95277130e","CompositionRelationship","","","id-33d5ea68af85487ca3a78836962eb28f","id-697a63e3dff4496d8a7f303b67a8b45a",""
"id-f21ab02b419f448a9ee32c6aa172da19","CompositionRelationship","","","id-51c3f654d39c41f99ef5b1664e53cdee","id-089b9283fcfe4f9dab49a52f87988ef0",""
"id-a947e9fd8a394ef38baf0696921f462f","CompositionRelationship","","","id-cc5bbdad729b4c8197b428bd0c5d66bc","id-ae20c26b0d8e47c6894c072e63b23542",""
"id-9dc0140f58ae4ac9b712c7ab5210ca96","CompositionRelationship","","","id-cc5bbdad729b4c8197b428bd0c5d66bc","id-5053208316404ad88ca7c1c183164a06",""
"id-18f72de14f2a4a13aba35d760b04be85","CompositionRelationship","","","id-cc5bbdad729b4c8197b428bd0c5d66bc","id-881d110ef6ec40b8b8ab6807a70d9440",""
