"ID","Type","Name","Documentation","Source","Target","Specialization"
"0c0b73cb","AccessRelationship","","","a8eb3fef","7c12e5e3",""
"3cfc4865","AccessRelationship","","","e8ba4e86","ff00f8dc",""
"21c7078d","AccessRelationship","","","a2f92dc8","c682a79a",""
"66e8ffc4","AggregationRelationship","","","502fa249","502fa249",""
"f86128ed","AggregationRelationship","","","18f27b8f","18f27b8f",""
"3f8202ea","AggregationRelationship","","","18f27b8f","e8ba4e86",""
"6d7241ee","AggregationRelationship","","","10357678","53d8df8a",""
"0f88256a","AggregationRelationship","","","e3d8adda","c682a79a",""
"b74f818b","AggregationRelationship","","","ff00f8dc","ff00f8dc",""
"89a1cf16","AggregationRelationship","","","feefaead","e99456a5",""
"7e6fb9d0","AggregationRelationship","","","5dbe8d57","e3d8adda",""
"bcb6a135","AggregationRelationship","uses","","309b693e","309b693e",""
"7bf5d616","AssignmentRelationship","","","7cc1e5b6","7bd1db6c",""
"c7ab8bba","AssignmentRelationship","","","a2f92dc8","06ef316e",""
"8bb5c8cb","AssignmentRelationship","","","a2f92dc8","9b6aa824",""
"b4431078","AssignmentRelationship","","","fa5d9d67","b959b52d",""
"d0689c69","AssignmentRelationship","","","2d681b0d","b959b52d",""
"154d4863","AssignmentRelationship","","","a2f92dc8","b959b52d",""
"ff1ae3d3","AssignmentRelationship","","","7cc1e5b6","a62403b5",""
"e781627b","AssignmentRelationship","","","751f40e1","6a0c39d3",""
"bb9baabd","AssignmentRelationship","","","7cc1e5b6","6a0c39d3",""
"37dc07e3","AssignmentRelationship","","","a549c619","502fa249",""
"2ff1726e","AssociationRelationship","","A [Public Policy Formulation and Implementation Instrument] is associated to [Legal Interoperability Specification]","1eb97ddc","e3332dd3",""
"e0becb8c","AssociationRelationship","","A [Legal Interoperability Specification] is associated to [Public Policy Formulation and Implement Instrument] ","e3332dd3","1eb97ddc",""
"013fc853","AssociationRelationship","acts on behalf of","A [Public Service Delivery Agent] acts on behalf of [Public Service Provider]","a62403b5","7bd1db6c",""
"8e500136","AssociationRelationship","applies to","A [Business Rule] applies to [Business Information]","ff00f8dc","bb72fac6",""
"fba5069a","AssociationRelationship","defines the interoperability aspects for","A [Technical Interoperability Specification] defines the interoperability aspects for [Service Registry Component] (contents and the registry as a whole).","f29ba44a","083ad8d6",""
"d72a262b","AssociationRelationship","defines the interoperability aspects for","A [Legal Interoperability Specification] defines the interoperability aspects for a [Legislation Catalogue] (contents and the catalogue as a whole).","2d6f43d3","e3332dd3",""
"d17aed54","AssociationRelationship","defines the interoperability aspects for","An [Organisational Interoperability Specification] defines the interoperability aspects for a [Public Service Catalogue] (contents and the catalogue as a whole).","88463b4f","3e30eb08",""
"37f4b92c","AssociationRelationship","defines the interoperability aspects for","A [Semantic Interoperability Specification] defines the interoperability aspects for a [Data Set Catalogue] (contents and the catalogue as a whole).","2f08799e","5dbe8d57",""
"2940c661","AssociationRelationship","defines the interoperability aspects for","A [Semantic Interoperability Specification] defines the interoperability aspects for a [Data Standard Catalogue] (contents and the catalogue as a whole).","2f08799e","10357678",""
"180ec4a4","AssociationRelationship","documents","A [Public Service Catalogue] documents a [Public Service]","88463b4f","502fa249",""
"2ea91360","AssociationRelationship","has","[Data] has a [Representation]","5fad425e","c682a79a",""
"c939beca","AssociationRelationship","has its interoperability aspects defined by","A [Service Registry Component] has its interoperability aspects defined by a [Technical Interoperability Specification]","f29ba44a","083ad8d6",""
"7ba55e12","AssociationRelationship","has its interoperability aspects defined by","A [Data Standard Catalogue] has its interoperability aspects defined by a [Semantic Interoperability Specification]","10357678","2f08799e",""
"2977454e","AssociationRelationship","has its interoperability aspects defined by","A [Data Set Catalogue] has its interoperability aspects defined by a [Semantic Interoperability Specification]","5dbe8d57","2f08799e",""
"1f985d88","AssociationRelationship","implements","An [Interoperability Strategy] implements an [Interoperability Framework]","3c837217","d15e691b",""
"720d2263","AssociationRelationship","implements","A [Public Service] implements a [Public Policy]","502fa249","7c12e5e3",""
"4dc1cd72","AssociationRelationship","incorporates","A [Representation] incorporates a [Data Standard]","5fad425e","53d8df8a",""
"bea4123f","AssociationRelationship","influences","A [Data Policy] influences [Representation]","5fad425e","8b72c60c",""
"8f063fa8","AssociationRelationship","influences","A [Public Policy Development Enabler] influences a [Public Policy]","923dc888","7c12e5e3",""
"e49e681a","AssociationRelationship","influences","A [Public Policy] influences an [Organisational Policy]","7c12e5e3","e253a78a",""
"59028e52","AssociationRelationship","is agreed to by","An [Interoperability Agreement] is agreed to by a [Citizen]","751f40e1","bd38f75f",""
"d7731c87","AssociationRelationship","is described by","[Data] is described by a [Data Standard]","c682a79a","53d8df8a",""
"56a0904e","AssociationRelationship","is described in","An [Organisational Interoperability Specification] is described in an [Interoperability Agreements]","bd38f75f","3e30eb08",""
"69c6ae0b","AssociationRelationship","is implemented by","A [Public Policy] is implemented by a [Public Service]
","502fa249","7c12e5e3",""
"50f0473f","AssociationRelationship","is included in","A [Public Policy Formulation and Implementation Instrument] is included in a [Legislation Catalogue]","2d6f43d3","1eb97ddc",""
"3cee81c0","AssociationRelationship","is influenced by"," An [Organisational Policy] is influenced by a [Public Policy]","e253a78a","7c12e5e3",""
"04ca75e5","AssociationRelationship","is influenced by","An [Interoperability Strategy] is influenced by [Interoperability Governance]","d15e691b","511e94d7",""
"e33d9883","AssociationRelationship","is offered by","A [Hosting Service] is offered by a [Hosting Facility]","eec1333d","7db3adb0",""
"26c488b9","AssociationRelationship","is provided by","A [Representation] is provided by a [Machine to Machine Interface]","5fad425e","2d681b0d",""
"dcc7c4d1","AssociationRelationship","is provided by ","A [Representation] is provided by a [Human Interface]","5fad425e","fa5d9d67",""
"323a967f","AssociationRelationship","is realised by","A [Public Policy] is realised by a [Public Policy Formulation and Implementation Instrument]","1eb97ddc","7c12e5e3",""
"8a5a20d1","AssociationRelationship","is signed by","An [Interoperability Agreement] is signed by a [Public Service Provider]","bd38f75f","7bd1db6c",""
"5c515023","AssociationRelationship","is source of","An [Organisational Interoperability Enabler] is source of a [Business Rule]","9649f14a","bb72fac6",""
"1a78afda","AssociationRelationship","is supported by","A [Public Service] is supported by an [Interoperable European Solution]","a2f92dc8","7c12e5e3",""
