"ID","Type","Name","Documentation","Source","Target","Specialization"
"1fcbaa6a","AssociationRelationship","","","abbd7dc5","a687c85a",""
"044410b6","AssociationRelationship","","","abbd7dc5","648aa201",""
"471bf46f","AssociationRelationship","","","fdb290ed","587aa460",""
"c94241b8","AssociationRelationship","","","c4e4aa26","22f60334",""
"ffcd3c25","AssociationRelationship","","","2c3be41d","c3c2eed6",""
"fa984504","AssociationRelationship","","","61482e7c","30b7a262",""
"4893dfa8","AssociationRelationship","","","a687c85a","9e25bedc",""
"b602eecf","AssociationRelationship","","","9fc582a0","3de64ed4",""
"93ec9b90","AssociationRelationship","","","e147eea4","ecee9e86",""
"a30cbfc1","AssociationRelationship","","","856ed729","40c07ec8",""
"e1638a15","AssociationRelationship","","","4aa1316a","8cbce5bd",""
"a1abceb3","AssociationRelationship","","","910e99cf","96bc9c03",""
"afe1d12b","AssociationRelationship","","","30b7a262","856ed729",""
"c248722c","AssociationRelationship","","","8cbce5bd","96bc9c03",""
"20c4cb97","AssociationRelationship","","","9e25bedc","abbd7dc5",""
"d537be41","AssociationRelationship","","","4fba55e0","994df34d",""
"f3c2eb87","AssociationRelationship","","","3de64ed4","c3c2eed6",""
"0dbf1f4d","AssociationRelationship","","","994df34d","ff2961bf",""
"4e0ca4c8","AssociationRelationship","","","750cffda","96bc9c03",""
"f414af88","AssociationRelationship","","","ac3eab82","1a73e132",""
"cc7b75f2","AssociationRelationship","","","2799f6ac","dbd7defe",""
"47aef4e9","AssociationRelationship","","","61482e7c","4b661686",""
"eac56cb0","AssociationRelationship","","","4aa1316a","30b7a262",""
"7f3e842d","AssociationRelationship","","","dbd7defe","5eb119e7",""
"c10c418d","AssociationRelationship","","","1a73e132","c85fc284",""
"35062944","AssociationRelationship","","","71a46584","31112cab",""
"57a3379e","AssociationRelationship","","","5eb119e7","4fba55e0",""
"e89321e1","AssociationRelationship","","","c6195be2","7152b8d1",""
"1cb941f7","AssociationRelationship","","","b5c2d201","2799f6ac",""
"398eb104","AssociationRelationship","","","648aa201","dbd7defe",""
"b1df53ec","AssociationRelationship","","","c4e4aa26","7152b8d1",""
"bbb0dd15","AssociationRelationship","","","40c07ec8","c3c2eed6",""
"fa9d6058","AssociationRelationship","","","9fc582a0","7152b8d1",""
"0b675729","AssociationRelationship","","","b5a4fd76","750cffda",""
"ddebbdc1","AssociationRelationship","","","84f55f34","96bc9c03",""
"f4841ae3","AssociationRelationship","","","42eff491","30b7a262",""
"bd6c9d20","AssociationRelationship","","","45f15e90","42eff491",""
"a060e47a","AssociationRelationship","","","ecee9e86","7152b8d1",""
"010a199e","AssociationRelationship","","","22f60334","71a46584",""
"6cc2f94c","AssociationRelationship","","","a687c85a","dbd7defe",""
"6de4da61","AssociationRelationship","","","4fba55e0","d4459157",""
"cde966cd","AssociationRelationship","","","9e25bedc","7152b8d1",""
"1f9d544c","AssociationRelationship","","","9e25bedc","4aa1316a",""
"1cb9ce06","AssociationRelationship","","","4b661686","fdb290ed",""
"18442d96","AssociationRelationship","","","7ad19000","dbd7defe",""
