"ID","Type","Name","Documentation","Source","Target","Specialization"
"93eda819","AccessRelationship","","","d97d2f62","b4e14cda",""
"5f596af3","AccessRelationship","","","b4e14cda","1a507627",""
"6ddfc917","AccessRelationship","","","e4697527","141d6aa7",""
"d5ed80a4","AccessRelationship","","","3c4f4834","66811b48",""
"e592119e","AccessRelationship","","","7e105763","535b24f6",""
"c6c202e1","AccessRelationship","","","e67621df","66811b48",""
"71929fe1","AccessRelationship","","","010d32da","52031fb5",""
"532d2c90","AccessRelationship","","","9627c1ad","66811b48",""
"9f88ac8c","AccessRelationship","","","506e28e0","535b24f6",""
"1b240b86","AccessRelationship","","","a9ea0fba","52031fb5",""
"a8d8e5a6","AccessRelationship","","","2b2820c9","52031fb5",""
"77dda460","AccessRelationship","","","d021b411","52031fb5",""
"0f5bb5c8","AccessRelationship","","","b1154dd1","d97d2f62",""
"cd5bdfc5","AccessRelationship","","","1ccfc880","d97d2f62",""
"4644f180","AccessRelationship","","","78c0ba45","d97d2f62",""
"5f468f82","AssignmentRelationship","","","5a6cca5e","60ec1336",""
"334adacf","AssignmentRelationship","","","6e4cfee2","0ea56480",""
"43f59b5c","AssociationRelationship","","","9ea9b42c","2b8b4c6a",""
"5bbdf7cf","AssociationRelationship","","","aeb2303e","2b8b4c6a",""
"2ca0f3fd","AssociationRelationship","","","7f044688","aeb2303e",""
"2489e8de","AssociationRelationship","","","aeb2303e","fd562ed0",""
"2a03c172","AssociationRelationship","","","fd562ed0","c18fb45c",""
"b02097fe","AssociationRelationship","","","7f044688","c18fb45c",""
"60ede616","AssociationRelationship","","","7f044688","9ea9b42c",""
"70ce0361","AssociationRelationship","","","c18fb45c","2b8b4c6a",""
"81a3f4ee","AssociationRelationship","","","141d6aa7","288087d7",""
"22246203","AssociationRelationship","","","66811b48","158af050",""
"4202c4ca","AssociationRelationship","","","535b24f6","ac528a90",""
"95e75fc3","AssociationRelationship","","","52031fb5","a5ba2071",""
"e916d39f","CompositionRelationship","","","60ec1336","3539b173",""
