"ID","Key","Value"
"9bd14b5e-4d2a-46d9-8630-fdacff6a12df","Directed","false"
"ed22dd85-44c3-4739-84b8-9c9475875e9c","Directed","false"
"d8091af1-5de0-4b52-ac92-43638d5edfe3","Influence_Strength","++"
"38f53596-5281-407a-9423-a9add1514945","Directed","false"
"c622c309-c4d7-4caf-af25-6556eb753c2f","Directed","false"
"4947fd4b-fe2a-4fc2-948b-d9954911f3f3","Directed","false"
"620577c9-ded4-4474-a082-306557bc89be","Influence_Strength","++"
"af53bf52-3c50-4ffb-bc8c-8a4d832b28ab","Directed","false"
"e352e27b-bbd9-42e6-af7f-f61a83b93277","Directed","false"
"7830ff06-3aca-4201-8b87-88485ac9e50d","Directed","false"
"880e12d7-77ca-45c9-8314-5c987afc1961","Directed","false"
"53912f2e-ba4f-42ae-83df-f5e464d872df","Influence_Strength","++"
