"ID","Type","Name","Documentation","Source","Target","Specialization"
"b8e8da5a","AggregationRelationship","","","19c1bfa7","ea81ec8b",""
"831d1e6b","AggregationRelationship","","","19c1bfa7","09d9bd0c",""
"3f0278b7","AggregationRelationship","","","19c1bfa7","65183de2",""
"ef36d80c","AggregationRelationship","","","19c1bfa7","5c2b9fec",""
"2267cd4f","AggregationRelationship","","","ea81ec8b","8746f838",""
"8f7f99d9","AggregationRelationship","","","ea81ec8b","5f2328eb",""
"f4b90554","AggregationRelationship","","","ea81ec8b","c7673669",""
"a16f708c","AggregationRelationship","","","e7075349","9e4a45e4",""
"7389d49f","AggregationRelationship","","","913d880f","4e8be746",""
"8244cecb","AggregationRelationship","","","913d880f","3429f96d",""
"b0b2ca94","AggregationRelationship","","","913d880f","f326eb01",""
"54426169","AggregationRelationship","","","913d880f","1d6ceadc",""
"7717d45e","AggregationRelationship","","","e7075349","453ba889",""
"5e413279","AggregationRelationship","","","e7075349","9f1c5494",""
"4b5e0dee","AggregationRelationship","","","e7075349","c1a04dba",""
"e357f767","AggregationRelationship","","","e7075349","46780f81",""
"c1f594a8","AggregationRelationship","","","e7075349","803f76e6",""
"8e852b09","AssignmentRelationship","","","73fba79d","4ffcccaa",""
"49c2316e","AssignmentRelationship","","","73fba79d","b0acd447",""
"85b306fc","AssignmentRelationship","","","73fba79d","399fed5d",""
"0a92a8e1","AssignmentRelationship","","","73fba79d","2366a09d",""
"b62ce6f0","AssignmentRelationship","","","73fba79d","b810e86f",""
"abd0a57e","AssignmentRelationship","","","1fdef9a6","c62f1e05",""
"8647f1e5","AssignmentRelationship","","","1fdef9a6","d0f6b63c",""
"f9011d8e","AssignmentRelationship","","","1fdef9a6","df825c05",""
"52bda04f","AssignmentRelationship","","","1fdef9a6","d161b5cb",""
"d5fa32ac","AssignmentRelationship","","","391ed1b4","df825c05",""
"0aaeb0fc","AssignmentRelationship","","","391ed1b4","d161b5cb",""
"83fc2800","AssignmentRelationship","","","391ed1b4","d0f6b63c",""
"32820bae","AssignmentRelationship","","","47228908","7aa91a64",""
"8a4c61de","AssignmentRelationship","","","47228908","89e45f6e",""
"216d8384","AssignmentRelationship","","","030dbdd7","76331827",""
"32d69500","AssignmentRelationship","","","030dbdd7","1fb9487a",""
"d50ad1ae","AssignmentRelationship","","","030dbdd7","89e45f6e",""
"e20dffed","AssignmentRelationship","","","47228908","1fb9487a",""
"d478e96d","AssignmentRelationship","","","47228908","76331827",""
"11b7279d","AssignmentRelationship","","","aa60925c","e82f11c9",""
"15fc3249","AssignmentRelationship","","","aa60925c","25ec3008",""
"bc390015","AssignmentRelationship","","","aa60925c","7a2d2d4b",""
"5abd5db4","AssignmentRelationship","","","aa60925c","8098e164",""
"18391d4a","AssociationRelationship","","","c62f1e05","391ed1b4",""
"2b22b681","AssociationRelationship","","","7aa91a64","030dbdd7",""
"43a75055","CompositionRelationship","","","19c1bfa7","5c2b9fec",""
"b06c35e8","CompositionRelationship","","","19c1bfa7","65183de2",""
"13230fdb","CompositionRelationship","","","19c1bfa7","09d9bd0c",""
"f11a5796","CompositionRelationship","","","19c1bfa7","ea81ec8b",""
"ee7c36bb","CompositionRelationship","","","19c1bfa7","ea81ec8b",""
"0cf02247","CompositionRelationship","","","ea81ec8b","5f2328eb",""
"0342eb8c","CompositionRelationship","","","ea81ec8b","8746f838",""
"4cc478c4","CompositionRelationship","","","ea81ec8b","c7673669",""
"f40948f9","CompositionRelationship","","","09d9bd0c","e5cd58a6",""
"32256495","CompositionRelationship","","","65183de2","3b8bebc7",""
"04c31deb","CompositionRelationship","","","5c2b9fec","3be60a6c",""
"05624ef3","CompositionRelationship","","","ea81ec8b","1cdb1c4a",""
"fa34bd65","CompositionRelationship","","","5f2328eb","23d9f172",""
"54f28bbe","CompositionRelationship","","","c7673669","fd962c26",""
"dd3b94eb","CompositionRelationship","","","0cbc1cd0","599a602a",""
"f9892e13","CompositionRelationship","","","0cbc1cd0","4ea78b4c",""
"aa09d6f9","CompositionRelationship","","","0cbc1cd0","8a19b1cd",""
"2b674ab9","CompositionRelationship","","","0cbc1cd0","f871ae0f",""
"c193e756","CompositionRelationship","","","0cbc1cd0","7c23bf75",""
"ea1fae77","CompositionRelationship","","","65183de2","ec7d6d88",""
"8d762634","CompositionRelationship","","","8746f838","07a8676f",""
"b896d92a","CompositionRelationship","","","83e9e845","c6b0f51e",""
"6ba0285d","RealizationRelationship","","","ec38975f","c1a04dba",""
"d7d2c275","RealizationRelationship","","","fcae2e94","453ba889",""
"f532d4b4","RealizationRelationship","","","21185cae","453ba889",""
"ba2ffab0","RealizationRelationship","","","1775a563","1cac0229",""
"cb3c24ff","RealizationRelationship","","","0cbc1cd0","1cac0229",""
"0e3f78d9","RealizationRelationship","","","ae608b54","3429f96d",""
"d414156b","RealizationRelationship","","","927e6626","f326eb01",""
"e0eee50a","RealizationRelationship","","","3f4df8aa","1d6ceadc",""
"d89682e5","RealizationRelationship","","","ec38975f","803f76e6",""
"fff4f76a","RealizationRelationship","","","ec38975f","46780f81",""
"df954368","RealizationRelationship","","","ec38975f","9f1c5494",""
"45e96834","RealizationRelationship","","","ad96cb9b","5b50f79c",""
"a5971f8a","RealizationRelationship","","","752f9938","8b7666df",""
"11e7a3c6","RealizationRelationship","","","752f9938","41da7129",""
"7854fdc9","RealizationRelationship","","","a9d33242","5b50f79c",""
"b00cb725","RealizationRelationship","","","752f9938","2f29988f",""
"c4b14250","ServingRelationship","","","fd962c26","30dec7f8",""
"7a6585a2","ServingRelationship","","","23d9f172","1c4e0436",""
"8f3cfb31","ServingRelationship","","","1cdb1c4a","bbb1d310",""
