"ID","Key","Value"
"ee6b8cde-5fed-43ae-992f-f4e7dcfb11cb","Stereotype","Rol"
"482df2c8-2ec4-41c5-a6c0-521c30838c7c","Stereotype","Rol"
"0ca7cb3a-e0e4-45f5-aff0-4a4a80e61453","Stereotype","Rol"
"b9186e8e-b63f-410f-bc51-da67d0ac6394","Stereotype","Rol"
"54031847-32ed-4443-8437-5dc2ffcf212c","Stereotype","Rol"
"3b8b3f1f-d355-4caf-87a9-2a245b2f50c5","Stereotype","PostgreSQL"
"c36d163e-3e91-44e2-a1d1-9f6a4e8dbd13","Stereotype","Software systeem"
"8765ef26-0131-43fd-8b60-19bf4af1cff6","Stereotype","Software systeem"
"528c7c37-adfd-4d67-a9fa-2a4ad60daa32","Stereotype","Software systeem"
"680d09c6-7fa5-4da8-9ce1-a6be13c805d4","Stereotype","Software systeem"
"id-bd7f8a87fcac476e9bcf7d5c016ad5d7","Stereotype","HTML, CSS & JavaScript / Python"
"id-c1316e627bf14c14ac794574311ef96c","Stereotype","HTML, CSS & JavaScript / Python"
"id-61d6bcc9262b400188a0a82d356dfc85","Stereotype","Oauth 2.0"
"id-fc84aae7214c407988fa3af6b1db29c8","Stereotype","Postman & Apispec"
"id-6c115a6afa094e06838b11968fb5b1d4","Stereotype","Postman & Apispec"
"id-6f7b03c0b827435f9d141bfb3473caaa","Stereotype","Postman & Apispec"
"id-da0a5982f6f24d35aca368d573aaa511","Stereotype","Postman & Apispec"
"7ab2aae7-d85c-4f0a-bd08-5bcaf4e87c66","Directed","true"
"a779410b-df7c-4d7b-b72c-b359f34f00ec","Directed","true"
"bebdb457-b9c6-4c7a-8648-8fc986e4c47f","Directed","true"
"b3c03d4b-f501-4462-94a0-61856a129c48","Directed","true"
"671f4ef6-228f-409d-9284-fa57ebfb8b5e","Directed","true"
"f2362d18-4817-4292-a954-862a22ebff6c","Access_Type","Write"
"a3a532c4-5e99-4b35-93ea-0daf8db7eee2","Access_Type","Write"
"45ac9b5b-1f40-441c-945c-7f91c4a17fba","Access_Type","Write"
"d18cf315-66e2-41e3-b5b9-88d23087e91a","Access_Type","Write"
"0524fc4e-5d75-444b-adba-f82d084a5689","Access_Type","Write"
"f4445050-85a9-4b51-96ee-fd511d4baeff","Access_Type","Write"
"0849eebf-aaff-4446-9cee-ceb7990e92bf","Access_Type","Write"
"ff1d3daf-1551-4760-802c-7f49a4fe7806","Access_Type","ReadWrite"
"77b46809-ef9c-4567-a75a-bb1f3fa8a78e","Access_Type","Write"
"136d88c2-869a-4af6-9a1b-0e9103371ec5","Access_Type","Write"
"1b53d761-afc4-49d5-b283-232a9790fe5e","Access_Type","Write"
"0a79a09d-0416-4c8b-82f2-47b29e546852","Directed","true"
"b05024bc-98fe-47fe-8c80-1f7c38a03300","Directed","true"
"15f4a545-5431-4bc3-bd99-7a774b57d19f","Directed","true"
"9b81db7d-935f-4788-ae99-17e6c74bcf99","Access_Type","Write"
"16e0a24f-04c1-41a4-bd62-3c0351ca902f","Access_Type","Write"
"10ff8bfd-a02a-4d92-93eb-7797a412f109","Access_Type","Write"
"bc82fcfc-7f55-4e26-aa23-8eee2791bbf4","Directed","true"
"d7221d34-5845-4365-9f16-dbe67ebf35dc","Directed","true"
"222c8cde-27a7-4190-b53e-d91915ad82ce","Access_Type","Write"
"10c12447-d77f-40f5-a890-8c252f074961","Influence_Strength","++"
"c2d9ae17-92cf-4a90-aa80-7c8756206a19","Influence_Strength","+++"
"7ef0700c-2f45-416b-9e74-a8e6bfd94572","Influence_Strength","+"
"ff8e9cdb-8d72-4a89-b268-30692306c546","Influence_Strength","++"
"9360ddf3-6dc6-48be-b5ce-b93c8336cff3","Influence_Strength","++"
"426565a7-db23-44ef-96cf-42f23334d02d","Influence_Strength","++"
"70b4aa0d-ee57-490b-8254-931d0116b1a8","Influence_Strength","+"
"1bcd9503-598b-4385-a341-6883ab343433","Influence_Strength","+"
"2b729335-7763-4e8e-810c-953cb9873d47","Influence_Strength","+"
"836af1f5-886d-40ca-84ac-f573d27929fd","Influence_Strength","+"
"166d8180-a7a5-406a-8f49-5a11dbe23e58","Directed","false"
"9c109116-5ef8-43ba-bd9b-22a7d52dcb49","Directed","false"
"7bd80d03-1f2d-4fc7-bf6c-a9896b093206","Directed","false"
"ea83dca0-2f77-4c5f-8cbd-3bab753b191f","Directed","false"
"8eb971a4-d65b-410a-8d5f-7daecca46047","Directed","false"
"4db25657-81d1-4e32-97d4-a67ad2b53870","Directed","false"
"1bf223a4-e948-43a8-ae9f-0d439fc4c7f7","Directed","false"
"ce2f5a4e-d8e1-48f1-abdd-5c84a1cfb4a4","Directed","false"
"b550747a-edb5-4e31-ba6b-6d64b2713fd3","Influence_Strength","beïnvloedt"
"id-dba1c3514c4d40d593ea8aadaaf1fa0e","Access_Type","ReadWrite"
"id-bd553b558ec54fc1ae7209f102e3a019","Directed","true"
"id-4ae48b17e0c149db84283b18f8c00ced","Directed","true"
"id-560aa5d83b744535b6f4bc51c6ceb9cc","Directed","true"
"id-d2882412a8e1416187d58bf5c6ee84be","Access_Type","ReadWrite"
"id-c9001809e7b84335ab9a88962753fdf3","Access_Type","Write"
"id-639bd9aa7f3443a2a017a5186542fb06","Directed","true"
"id-47607253b6a045c6b806c92c10bf4950","Directed","true"
"id-f2248c3acfd149d58d82151be95eb409","Directed","true"
"id-71bb2e055d864580b8ff8800703e1b27","Influence_Strength","+"
"id-ae402f73e3004979a5a37208a5b1de18","Directed","false"
"id-f04798284abd4a7fa8bab5dc8f2bb589","Directed","false"
"id-ad9af41e72e7482fb6811c47ab155562","Influence_Strength","+"
"id-58bab4ce63c04487b9aaa3605cb9489d","Influence_Strength","+"
"id-25498dfdf1024fabb04151932e62b1b5","Influence_Strength","+"
"id-7452ac80491f49f9a05fb8476f3885a0","Influence_Strength","+/-"
"id-0ae8532eb3304f8db60ab9513efbacbb","Access_Type","Write"
