"ID","Key","Value"
"f70fd2bf","Access_Type","Write"
"36461a78","Access_Type","Write"
"695ec630","Access_Type","Write"
"75f5a0f7","Access_Type","Write"
"98c23caa","Directed","false"
"4adccf3f","Directed","false"
"5a6a87fb","Access_Type","Write"
"8c432bf1","Access_Type","Write"
"e02b6b67","Directed","false"
"1d4c93fb","Access_Type","Write"
"7a6bd0d5","Directed","false"
"a74cb460","Directed","false"
"00b1f973","Directed","false"
"a59fd32d","Access_Type","Write"
"942b0f90","Access_Type","Write"
"702306ca","Access_Type","Write"
"1f5a67c7","Access_Type","Write"
"640a6691","Directed","false"
"90e46277","Directed","false"
"99ea9413","Directed","false"
"c48d69c7","Directed","false"
"9e813bb3","Directed","false"
"ed93b5ad","Access_Type","Write"
"8afb7a45","Access_Type","Write"
"25240ca2","Access_Type","Write"
"3029c43a","Access_Type","Write"
"c2d1c96f","Access_Type","Write"
"f61c3343","Access_Type","Write"
"db9222d2","Access_Type","Write"
"c1e0a38f","Access_Type","Write"
"b5573d11","Access_Type","Write"
"1c0336a3","Access_Type","Write"
"3ab0eec6","Directed","false"
"989489c8","Access_Type","Write"
"43e1a794","Access_Type","Write"
"d7fe88ec","Access_Type","Write"
"d2904903","Access_Type","Write"
"cdebdeee","Access_Type","Write"
"a766effa","Access_Type","Write"
