"ID","Key","Value"
"Id-IhIPWq6GAqACIRJR","Access_Type","Write"
"Id-c3kPWq6GAqACIRJf","Access_Type","Read"
"Id-JlVPWq6GAqACIRJ8","Access_Type","ReadWrite"
"Id-QaF_Wq6GAqACIRNY","Access_Type","ReadWrite"
"Id-pAoI2q6GAqACIRUN","Access_Type","Read"
"Id-_gVI2q6GAqACIRUz","Access_Type","Write"
"Id-AhDI2q6GAqACIRVM","Access_Type","Read"
"Id-.JLU.q6GAqACIRuC","vp-raw-type","ArchiMateProvide"
"Id-.JLU.q6GAqACIRuC","Directed","false"
"Id-RgAVwa6GAqACIQ4J","Access_Type","ReadWrite"
"Id-ajsVwa6GAqACIQ4o","vp-raw-type","ArchiMateProvide"
"Id-ajsVwa6GAqACIQ4o","Directed","false"
"Id-igGjKk6GAqACOAxT","Access_Type","Write"
"Id-EOWjKk6GAqACOAxj","Access_Type","ReadWrite"
"Id-49RTKk6GAqACOAyH","Access_Type","Write"
"Id-zf5TKk6GAqACOAyT","Access_Type","Write"
"Id-hPd_T46GAqACOA8y","Access_Type","Write"
"Id-pvn_T46GAqACOA9Q","Access_Type","Write"
"Id-TBsAz46GAqACOA.T","Access_Type","Write"
"Id-GdLAg_qGAqACJgtp","Access_Type","Write"
"Id-strAg_qGAqACJgtx","Access_Type","Write"
"Id-LIAgg_qGAqACJgub","Access_Type","Access"
"Id-alHwz46GAqACOCnH","Access_Type","Read"
"Id-Pz.Iz46GAqACOCoY","Access_Type","ReadWrite"
"Id-cuZIz46GAqACOCo3","Access_Type","ReadWrite"
"Id-3h5oz46GAqACOCqc","Access_Type","ReadWrite"
"Id-wT6X746GAqACOAu2","Access_Type","ReadWrite"
