"ID","Key","Value"
"_o6xz8EO_EDmtpqy9eOF1DQ","Directed","false"
"_pzXo0EO_EDmtpqy9eOF1DQ","Directed","false"
"_ve1W0EO_EDmtpqy9eOF1DQ","Directed","false"
"_-t9MYEO_EDmtpqy9eOF1DQ","Directed","false"
"_ALzDYEPAEDmtpqy9eOF1DQ","Access_Type","Access"
"_HxykYEPAEDmtpqy9eOF1DQ","Directed","false"
"_Kfb2YEPAEDmtpqy9eOF1DQ","Directed","false"
"_VJWTAEPOEDmtpqy9eOF1DQ","Directed","false"
"_Wpny8EPOEDmtpqy9eOF1DQ","Directed","false"
"_ihXdAEPOEDmtpqy9eOF1DQ","Directed","false"
"_7zj6AEPOEDmtpqy9eOF1DQ","Directed","false"
"_Guk2EEPPEDmtpqy9eOF1DQ","Directed","false"
"_RzczYEYtEDmWbNdZmVTJtQ","Directed","false"
"_kLkaMEYtEDmWbNdZmVTJtQ","Directed","false"
"_mOzdQEYtEDmWbNdZmVTJtQ","Directed","false"
