"ID","Type","Name","Documentation","Source","Target","Specialization"
"_oiUGIInHEDmJPrmLAgYdeQ","ServingRelationship","","","_Cwt-oInGEDmJPrmLAgYdeQ","_TaQjwInGEDmJPrmLAgYdeQ",""
"_27FGAInIEDmJPrmLAgYdeQ","ServingRelationship","","","_85Vb4InCEDmJPrmLAgYdeQ","_1auGgInIEDmJPrmLAgYdeQ",""
"_9Us6gInIEDmJPrmLAgYdeQ","ServingRelationship","","","_7SLCEInIEDmJPrmLAgYdeQ","_1auGgInIEDmJPrmLAgYdeQ",""
"_9zERgInIEDmJPrmLAgYdeQ","ServingRelationship","Access","","_1auGgInIEDmJPrmLAgYdeQ","_7SLCEInIEDmJPrmLAgYdeQ",""
"_37jEgInIEDmJPrmLAgYdeQ","ServingRelationship","Accesses","","_1auGgInIEDmJPrmLAgYdeQ","_85Vb4InCEDmJPrmLAgYdeQ",""
"_m4YB8InJEDmJPrmLAgYdeQ","ServingRelationship","Execute command","","_Dz7vIInGEDmJPrmLAgYdeQ","_hwNVoInGEDmJPrmLAgYdeQ",""
"_pmvXkInHEDmJPrmLAgYdeQ","TriggeringRelationship","","","_Dz7vIInGEDmJPrmLAgYdeQ","_TaQjwInGEDmJPrmLAgYdeQ",""
"_74yyoInHEDmJPrmLAgYdeQ","TriggeringRelationship","","","_Cwt-oInGEDmJPrmLAgYdeQ","_TaQjwInGEDmJPrmLAgYdeQ",""
"_VHKfkInIEDmJPrmLAgYdeQ","TriggeringRelationship","","","_Cwt-oInGEDmJPrmLAgYdeQ","_bBCPQInDEDmJPrmLAgYdeQ",""
"_eRaooInIEDmJPrmLAgYdeQ","TriggeringRelationship","","","_Cwt-oInGEDmJPrmLAgYdeQ","_nE7XkInGEDmJPrmLAgYdeQ",""
"_CDn9MInIEDmJPrmLAgYdeQ","TriggeringRelationship","","","_-TMVUInDEDmJPrmLAgYdeQ","_axG84InDEDmJPrmLAgYdeQ",""
"_Ckt4EInIEDmJPrmLAgYdeQ","TriggeringRelationship","","","_axG84InDEDmJPrmLAgYdeQ","_bQYS0InDEDmJPrmLAgYdeQ",""
"_1j-loInHEDmJPrmLAgYdeQ","TriggeringRelationship","Add, update or delete.","","_bQYS0InDEDmJPrmLAgYdeQ","_Dz7vIInGEDmJPrmLAgYdeQ",""
"_ewACEInIEDmJPrmLAgYdeQ","TriggeringRelationship","Execute query","","_nE7XkInGEDmJPrmLAgYdeQ","_Cwt-oInGEDmJPrmLAgYdeQ",""
"_uBHRIInHEDmJPrmLAgYdeQ","TriggeringRelationship","Find or read","","_bBCPQInDEDmJPrmLAgYdeQ","_Cwt-oInGEDmJPrmLAgYdeQ",""
"_wGnlEInHEDmJPrmLAgYdeQ","TriggeringRelationship","Query","","_bQYS0InDEDmJPrmLAgYdeQ","_bBCPQInDEDmJPrmLAgYdeQ",""
"_LD2nkInIEDmJPrmLAgYdeQ","TriggeringRelationship","Request","","_6bhAgInAEDmOmLXeiJ3PjQ","_-TMVUInDEDmJPrmLAgYdeQ",""
"_5nYJoInHEDmJPrmLAgYdeQ","TriggeringRelationship","Validate","","_TaQjwInGEDmJPrmLAgYdeQ","_Dz7vIInGEDmJPrmLAgYdeQ",""
"_8grSAInHEDmJPrmLAgYdeQ","TriggeringRelationship","Validate","","_TaQjwInGEDmJPrmLAgYdeQ","_Cwt-oInGEDmJPrmLAgYdeQ",""
"_G1dUgInIEDmJPrmLAgYdeQ","TriggeringRelationship","XML or Json Response","","_bBCPQInDEDmJPrmLAgYdeQ","_6bhAgInAEDmOmLXeiJ3PjQ",""
