"ID","Type","Name","Documentation","Source","Target","Specialization"
"_ACSNOCd3Ee2TQ77rRj9fOQ","AssociationRelationship","","","_ACSM7Cd3Ee2TQ77rRj9fOQ","_ACSM7id3Ee2TQ77rRj9fOQ",""
"_ACSy8Sd3Ee2TQ77rRj9fOQ","AssociationRelationship","","","_ACSM9id3Ee2TQ77rRj9fOQ","_ACSM7Cd3Ee2TQ77rRj9fOQ",""
"_ACSy9yd3Ee2TQ77rRj9fOQ","AssociationRelationship","","","_ACSM-Cd3Ee2TQ77rRj9fOQ","_ACSNCid3Ee2TQ77rRj9fOQ",""
"_ACSy-Sd3Ee2TQ77rRj9fOQ","AssociationRelationship","","","_ACSNCid3Ee2TQ77rRj9fOQ","_ACSNDCd3Ee2TQ77rRj9fOQ",""
"_ACSzHSd3Ee2TQ77rRj9fOQ","AssociationRelationship","","","_ACSNNCd3Ee2TQ77rRj9fOQ","_ACSNMCd3Ee2TQ77rRj9fOQ",""
"_ACSNBCd3Ee2TQ77rRj9fOQ","RealizationRelationship","","","_ACSM-id3Ee2TQ77rRj9fOQ","_ACSM8Cd3Ee2TQ77rRj9fOQ",""
"_ACSNBid3Ee2TQ77rRj9fOQ","RealizationRelationship","","","_ACSM_Cd3Ee2TQ77rRj9fOQ","_ACSM8id3Ee2TQ77rRj9fOQ",""
"_ACSNCCd3Ee2TQ77rRj9fOQ","RealizationRelationship","","","_ACSM_id3Ee2TQ77rRj9fOQ","_ACSM9Cd3Ee2TQ77rRj9fOQ",""
"_ACSzByd3Ee2TQ77rRj9fOQ","RealizationRelationship","","","_ACSNJCd3Ee2TQ77rRj9fOQ","_ACSNGid3Ee2TQ77rRj9fOQ",""
"_ACSzCSd3Ee2TQ77rRj9fOQ","RealizationRelationship","","","_ACSNHCd3Ee2TQ77rRj9fOQ","_ACSNHid3Ee2TQ77rRj9fOQ",""
"_ACSzDSd3Ee2TQ77rRj9fOQ","RealizationRelationship","","","_ACSNICd3Ee2TQ77rRj9fOQ","_ACSNIid3Ee2TQ77rRj9fOQ",""
