"ID","Type","Name","Documentation","Source","Target","Specialization"
"_CXsPMZt3EDimW8ONUK7gwg","AggregationRelationship","","","_5JYFgJt2EDimW8ONUK7gwg","_ecETMZj2EDimW8ONUK7gwg",""
"_kmlUs5j2EDimW8ONUK7gwg","AssignmentRelationship","","","_ecETMZj2EDimW8ONUK7gwg","_7Tc1kZjzEDimW8ONUK7gwg",""
"_3fq6kJj2EDimW8ONUK7gwg","AssignmentRelationship","","","_0h5h4Zj2EDimW8ONUK7gwg","_9fczEJjzEDimW8ONUK7gwg",""
"_dAAvcpj3EDimW8ONUK7gwg","AssignmentRelationship","","","_r8FioJj2EDimW8ONUK7gwg","_MPijQZj0EDimW8ONUK7gwg",""
"_fRx9wpj3EDimW8ONUK7gwg","AssignmentRelationship","","","_r8FioJj2EDimW8ONUK7gwg","_JapZwZj0EDimW8ONUK7gwg",""
"_iChnEZj3EDimW8ONUK7gwg","AssignmentRelationship","","","_Pk2AQJj2EDimW8ONUK7gwg","_ecETMZj2EDimW8ONUK7gwg",""
"_inq7g5j3EDimW8ONUK7gwg","AssignmentRelationship","","","_NmHCsZj2EDimW8ONUK7gwg","_ecETMZj2EDimW8ONUK7gwg",""
"_jpwDk5j3EDimW8ONUK7gwg","AssignmentRelationship","","","_xnbU0Zj2EDimW8ONUK7gwg","_0h5h4Zj2EDimW8ONUK7gwg",""
"_li_dI5j3EDimW8ONUK7gwg","AssignmentRelationship","","","_uK3uYJj2EDimW8ONUK7gwg","_r8FioJj2EDimW8ONUK7gwg",""
"_q_pTE5j3EDimW8ONUK7gwg","AssignmentRelationship","","","_oncsoZj3EDimW8ONUK7gwg","_ecETMZj2EDimW8ONUK7gwg",""
"_i6SAk5kaEDimW8ONUK7gwg","AssociationRelationship","","","_aSyRAZjzEDimW8ONUK7gwg","_ZdL0AZkaEDimW8ONUK7gwg",""
"_nYuh0ZkaEDimW8ONUK7gwg","AssociationRelationship","","","_ZdL0AZkaEDimW8ONUK7gwg","_CShWIJkYEDimW8ONUK7gwg",""
"_rj5hw5kaEDimW8ONUK7gwg","AssociationRelationship","","","_ZdL0AZkaEDimW8ONUK7gwg","_CShWIJkYEDimW8ONUK7gwg",""
"_KKZxAJkbEDimW8ONUK7gwg","AssociationRelationship","","","_CShWIJkYEDimW8ONUK7gwg","_QMLisJkaEDimW8ONUK7gwg",""
"_ZIHGcZkbEDimW8ONUK7gwg","AssociationRelationship","","","_9OyhEZkYEDimW8ONUK7gwg","_QMLisJkaEDimW8ONUK7gwg",""
"_gYLaw5kbEDimW8ONUK7gwg","AssociationRelationship","","","_jifiAZkYEDimW8ONUK7gwg","_CShWIJkYEDimW8ONUK7gwg",""
"_ooVTE5kbEDimW8ONUK7gwg","AssociationRelationship","","","_ZdL0AZkaEDimW8ONUK7gwg","_9OyhEZkYEDimW8ONUK7gwg",""
"_HJWlYZkcEDimW8ONUK7gwg","AssociationRelationship","","","_ZdL0AZkaEDimW8ONUK7gwg","_sPLlUJkYEDimW8ONUK7gwg",""
"_NhelE5kcEDimW8ONUK7gwg","AssociationRelationship","","","_oa1UgZkZEDimW8ONUK7gwg","_sPLlUJkYEDimW8ONUK7gwg",""
"_OKwLkpkcEDimW8ONUK7gwg","AssociationRelationship","","","_oa1UgZkZEDimW8ONUK7gwg","_up8-oZkYEDimW8ONUK7gwg",""
"_RcN8U5kcEDimW8ONUK7gwg","AssociationRelationship","","","_oa1UgZkZEDimW8ONUK7gwg","_PNG9QJkYEDimW8ONUK7gwg",""
"_WIk9w5kcEDimW8ONUK7gwg","AssociationRelationship","","","_PNG9QJkYEDimW8ONUK7gwg","_aSyRAZjzEDimW8ONUK7gwg",""
"_mS53U5kcEDimW8ONUK7gwg","AssociationRelationship","","","_8wreMJkXEDimW8ONUK7gwg","_sPLlUJkYEDimW8ONUK7gwg",""
"_nMZEEpkcEDimW8ONUK7gwg","AssociationRelationship","","","_8wreMJkXEDimW8ONUK7gwg","_up8-oZkYEDimW8ONUK7gwg",""
"_9WLwQ5kdEDimW8ONUK7gwg","AssociationRelationship","","","_ZdL0AZkaEDimW8ONUK7gwg","_PNG9QJkYEDimW8ONUK7gwg",""
"_-r5mA5kdEDimW8ONUK7gwg","AssociationRelationship","","","_PNG9QJkYEDimW8ONUK7gwg","_ZdL0AZkaEDimW8ONUK7gwg",""
"_D1zzAZt3EDimW8ONUK7gwg","AssociationRelationship","","","_5JYFgJt2EDimW8ONUK7gwg","_ecETMZj2EDimW8ONUK7gwg",""
"_nHqm0Zj1EDimW8ONUK7gwg","CompositionRelationship","","","_aSyRAZjzEDimW8ONUK7gwg","_7Tc1kZjzEDimW8ONUK7gwg",""
"_n4e_w5j1EDimW8ONUK7gwg","CompositionRelationship","","","_aSyRAZjzEDimW8ONUK7gwg","_9fczEJjzEDimW8ONUK7gwg",""
