"ID","Type","Name","Documentation","Source","Target","Specialization"
"_HPt-MOBlEDmiz_R9yhUHHg","AssociationRelationship","","","_zfCMwN_GEDmiz_R9yhUHHg","_Du14cOBlEDmiz_R9yhUHHg",""
"_v3Oi4OBmEDmiz_R9yhUHHg","AssociationRelationship","","","_Du14cOBlEDmiz_R9yhUHHg","_cxMGIOBmEDmiz_R9yhUHHg",""
"_Do-2IOBnEDmiz_R9yhUHHg","AssociationRelationship","","","_lxMuEOBmEDmiz_R9yhUHHg","_2S1UYOBmEDmiz_R9yhUHHg",""
"_Ekdm8OBnEDmiz_R9yhUHHg","AssociationRelationship","","","_2S1UYOBmEDmiz_R9yhUHHg","_AJsr0OBnEDmiz_R9yhUHHg",""
"_liThAOBnEDmiz_R9yhUHHg","AssociationRelationship","","","_2S1UYOBmEDmiz_R9yhUHHg","_HBDlMOBnEDmiz_R9yhUHHg",""
"_mVsFwOBnEDmiz_R9yhUHHg","AssociationRelationship","","","_AJsr0OBnEDmiz_R9yhUHHg","_HBDlMOBnEDmiz_R9yhUHHg",""
"_O-BRMOBmEDmiz_R9yhUHHg","AssociationRelationship","no","","_Du14cOBlEDmiz_R9yhUHHg","_1MmXAOBkEDmiz_R9yhUHHg",""
"_Bp694OBmEDmiz_R9yhUHHg","AssociationRelationship","No","","_eQKbAOBlEDmiz_R9yhUHHg","_-qIL8OBlEDmiz_R9yhUHHg",""
"_DHYaYOBmEDmiz_R9yhUHHg","AssociationRelationship","No","","_fh1eQOBlEDmiz_R9yhUHHg","_-qIL8OBlEDmiz_R9yhUHHg",""
"_F2_bQOBmEDmiz_R9yhUHHg","AssociationRelationship","no","","_1MmXAOBkEDmiz_R9yhUHHg","_eQKbAOBlEDmiz_R9yhUHHg",""
"_3RUV4OBmEDmiz_R9yhUHHg","AssociationRelationship","No","","_cxMGIOBmEDmiz_R9yhUHHg","_lxMuEOBmEDmiz_R9yhUHHg",""
"_Cko5sOBmEDmiz_R9yhUHHg","AssociationRelationship","si","","_fh1eQOBlEDmiz_R9yhUHHg","_vyiFkOBlEDmiz_R9yhUHHg",""
"_GprccOBmEDmiz_R9yhUHHg","AssociationRelationship","si","","_1MmXAOBkEDmiz_R9yhUHHg","_fh1eQOBlEDmiz_R9yhUHHg",""
"_NZdHIOBmEDmiz_R9yhUHHg","AssociationRelationship","Si","","_eQKbAOBlEDmiz_R9yhUHHg","_IuDvAOBmEDmiz_R9yhUHHg",""
"_iincwOBnEDmiz_R9yhUHHg","AssociationRelationship","si","","_cxMGIOBmEDmiz_R9yhUHHg","_PFlcUOBnEDmiz_R9yhUHHg",""
"_sUniUOBnEDmiz_R9yhUHHg","AssociationRelationship","si","","_PFlcUOBnEDmiz_R9yhUHHg","_HBDlMOBnEDmiz_R9yhUHHg",""
