"ID","Type","Name","Documentation","Source","Target","Specialization"
"_2hXHUNPSEDiUdI4HmtuzBA","ServingRelationship","","","_tJ9IgNPREDiUdI4HmtuzBA","_0a8NYNPSEDiUdI4HmtuzBA",""
"_27I5QNPSEDiUdI4HmtuzBA","ServingRelationship","","","_nntn8NPREDiUdI4HmtuzBA","_0a8NYNPSEDiUdI4HmtuzBA",""
"_3r_HYNPSEDiUdI4HmtuzBA","ServingRelationship","","","_0a8NYNPSEDiUdI4HmtuzBA","_u3o84NPSEDiUdI4HmtuzBA",""
"_4xn5wNPSEDiUdI4HmtuzBA","ServingRelationship","","","_u3o84NPSEDiUdI4HmtuzBA","_0a8NYNPSEDiUdI4HmtuzBA",""
"_7SwZwNPSEDiUdI4HmtuzBA","ServingRelationship","","","_0a8NYNPSEDiUdI4HmtuzBA","_nntn8NPREDiUdI4HmtuzBA",""
"___pmsNPSEDiUdI4HmtuzBA","ServingRelationship","","","_u3o84NPSEDiUdI4HmtuzBA","_wp2hYNPSEDiUdI4HmtuzBA",""
"_AeT4oNPTEDiUdI4HmtuzBA","ServingRelationship","","","_wp2hYNPSEDiUdI4HmtuzBA","_u3o84NPSEDiUdI4HmtuzBA",""
"_B1qtINPTEDiUdI4HmtuzBA","ServingRelationship","","","_u3o84NPSEDiUdI4HmtuzBA","_lszlANPSEDiUdI4HmtuzBA",""
"_CTMWoNPTEDiUdI4HmtuzBA","ServingRelationship","","","_lszlANPSEDiUdI4HmtuzBA","_u3o84NPSEDiUdI4HmtuzBA",""
"_GkeloNPTEDiUdI4HmtuzBA","ServingRelationship","","","_YGh8kNPSEDiUdI4HmtuzBA","_FHK6INPTEDiUdI4HmtuzBA",""
"_H1apENPTEDiUdI4HmtuzBA","ServingRelationship","","","_FHK6INPTEDiUdI4HmtuzBA","_YGh8kNPSEDiUdI4HmtuzBA",""
"_JDjQINPTEDiUdI4HmtuzBA","ServingRelationship","","","_FHK6INPTEDiUdI4HmtuzBA","_u3o84NPSEDiUdI4HmtuzBA",""
"_Jb9JENPTEDiUdI4HmtuzBA","ServingRelationship","","","_u3o84NPSEDiUdI4HmtuzBA","_FHK6INPTEDiUdI4HmtuzBA",""
"_NyIfINPTEDiUdI4HmtuzBA","ServingRelationship","","","_u3o84NPSEDiUdI4HmtuzBA","_LzyjINPTEDiUdI4HmtuzBA",""
"_ONEHoNPTEDiUdI4HmtuzBA","ServingRelationship","","","_LzyjINPTEDiUdI4HmtuzBA","_Qzw5kNPSEDiUdI4HmtuzBA",""
"_fBKW8NPTEDiUdI4HmtuzBA","ServingRelationship","","","_Qzw5kNPSEDiUdI4HmtuzBA","_YGh8kNPSEDiUdI4HmtuzBA",""
"_zRYH0NPTEDiUdI4HmtuzBA","ServingRelationship","","","_u3o84NPSEDiUdI4HmtuzBA","_7kHE8NPREDiUdI4HmtuzBA",""
"_8Ey94NPWEDiUdI4HmtuzBA","ServingRelationship","","","_nntn8NPREDiUdI4HmtuzBA","_3Q-CgNPWEDiUdI4HmtuzBA",""
"_8mcSYNPWEDiUdI4HmtuzBA","ServingRelationship","","","_3Q-CgNPWEDiUdI4HmtuzBA","_u3o84NPSEDiUdI4HmtuzBA",""
"_EbQr0NPSEDiUdI4HmtuzBA","ServingRelationship","Notifications","","_7kHE8NPREDiUdI4HmtuzBA","_tJ9IgNPREDiUdI4HmtuzBA",""
