"ID","Type","Name","Documentation","Source","Target","Specialization"
"_9f7NEDcIEDmOp-d7qwzFRQ","AssociationRelationship","","","_47QvEDcIEDmOp-d7qwzFRQ","_2ll4MDcIEDmOp-d7qwzFRQ",""
"_jnbvoDcJEDmOp-d7qwzFRQ","AssociationRelationship","","","_dKUiQDcJEDmOp-d7qwzFRQ","_gGsMwDcJEDmOp-d7qwzFRQ",""
"_iDHnwDcKEDmOp-d7qwzFRQ","AssociationRelationship","","","_JkM3QDcJEDmOp-d7qwzFRQ","_fJE4gDcKEDmOp-d7qwzFRQ",""
"_tho5gDcKEDmOp-d7qwzFRQ","AssociationRelationship","","","_JkM3QDcJEDmOp-d7qwzFRQ","_qA2TUDcKEDmOp-d7qwzFRQ",""
"_wbrBsDcKEDmOp-d7qwzFRQ","AssociationRelationship","","","_lFN8QDcJEDmOp-d7qwzFRQ","_dKUiQDcJEDmOp-d7qwzFRQ",""
"_wr_8sDcKEDmOp-d7qwzFRQ","AssociationRelationship","","","_dKUiQDcJEDmOp-d7qwzFRQ","_vEg28DcJEDmOp-d7qwzFRQ",""
"_ph87YDcLEDmOp-d7qwzFRQ","AssociationRelationship","","","_l5kfcDcLEDmOp-d7qwzFRQ","_2ll4MDcIEDmOp-d7qwzFRQ",""
"_kXmoUDcJEDmOp-d7qwzFRQ","TriggeringRelationship","","","_2ll4MDcIEDmOp-d7qwzFRQ","_gGsMwDcJEDmOp-d7qwzFRQ",""
"_ova9IDcJEDmOp-d7qwzFRQ","TriggeringRelationship","","","_gGsMwDcJEDmOp-d7qwzFRQ","_lFN8QDcJEDmOp-d7qwzFRQ",""
"_rqsbcDcJEDmOp-d7qwzFRQ","TriggeringRelationship","","","_lFN8QDcJEDmOp-d7qwzFRQ","_pDGHEDcJEDmOp-d7qwzFRQ",""
"_yZlVUDcJEDmOp-d7qwzFRQ","TriggeringRelationship","","","_pDGHEDcJEDmOp-d7qwzFRQ","_vEg28DcJEDmOp-d7qwzFRQ",""
"_izc4gDcKEDmOp-d7qwzFRQ","TriggeringRelationship","","","_vEg28DcJEDmOp-d7qwzFRQ","_fJE4gDcKEDmOp-d7qwzFRQ",""
