"ID","Type","Name","Documentation","Source","Target","Specialization"
"_KKDzcYlcEDikLZ5Pke9ylQ","AssociationRelationship","","","_JAe8QYlcEDikLZ5Pke9ylQ","_HcUa0IlcEDikLZ5Pke9ylQ",""
"_7VdhQYlcEDikLZ5Pke9ylQ","AssociationRelationship","","","_6OaZoIlcEDikLZ5Pke9ylQ","_fr2g8IlcEDikLZ5Pke9ylQ",""
"_73nME4lcEDikLZ5Pke9ylQ","AssociationRelationship","","","_6OaZoIlcEDikLZ5Pke9ylQ","_y_cuAIlbEDikLZ5Pke9ylQ",""
"_9ZICIYlcEDikLZ5Pke9ylQ","AssociationRelationship","","","_Z8LBUYlcEDikLZ5Pke9ylQ","_8XDhIIlcEDikLZ5Pke9ylQ",""
"_B3S2kYldEDikLZ5Pke9ylQ","AssociationRelationship","","","_AWB4IIldEDikLZ5Pke9ylQ","_3T2icYlbEDikLZ5Pke9ylQ",""
"_EAtaI4ldEDikLZ5Pke9ylQ","AssociationRelationship","","","_C14lwYldEDikLZ5Pke9ylQ","__KUvcYlbEDikLZ5Pke9ylQ",""
"_IZNrcYldEDikLZ5Pke9ylQ","AssociationRelationship","","","_uLh2kYlcEDikLZ5Pke9ylQ","_HROIoIldEDikLZ5Pke9ylQ",""
"_JEXhQYldEDikLZ5Pke9ylQ","AssociationRelationship","","","_HROIoIldEDikLZ5Pke9ylQ","_E57hIYldEDikLZ5Pke9ylQ",""
"_g_tgEIldEDikLZ5Pke9ylQ","AssociationRelationship","","","_eEJG0YldEDikLZ5Pke9ylQ","_WSqHgYldEDikLZ5Pke9ylQ",""
"_hTZREoldEDikLZ5Pke9ylQ","AssociationRelationship","","","_fh6FUIldEDikLZ5Pke9ylQ","_Zoez0IldEDikLZ5Pke9ylQ",""
"_64RZgYldEDikLZ5Pke9ylQ","AssociationRelationship","","","_LYPBUYldEDikLZ5Pke9ylQ","_HROIoIldEDikLZ5Pke9ylQ",""
"_7V0RI4ldEDikLZ5Pke9ylQ","AssociationRelationship","","","_31rLMIldEDikLZ5Pke9ylQ","_HROIoIldEDikLZ5Pke9ylQ",""
"_B7VzoYleEDikLZ5Pke9ylQ","AssociationRelationship","","","_AMrSYIleEDikLZ5Pke9ylQ","_HROIoIldEDikLZ5Pke9ylQ",""
"_TlxOAYleEDikLZ5Pke9ylQ","AssociationRelationship","","","_Sz5sMIleEDikLZ5Pke9ylQ","_Nqx2QYleEDikLZ5Pke9ylQ",""
"_doOKYYleEDikLZ5Pke9ylQ","AssociationRelationship","","","_ca1xQYleEDikLZ5Pke9ylQ","_ZXWLEYleEDikLZ5Pke9ylQ",""
"_ggafgYleEDikLZ5Pke9ylQ","AssociationRelationship","","","_ca1xQYleEDikLZ5Pke9ylQ","_eX564IleEDikLZ5Pke9ylQ",""
"_ljTxoIleEDikLZ5Pke9ylQ","AssociationRelationship","","","_hZvbkYlbEDikLZ5Pke9ylQ","_kZb_gYleEDikLZ5Pke9ylQ",""
"_3XKNw4leEDikLZ5Pke9ylQ","AssociationRelationship","","","_z68lkYleEDikLZ5Pke9ylQ","_w-A6YYleEDikLZ5Pke9ylQ",""
"_KfU40YlcEDikLZ5Pke9ylQ","TriggeringRelationship","","","_hZvbkYlbEDikLZ5Pke9ylQ","_HcUa0IlcEDikLZ5Pke9ylQ",""
"_Y4KmoYlcEDikLZ5Pke9ylQ","TriggeringRelationship","","","_3T2icYlbEDikLZ5Pke9ylQ","__KUvcYlbEDikLZ5Pke9ylQ",""
"_mIcw8YlcEDikLZ5Pke9ylQ","TriggeringRelationship","","","_y_cuAIlbEDikLZ5Pke9ylQ","_3T2icYlbEDikLZ5Pke9ylQ",""
"_0GNFQYlcEDikLZ5Pke9ylQ","TriggeringRelationship","","","_Z8LBUYlcEDikLZ5Pke9ylQ","_y_cuAIlbEDikLZ5Pke9ylQ",""
"_JlClY4ldEDikLZ5Pke9ylQ","TriggeringRelationship","","","_uLh2kYlcEDikLZ5Pke9ylQ","_E57hIYldEDikLZ5Pke9ylQ",""
"_QbFQIYldEDikLZ5Pke9ylQ","TriggeringRelationship","","","_3T2icYlbEDikLZ5Pke9ylQ","_E57hIYldEDikLZ5Pke9ylQ",""
"_TNUuQYldEDikLZ5Pke9ylQ","TriggeringRelationship","","","_E57hIYldEDikLZ5Pke9ylQ","_LYPBUYldEDikLZ5Pke9ylQ",""
"_iRfRAIldEDikLZ5Pke9ylQ","TriggeringRelationship","","","_WSqHgYldEDikLZ5Pke9ylQ","_Zoez0IldEDikLZ5Pke9ylQ",""
"_kh4mU4ldEDikLZ5Pke9ylQ","TriggeringRelationship","","","_fr2g8IlcEDikLZ5Pke9ylQ","_WSqHgYldEDikLZ5Pke9ylQ",""
"_0YxmgoldEDikLZ5Pke9ylQ","TriggeringRelationship","","","_Zoez0IldEDikLZ5Pke9ylQ","_E57hIYldEDikLZ5Pke9ylQ",""
"_FO52IYleEDikLZ5Pke9ylQ","TriggeringRelationship","","","_LYPBUYldEDikLZ5Pke9ylQ","_AMrSYIleEDikLZ5Pke9ylQ",""
"_FyrRk4leEDikLZ5Pke9ylQ","TriggeringRelationship","","","_AMrSYIleEDikLZ5Pke9ylQ","_31rLMIldEDikLZ5Pke9ylQ",""
"_U-DPk4leEDikLZ5Pke9ylQ","TriggeringRelationship","","","__KUvcYlbEDikLZ5Pke9ylQ","_Nqx2QYleEDikLZ5Pke9ylQ",""
"_X1gk4oleEDikLZ5Pke9ylQ","TriggeringRelationship","","","_31rLMIldEDikLZ5Pke9ylQ","_Nqx2QYleEDikLZ5Pke9ylQ",""
"_bqkK4oleEDikLZ5Pke9ylQ","TriggeringRelationship","","","_Nqx2QYleEDikLZ5Pke9ylQ","_ZXWLEYleEDikLZ5Pke9ylQ",""
"_f4ZdQ4leEDikLZ5Pke9ylQ","TriggeringRelationship","","","_ZXWLEYleEDikLZ5Pke9ylQ","_eX564IleEDikLZ5Pke9ylQ",""
"_9Ot3A4leEDikLZ5Pke9ylQ","TriggeringRelationship","","","_HcUa0IlcEDikLZ5Pke9ylQ","_w-A6YYleEDikLZ5Pke9ylQ",""
"_DSR784lfEDikLZ5Pke9ylQ","TriggeringRelationship","","","_w-A6YYleEDikLZ5Pke9ylQ","_eX564IleEDikLZ5Pke9ylQ",""
