"ID","Type","Name","Documentation","Source","Target","Specialization"
"_lMpFObVwEeqEM7mFKilpXw","AggregationRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofHbVwEeqEM7mFKilpXw",""
"_lMpFQbVwEeqEM7mFKilpXw","AggregationRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofhLVwEeqEM7mFKilpXw",""
"_lMpFRbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofiLVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFR7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofirVwEeqEM7mFKilpXw","_lMofhLVwEeqEM7mFKilpXw",""
"_lMpFSbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofjLVwEeqEM7mFKilpXw","_lMofhrVwEeqEM7mFKilpXw",""
"_lMpFS7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofjrVwEeqEM7mFKilpXw","_lMofIbVwEeqEM7mFKilpXw",""
"_lMpFTbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofkLVwEeqEM7mFKilpXw","_lMofkrVwEeqEM7mFKilpXw",""
"_lMpFT7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMoflLVwEeqEM7mFKilpXw","_lMofjrVwEeqEM7mFKilpXw",""
"_lMpFUbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMoflLVwEeqEM7mFKilpXw","_lMofiLVwEeqEM7mFKilpXw",""
"_lMpFU7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMoflrVwEeqEM7mFKilpXw","_lMofiLVwEeqEM7mFKilpXw",""
"_lMpFVbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMoflrVwEeqEM7mFKilpXw","_lMofjLVwEeqEM7mFKilpXw",""
"_lMpFV7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofmLVwEeqEM7mFKilpXw","_lMofirVwEeqEM7mFKilpXw",""
"_lMpFcbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMofsLVwEeqEM7mFKilpXw","_lMofnrVwEeqEM7mFKilpXw",""
"_lMpFe7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMpFM7VwEeqEM7mFKilpXw","_lMoftLVwEeqEM7mFKilpXw",""
"_lMpFfbVwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMpFNbVwEeqEM7mFKilpXw","_lMoftrVwEeqEM7mFKilpXw",""
"_lMpFf7VwEeqEM7mFKilpXw","AssignmentRelationship","","","_lMpFNbVwEeqEM7mFKilpXw","_lMpFMbVwEeqEM7mFKilpXw",""
"_lMpFabVwEeqEM7mFKilpXw","AssociationRelationship","","","_lMofqLVwEeqEM7mFKilpXw","_lMofnrVwEeqEM7mFKilpXw",""
"_lMpFa7VwEeqEM7mFKilpXw","AssociationRelationship","","","_lMofqrVwEeqEM7mFKilpXw","_lMofnrVwEeqEM7mFKilpXw",""
"_lMpFbbVwEeqEM7mFKilpXw","AssociationRelationship","","","_lMofrLVwEeqEM7mFKilpXw","_lMofnrVwEeqEM7mFKilpXw",""
"_lMpFb7VwEeqEM7mFKilpXw","AssociationRelationship","","","_lMofrrVwEeqEM7mFKilpXw","_lMofnrVwEeqEM7mFKilpXw",""
"_lMpFc7VwEeqEM7mFKilpXw","AssociationRelationship","","","_lMofsrVwEeqEM7mFKilpXw","_lMofGbVwEeqEM7mFKilpXw",""
"_lMpFN7VwEeqEM7mFKilpXw","CompositionRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofG7VwEeqEM7mFKilpXw",""
"_lMpFO7VwEeqEM7mFKilpXw","CompositionRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofH7VwEeqEM7mFKilpXw",""
"_lMpFPbVwEeqEM7mFKilpXw","CompositionRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofIbVwEeqEM7mFKilpXw",""
"_lMpFP7VwEeqEM7mFKilpXw","CompositionRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofI7VwEeqEM7mFKilpXw",""
"_lMpFQ7VwEeqEM7mFKilpXw","CompositionRelationship","","","_lMofGbVwEeqEM7mFKilpXw","_lMofhrVwEeqEM7mFKilpXw",""
"_lMpFW7VwEeqEM7mFKilpXw","CompositionRelationship","","","_lMofJbVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFWbVwEeqEM7mFKilpXw","RealizationRelationship","","","_lMofmrVwEeqEM7mFKilpXw","_lMofI7VwEeqEM7mFKilpXw",""
"_lMpFXbVwEeqEM7mFKilpXw","RealizationRelationship","","","_lMofnLVwEeqEM7mFKilpXw","_lMofI7VwEeqEM7mFKilpXw",""
"_lMpFX7VwEeqEM7mFKilpXw","RealizationRelationship","","","_lMofnrVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFYbVwEeqEM7mFKilpXw","RealizationRelationship","","","_lMofoLVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFY7VwEeqEM7mFKilpXw","RealizationRelationship","","","_lMoforVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFZbVwEeqEM7mFKilpXw","RealizationRelationship","","","_lMofpLVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFZ7VwEeqEM7mFKilpXw","RealizationRelationship","","","_lMofprVwEeqEM7mFKilpXw","_lMofJbVwEeqEM7mFKilpXw",""
"_lMpFdbVwEeqEM7mFKilpXw","SpecializationRelationship","","","_lMofsrVwEeqEM7mFKilpXw","_lMoftLVwEeqEM7mFKilpXw",""
"_lMpFd7VwEeqEM7mFKilpXw","SpecializationRelationship","","","_lMofsrVwEeqEM7mFKilpXw","_lMoftrVwEeqEM7mFKilpXw",""
