"ID","Type","Name","Documentation","Source","Target","Specialization"
"_QSGkYL0pEDmn3YC-uPBEJw","AssociationRelationship","","","_ABv7UL0pEDmn3YC-uPBEJw","_L9sv8L0pEDmn3YC-uPBEJw",""
"_Tx3P0L0pEDmn3YC-uPBEJw","AssociationRelationship","","","_RLuUAL0pEDmn3YC-uPBEJw","_GtpyoL0pEDmn3YC-uPBEJw",""
"_Zi9EsL0pEDmn3YC-uPBEJw","AssociationRelationship","","","_L9sv8L0pEDmn3YC-uPBEJw","_V6NcYL0pEDmn3YC-uPBEJw",""
"_ypJGAL0pEDmn3YC-uPBEJw","AssociationRelationship","","","_L9sv8L0pEDmn3YC-uPBEJw","_xYJ_QL0pEDmn3YC-uPBEJw",""
"_3Ugo8L0pEDmn3YC-uPBEJw","AssociationRelationship","","","_L9sv8L0pEDmn3YC-uPBEJw","_2krugL0pEDmn3YC-uPBEJw",""
"_wVmgoL0qEDmn3YC-uPBEJw","AssociationRelationship","","","_voVyAL0qEDmn3YC-uPBEJw","_sO_3oL0qEDmn3YC-uPBEJw",""
"_4mVJwJxGEDm_I_Qx11Jw1g","InfluenceRelationship","","","_xBQOwJxGEDm_I_Qx11Jw1g","_1NovoJxGEDm_I_Qx11Jw1g",""
"_K8PxIJxHEDm_I_Qx11Jw1g","InfluenceRelationship","","","_HVu9cJxHEDm_I_Qx11Jw1g","_1NovoJxGEDm_I_Qx11Jw1g",""
"_etMU8L0pEDmn3YC-uPBEJw","InfluenceRelationship","","","_ABv7UL0pEDmn3YC-uPBEJw","_bxR9cL0pEDmn3YC-uPBEJw",""
"_g3__oL0pEDmn3YC-uPBEJw","InfluenceRelationship","","","_GtpyoL0pEDmn3YC-uPBEJw","_bxR9cL0pEDmn3YC-uPBEJw",""
"_mkZhwL0pEDmn3YC-uPBEJw","InfluenceRelationship","","","_V6NcYL0pEDmn3YC-uPBEJw","_bxR9cL0pEDmn3YC-uPBEJw",""
"_Y7BZIJxHEDm_I_Qx11Jw1g","RealizationRelationship","","","_YDMZQJxHEDm_I_Qx11Jw1g","_HVu9cJxHEDm_I_Qx11Jw1g",""
"_iGNWUJxHEDm_I_Qx11Jw1g","RealizationRelationship","","","_hGV0wJxHEDm_I_Qx11Jw1g","_HVu9cJxHEDm_I_Qx11Jw1g",""
"_owEmQJxHEDm_I_Qx11Jw1g","RealizationRelationship","","","_oBm9wJxHEDm_I_Qx11Jw1g","_YDMZQJxHEDm_I_Qx11Jw1g",""
"_sCvQ4JxHEDm_I_Qx11Jw1g","RealizationRelationship","","","_qQepEJxHEDm_I_Qx11Jw1g","_hGV0wJxHEDm_I_Qx11Jw1g",""
"_1f-JML0pEDmn3YC-uPBEJw","RealizationRelationship","","","_xYJ_QL0pEDmn3YC-uPBEJw","_bxR9cL0pEDmn3YC-uPBEJw",""
"_33XeYL0pEDmn3YC-uPBEJw","RealizationRelationship","","","_2krugL0pEDmn3YC-uPBEJw","_bxR9cL0pEDmn3YC-uPBEJw",""
"_ADw4EL0qEDmn3YC-uPBEJw","RealizationRelationship","","","__O8v8L0pEDmn3YC-uPBEJw","_bxR9cL0pEDmn3YC-uPBEJw",""
"_W-B0YL0qEDmn3YC-uPBEJw","RealizationRelationship","","","_WKsS8L0qEDmn3YC-uPBEJw","__O8v8L0pEDmn3YC-uPBEJw",""
"_YZj-QL0qEDmn3YC-uPBEJw","RealizationRelationship","","","_XmdtYL0qEDmn3YC-uPBEJw","__O8v8L0pEDmn3YC-uPBEJw",""
"_ujGBML0qEDmn3YC-uPBEJw","RealizationRelationship","","","_sO_3oL0qEDmn3YC-uPBEJw","__O8v8L0pEDmn3YC-uPBEJw",""
"_BxAnkL0rEDmn3YC-uPBEJw","RealizationRelationship","","","_808WML0qEDmn3YC-uPBEJw","_XmdtYL0qEDmn3YC-uPBEJw",""
"_EEqFML0rEDmn3YC-uPBEJw","RealizationRelationship","","","_808WML0qEDmn3YC-uPBEJw","_6vDnwL0qEDmn3YC-uPBEJw",""
"_GbVBoL0rEDmn3YC-uPBEJw","RealizationRelationship","","","_Fo-XoL0rEDmn3YC-uPBEJw","_6vDnwL0qEDmn3YC-uPBEJw",""
"_W0SNEL0rEDmn3YC-uPBEJw","RealizationRelationship","","","_VrD7ML0rEDmn3YC-uPBEJw","_XmdtYL0qEDmn3YC-uPBEJw",""
"_ZSLoUL0qEDmn3YC-uPBEJw","TriggeringRelationship","","","_XmdtYL0qEDmn3YC-uPBEJw","_WKsS8L0qEDmn3YC-uPBEJw",""
