"ID","Type","Name","Documentation","Source","Target","Specialization"
"_ugZAFmfCEeuyzKg_X9-Fsg","AccessRelationship","","","_ugY_4mfCEeuyzKg_X9-Fsg","_ugY_5GfCEeuyzKg_X9-Fsg",""
"_ugZAJGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_7GfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZAJmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_7mfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZAKGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_8GfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZAKmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_8mfCEeuyzKg_X9-Fsg","_ugY_6GfCEeuyzKg_X9-Fsg",""
"_ugZALGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_8mfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZANGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_9GfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZAOmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_9mfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZAQmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY__GfCEeuyzKg_X9-Fsg","_ugY_6GfCEeuyzKg_X9-Fsg",""
"_ugZASGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY__GfCEeuyzKg_X9-Fsg","_ugY_6mfCEeuyzKg_X9-Fsg",""
"_ugZASmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_7GfCEeuyzKg_X9-Fsg","_ugZAAGfCEeuyzKg_X9-Fsg",""
"_ugZATGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_7mfCEeuyzKg_X9-Fsg","_ugZAAGfCEeuyzKg_X9-Fsg",""
"_ugZATmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_8GfCEeuyzKg_X9-Fsg","_ugZAAGfCEeuyzKg_X9-Fsg",""
"_ugZAUGfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_9GfCEeuyzKg_X9-Fsg","_ugZAAGfCEeuyzKg_X9-Fsg",""
"_ugZAUmfCEeuyzKg_X9-Fsg","AssignmentRelationship","","","_ugY_9mfCEeuyzKg_X9-Fsg","_ugZAAGfCEeuyzKg_X9-Fsg",""
"_ugZADGfCEeuyzKg_X9-Fsg","AssociationRelationship","","","_ugY_2mfCEeuyzKg_X9-Fsg","_ugY_4mfCEeuyzKg_X9-Fsg",""
"_ugZADmfCEeuyzKg_X9-Fsg","AssociationRelationship","","","_ugY_3GfCEeuyzKg_X9-Fsg","_ugY_3mfCEeuyzKg_X9-Fsg",""
