"ID","Type","Name","Documentation","Source","Target","Specialization"
"b8ab4b26-cf5e-4818-87b2-f36d6dc9e368","AggregationRelationship","","","b1a35261-d9e2-4bd5-a978-e49ae20015f3","8bbaefe9-9fd3-4dec-b7f9-6325406ff147",""
"523cc4ba-659c-47e3-a875-ef1c2fca626a","AggregationRelationship","","","b1a35261-d9e2-4bd5-a978-e49ae20015f3","73f44664-f101-45a7-bced-e5f5569d0ca2",""
"13f256e5-9574-4ea3-9946-1c202eda3a85","AggregationRelationship","","","ff624ed1-9b32-454e-a7ed-cca429202514","8bbaefe9-9fd3-4dec-b7f9-6325406ff147",""
"ada8a907-e73f-4ed8-871b-9a62e885cd67","AggregationRelationship","","","ff624ed1-9b32-454e-a7ed-cca429202514","c4245dc7-9e0c-4f74-aad5-09e1bd86c2cf",""
"17d58535-924a-4b6e-aa16-d0baa80f9a1c","AggregationRelationship","","","99ca5ca9-aceb-48d1-93ee-13163cc98ff9","8bbaefe9-9fd3-4dec-b7f9-6325406ff147",""
"918b8d30-326f-4e9c-b59e-b9e63fa2bc86","AggregationRelationship","","","99ca5ca9-aceb-48d1-93ee-13163cc98ff9","b911a5d8-05b0-474f-8418-fd34d0f9acb5",""
"id-382d115adb0a49478a2ffc5d4d2638f7","AggregationRelationship","","","id-865012d4f6e547179789e393c8983d0e","id-7d6a822f8da64f6abfd1cd074481ad4e",""
"id-19caf3399a7742979297a664303617d6","AggregationRelationship","","","id-7d6a822f8da64f6abfd1cd074481ad4e","id-865012d4f6e547179789e393c8983d0e",""
"id-3a2a0261dc694e10a7150181021c81d9","AggregationRelationship","","","id-7d6a822f8da64f6abfd1cd074481ad4e","id-1d68ac67c8ba4de28c6f0923aaab9f4b",""
"id-1d79b62105ec4c5bb8b540483e509d69","AggregationRelationship","","","id-7d6a822f8da64f6abfd1cd074481ad4e","id-7d6a822f8da64f6abfd1cd074481ad4e",""
"id-fb32ae261b11430ca3990dacd6bc7348","AggregationRelationship","","","id-aab628cb59114a89a4da9e2ec1262867","id-341f103fb6f44f0cbfc5d8a8d3492f2a",""
"id-36d9dc7bc18441bfaf1208298c10c727","AggregationRelationship","","","id-aab628cb59114a89a4da9e2ec1262867","id-1a5f2aa436ac41abbe3771379be6b95a",""
"id-ce5223ce0e6f44c4af09b2d7b767af2e","AggregationRelationship","","","id-83ed0717481a4fe0bfdbcbcb5b222c21","id-341f103fb6f44f0cbfc5d8a8d3492f2a",""
"id-afa7d28339eb4c329746e281a91a5a2d","AggregationRelationship","","","id-83ed0717481a4fe0bfdbcbcb5b222c21","id-1a5f2aa436ac41abbe3771379be6b95a",""
"id-2848ada201774a209e7bcb6a25fcc82c","AggregationRelationship","","","id-aab628cb59114a89a4da9e2ec1262867","id-83ed0717481a4fe0bfdbcbcb5b222c21",""
"id-af8a3ac13a87443caa3df39a4b1e203d","AggregationRelationship","","","id-53177f3124a547d6a8c8d365268f479e","id-341f103fb6f44f0cbfc5d8a8d3492f2a",""
"id-90445a828639462db77ef7c62de6b84f","AggregationRelationship","","","id-aab628cb59114a89a4da9e2ec1262867","id-f24735882a24445cbcd14f66513f6ae9",""
"id-572731260f5c451ca677442dc505fe9d","AggregationRelationship","","","id-da1422c2090445e39c12c2e525c90fd5","id-341f103fb6f44f0cbfc5d8a8d3492f2a",""
"id-82037e8b83bd47e39dfcbccb1389d1af","AggregationRelationship","","","id-aab628cb59114a89a4da9e2ec1262867","id-da1422c2090445e39c12c2e525c90fd5",""
"id-7abba639bece496ea32593f6caf09521","AggregationRelationship","","","id-8dc520f2f2d04c678ce8304838a2a38c","id-6d915192185b49ec928088df90e51340",""
"id-9cca3a0dda5540fc9865fc7d86c21ea3","AggregationRelationship","","","id-8dc520f2f2d04c678ce8304838a2a38c","id-cec0f511e36e485480d367a066e00b23",""
"id-f5a33dc17a5e4d2a89df4bec71b531de","AggregationRelationship","","","id-125eda29db574584a292dab2a7bcb1a0","id-b30a142ae722481a8ee91dc4b2346c7d",""
"id-45da61aff9df48ab8bcccac7bcbeecbe","AggregationRelationship","","","id-bb8a29de10ad4bec8907f9cf4cba3eaf","id-cec0f511e36e485480d367a066e00b23",""
"id-42663fcac7ff41be9152f0f8bee2212d","AggregationRelationship","","","id-bb8a29de10ad4bec8907f9cf4cba3eaf","id-119661ebd5844209bb1be4e6e908e346",""
"id-e4c5b7c444dd419ebd09aeccf5cc74a9","AggregationRelationship","","","id-125eda29db574584a292dab2a7bcb1a0","id-cec0f511e36e485480d367a066e00b23",""
"id-51aa21f764bb443181101db45b90de10","AggregationRelationship","","","id-8df2637b46ce4124aa6051c8268010c6","id-b33138abb172485f8321b21b745a7750",""
"id-0c184de924e147d7a07a1d81332e3bd4","AggregationRelationship","","","id-94dcbe31a0dc4c2abc169bd06cf54872","id-b33138abb172485f8321b21b745a7750",""
"id-aef49e58557d4098963ded007821aa28","AggregationRelationship","","","id-f394c0e67df64d35be1eb1d6e95707cc","id-b33138abb172485f8321b21b745a7750",""
"id-100a68fc23714bdc8865955ee792314e","AssociationRelationship","","","7f8b1df8-f20c-48f8-a8a5-3fb64d9ccc8d","id-9486885c77fc427d9e1d79c307e087ae",""
"id-ca8662dccf704e5790fb5583cd080a6f","AssociationRelationship","","","id-7d6a822f8da64f6abfd1cd074481ad4e","id-7d6a822f8da64f6abfd1cd074481ad4e",""
"id-a4f34b531b7345a0b9d1e956e36c4336","AssociationRelationship","","","id-35667552da604628b61b50413ec37c13","id-341f103fb6f44f0cbfc5d8a8d3492f2a",""
"id-883681d56ec641a184f4e7b24e8f68e6","AssociationRelationship","","","id-62ce198090e344aabb07f9746fc43111","id-9f9e41706a824f3ea33a85cdae3134f5",""
"id-2bcb7bd01322445e966ea3254be74d4f","AssociationRelationship","","","id-7879ba795d9d404ca9244937157cecf4","id-5922904449a642a9b64e925282e2edc9",""
"id-07dacad60fe1494a9ed44033094c2524","AssociationRelationship","","","id-9f9e41706a824f3ea33a85cdae3134f5","id-c5a85efad99b4414a24fb31054d2a8b1",""
"id-e0ec5582594247508936c5934b53da40","AssociationRelationship","","","id-66b14ff32cb74a99b554a8f147ca24e8","id-7879ba795d9d404ca9244937157cecf4",""
