"ID","Key","Value"
"id-7ec04c0d","Access_Type","Write"
"id-9f0afa4d","Access_Type","Write"
"id-82461b51","Access_Type","Write"
"id-9ceec791","Access_Type","Write"
"df585d3d","Access_Type","Write"
"id-9f963ccc","Access_Type","Write"
"id-0c2bc9d5","Directed","false"
"id-201f03a3","Directed","false"
"id-212b19f2","Directed","false"
"id-5b014002","Access_Type","Write"
"id-95990464","Directed","false"
"b19e8266","Access_Type","Write"
"id-912893dc","Directed","false"
"ff7d9fe6","Directed","false"
"f6346892","Access_Type","Write"
"id-6111f89a","Directed","false"
"id-10df22da","Access_Type","Write"
"id-63dc85f6","Access_Type","Write"
