"ID","Type","Name","Documentation","Source","Target","Specialization"
"bedf7c0f","AccessRelationship","","","b021272e","id-3d9dcbd8",""
"id-1000b918","AccessRelationship","","","id-3ff43f6e","id-4cde71a1",""
"id-37f797bd","AccessRelationship","","","id-8daa6dff","id-4cde71a1",""
"c2a19b08","AccessRelationship","","","b021272e","id-48e5046f",""
"id-8eea3eae","AccessRelationship","","","id-9883ed0b","id-80e50e1a",""
"id-34c96da7","AccessRelationship","","","b021272e","efcc16b9",""
"d44b2732","AccessRelationship","","","b021272e","f408d096",""
"b1ec8922","AccessRelationship","","","b021272e","id-9f071aa6",""
"id-4571cb41","AccessRelationship","","","id-9883ed0b","id-49c6d539",""
"d987d5a6","AccessRelationship","","","id-9883ed0b","id-5f3bdaf7",""
"e66b25ab","AccessRelationship","","","id-9883ed0b","id-3a8ce645",""
"id-4512e28d","AccessRelationship","","","c2572f6f","id-3a8ce645",""
"id-338139ce","AccessRelationship","","","c2572f6f","id-5f3bdaf7",""
"id-72c02a65","AccessRelationship","","","c2572f6f","id-49c6d539",""
"id-180fffb9","AccessRelationship","","","id-624cf7bb","id-5516ca60",""
"f36a1f17","AccessRelationship","","","id-190efa5c","id-5516ca60",""
"id-631ddd48","AccessRelationship","","","ebf837a2","aa34aeb4",""
"bee97b7e","AccessRelationship","","","id-45d711a4","id-3b989519",""
"acdd81fa","AccessRelationship","","","id-45d711a4","c7b0c59e",""
"id-3fd7ac50","AccessRelationship","","","id-45d711a4","id-400a7089",""
"id-92362aaf","AccessRelationship","","","id-45d711a4","id-11b60f8f",""
"id-378bd2fb","AccessRelationship","","","id-45d711a4","id-08dcbbb9",""
"id-29a0b27a","AccessRelationship","","","id-45d711a4","id-8cc5c65c",""
"id-0b85ba01","AccessRelationship","","","id-45d711a4","dc63ddd7",""
"b77e9802","AccessRelationship","","","id-45d711a4","id-7ae2b980",""
"id-2966f68d","AccessRelationship","","","id-45d711a4","id-8fa90516",""
"afb6e5ea","AccessRelationship","","","id-45d711a4","a5f7a714",""
"id-673467f3","AccessRelationship","","","id-977880f9","id-75c5654e",""
"id-5b602837","AccessRelationship","","","id-229d5567","cecec088",""
"id-0a0d62df","AccessRelationship","","","b4eb1884","id-4ac9d561",""
"id-7f00d888","AccessRelationship","","","b4eb1884","f22f0c77",""
"id-05d52443","AccessRelationship","","","id-4e630e03","e15a194c",""
"id-90cd806f","AccessRelationship","","","a3b3efae","bdbd2cce",""
"id-5cd929f0","AccessRelationship","","","id-47c723ea","id-9a0c3d6a",""
"id-690ffd42","AccessRelationship","","","id-47c723ea","e410dba4",""
"id-6402c425","AccessRelationship","","","id-8faa1941","id-15729fa5",""
"b2c58913","AccessRelationship","","","id-9b07ecc3","a89b24de",""
"id-530bada4","AccessRelationship","","","ccbdbef1","f3645636",""
"id-4797f7a6","AccessRelationship","","","b2804205","id-328ddf9e",""
"id-2d3e0e59","AccessRelationship","","","eb8a6476","d8ad198b",""
"c6826e4b","AccessRelationship","","","eb8a6476","c14a01c7",""
"id-5e87e5e4","AccessRelationship","","","eb8a6476","dd0b8e41",""
"id-157cd12a","AccessRelationship","","","id-3d927a16","id-81ceb25d",""
"id-69bd4ce5-0946-4964-8df8-3861868f4106","AccessRelationship","","","id-04039ed3","id-47e63b36",""
"id-4aa95c36-f565-420c-acf9-771b93849321","AccessRelationship","","","id-4a722fa4-ef67-4815-afcb-c0ccc1ac7619","cb163ffe-626f-4388-9973-83d9bf55b1f9",""
"id-86a5fea1-65f2-40fa-8884-deb3e06c3178","AccessRelationship","","","id-4a722fa4-ef67-4815-afcb-c0ccc1ac7619","id-282b93da-6355-4eda-9c71-ae805a7e93ec",""
"f54752bd-0aff-4f1c-b988-9dd24b8642e3","AccessRelationship","","","id-4a722fa4-ef67-4815-afcb-c0ccc1ac7619","cc606410-4f9e-4986-a4f8-454d42fbaa59",""
"id-10607334-6682-427e-98de-707d1877cd45","AccessRelationship","","","id-4a722fa4-ef67-4815-afcb-c0ccc1ac7619","id-29bf53dc-5ecd-40d3-94ca-949b300940d4",""
"id-937e842c-dd94-472a-bb03-fbd6c17640e3","AccessRelationship","","","id-4a722fa4-ef67-4815-afcb-c0ccc1ac7619","id-2331e236-6367-4269-96d5-43dd7da9d519",""
"aa026eba-cffc-4ad9-a22c-d7b46175ceaa","AccessRelationship","","","id-4a722fa4-ef67-4815-afcb-c0ccc1ac7619","id-82989ff1-cbaf-4db5-875f-5c68d4054a6f",""
"id-0dc2d448-2f84-450d-bba6-4376e2b65e35","AccessRelationship","","","b80c329d-c001-411a-ad4a-dff374269f53","d9ac0ff2-9627-4642-8de5-92168cedd1ab",""
"id-5f249095","AssignmentRelationship","","","id-3ff43f6e","id-237ee0d5",""
"id-9ab2a62c","AssignmentRelationship","","","id-86911f36","bb4ed934",""
"c0709690","AssignmentRelationship","","","id-86911f36","id-6f340093",""
"id-4f87e59b","AssignmentRelationship","","","id-9883ed0b","c2572f6f",""
"id-2463aaf5","AssignmentRelationship","","","f72da6c7","id-5c7a95a1",""
"id-2d822b5a","AssignmentRelationship","","","id-190efa5c","bb6478d0",""
"id-7823dc0f","AssignmentRelationship","","","ebf837a2","id-744553e4",""
"id-697b2fd6","AssignmentRelationship","","","id-22730770","id-98b43131",""
"c8923c49","AssignmentRelationship","","","id-22730770","cf4d0fb8",""
"id-02b310e3","AssignmentRelationship","","","id-9177592f","id-18ff2da3",""
"id-74912fee","AssignmentRelationship","","","id-4c7aed05","d82a3c26",""
"d319f6ec","AssignmentRelationship","","","id-977880f9","id-408d3c0a",""
"id-7e57c695","AssignmentRelationship","","","f794ea6e","ba0756c7",""
"b235862e","AssignmentRelationship","","","f794ea6e","id-013b982f",""
"id-77a42c43","AssignmentRelationship","","","fe37779b","a900f429",""
"df06e591","AssignmentRelationship","","","id-8bf6901f","id-46c453c2",""
"id-342f79c2","AssignmentRelationship","","","fe37779b","id-0c38aa99",""
"id-37ce284c","AssignmentRelationship","","","id-8faa1941","id-111b749e",""
"f527278c","AssignmentRelationship","","","fe37779b","id-8090cd50",""
"id-76bc5cbf","AssignmentRelationship","","","b2804205","e4788bad",""
"id-876ae2ba","AssignmentRelationship","","","ccbdbef1","cdccaf1d",""
"id-7a37b3ce","AssignmentRelationship","","","id-481f9cea","id-75541b1c",""
"id-6186f5f7","AssignmentRelationship","","","id-481f9cea","f72c5802",""
"id-76810248","AssignmentRelationship","","","id-833bc0d7","id-5850987d",""
"e35c5379","AssignmentRelationship","","","id-833bc0d7","id-20b2f042",""
"b9c30e54","AssignmentRelationship","","","id-833bc0d7","f14c606a",""
"id-61eb4215","AssignmentRelationship","","","id-833bc0d7","fc151520",""
"id-74c326b6","AssignmentRelationship","","","id-833bc0d7","dd4310cd",""
"id-699f5f1b","AssignmentRelationship","","","id-8c09392c","id-04039ed3",""
"id-220b5ac0-61a0-4fe6-b7bc-b5d706805981","AssignmentRelationship","","","c54611ce-6a33-4b8c-b277-371a492a00e4","ee39fd0b-efc6-4931-9dc1-133be3f617b8",""
"id-796d7097-0425-48d0-90d4-f091e653fc4a","AssignmentRelationship","","","id-4f943609-54a6-4ce9-a95e-c865915a923d","id-9b785409-156b-4ba6-b08c-20d12d676701",""
"id-5b57de7f-b74f-4aab-ac8e-ddd35f856649","AssignmentRelationship","","","b80c329d-c001-411a-ad4a-dff374269f53","f1812586-bf5c-4ea5-b8c2-5991af7aa910",""
"c4b54176-1a7d-4e5d-b35d-80b3ef898284","AssignmentRelationship","","","id-56bb1ddb-3647-49c0-8f07-a05b4014f93b","b6b9db83-4d56-4e8c-a898-655d2a042dfa",""
"fe1d273e-cb84-43c6-829c-2334a186d227","AssignmentRelationship","","","id-4f07ecd9-8f8f-4ae1-b879-f86cc3e5248c","id-145e7b96-6b08-403d-87c5-ba1f7715eaa8",""
"a6d1ee32-cbae-47ec-ad10-651c6394df62","AssignmentRelationship","","","c54611ce-6a33-4b8c-b277-371a492a00e4","b5e08ffa-1bec-46a7-bcc5-04f8940f675e",""
"id-59bc3b35-478e-4365-9077-32833948e8c7","AssignmentRelationship","","","id-3cda3333-9a4b-4d13-b8ce-15e9498091f1","a3f89b1f-e67f-4e3d-a01e-2cfb1d3e2ffc",""
"b38368ae","AssociationRelationship","","","e8dbd4e9","id-52b3939b",""
"id-193fd98a","AssociationRelationship","","","id-59f7b606","be750637",""
"id-025c3bba","AssociationRelationship","","","id-93ba1cb3","id-518e7a1d",""
"id-1a31cbc1","AssociationRelationship","","","e8dbd4e9","id-96debbb5",""
"e02c0d57","AssociationRelationship","","","id-841d6b78","id-0969b6a7",""
"id-6e42c278","AssociationRelationship","","","b31a1045","id-28c4a311",""
"id-4944890f","AssociationRelationship","","","id-9edead95","e83c3a3a",""
