"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-5d96a680","AccessRelationship","","","id-00c71422","id-4d2a83b0",""
"ac4a9ac2","AccessRelationship","","","id-8b9f75ac","id-4d2a83b0",""
"id-40b92eb8","AccessRelationship","","","a9f396df","adb672f1",""
"id-25738cd7","AccessRelationship","","","id-7a0d8f58","adb672f1",""
"a2d1360c","AccessRelationship","","","id-77da45ed","dd44d8ec",""
"id-7e32ebbe","AccessRelationship","","","a11a0ef0","id-70f1590e",""
"id-6cca5e12","AccessRelationship","","","f0c1ff90","id-70f1590e",""
"id-2be5df3e","AccessRelationship","","","id-77da45ed","id-3fbf7fa8",""
"id-8596cc1b","AccessRelationship","","","cada5aff","e1a09b10",""
"cf26e9a7","AccessRelationship","","","c2f56291","e1a09b10",""
"id-199405a0","AccessRelationship","","","id-60f9cf88","e1a09b10",""
"id-5314ff7f-556b-4984-bacc-972df0c84c6a","AccessRelationship","","","id-5640987c-b16d-41b4-a5ac-6ba82e5909a6","id-0d851d0d-09f5-4be0-9030-3db8b60287bf",""
"id-049862c8-28a7-41a1-9aab-8074c63a57cc","AccessRelationship","","","f17bea54-435e-44d2-9694-85d07f057858","ca221830-226a-4814-85bb-b5d846c9373d",""
"id-6b441cfe","AssignmentRelationship","","","id-992c4933","id-4b98a20d",""
"id-1b6db792","AssignmentRelationship","","","b6587267","id-8e91b051",""
"id-006fba5a","AssignmentRelationship","","","id-88464d10","f51a6619",""
"id-7b3ad10d","AssignmentRelationship","","","cada5aff","ac82f83c",""
"id-85292296","AssignmentRelationship","","","cada5aff","c2f56291",""
"ae4b2471-20f2-48c0-a859-b73b6cf2c0b8","AssignmentRelationship","","","f5518965-fdf3-4e8d-8e07-a6b3d5919436","f17bea54-435e-44d2-9694-85d07f057858",""
"c98f2e56-321c-4f8e-b74c-a95e50a6b5ee","AssignmentRelationship","","","c6b30132-f7c6-4383-ae4c-22af0661da05","id-7b620243-2948-49ad-9dbe-2448f538c1c8",""
"id-9b00a73a-1f41-40a0-a840-acb7021a7d05","AssignmentRelationship","","","id-5640987c-b16d-41b4-a5ac-6ba82e5909a6","id-29167641-346b-4a66-90ea-78432839355d",""
"id-59b17dd5","AssociationRelationship","","","ac82f83c","id-77da45ed",""
"id-3fbe9c6c","AssociationRelationship","","","id-60f9cf88","e1a09b10",""
"id-8b4ca9b6","AssociationRelationship","","","id-60f9cf88","id-77da45ed",""
"dd9047b2","AssociationRelationship","","","id-7a0d8f58","id-77da45ed",""
"id-3602f1f6","AssociationRelationship","","","a11a0ef0","id-77da45ed",""
"id-46ee5646-d88a-4794-ba57-fd8e2bedffa1","AssociationRelationship","","","id-0d851d0d-09f5-4be0-9030-3db8b60287bf","id-9933d3be-5201-4749-a5df-ac55a7bf035b",""
"fea3c334-454c-49cc-be08-fdb5e4dbe393","AssociationRelationship","","","ca221830-226a-4814-85bb-b5d846c9373d","id-5640987c-b16d-41b4-a5ac-6ba82e5909a6",""
"ff7c1873","AssociationRelationship","injected dependency","","adb672f1","a11a0ef0",""
"id-59268c43","CompositionRelationship","","","id-946932c3","becc95cc",""
"id-3f86d3e6","CompositionRelationship","","","f51a6619","id-430a771c",""
"f7b985f8","CompositionRelationship","","","id-90fba05c","id-794916fc",""
"id-58c7fa2e","CompositionRelationship","","","id-90fba05c","e8c544bf",""
"f682b3e3","CompositionRelationship","","","f51a6619","id-00c71422",""
"dde8b976","CompositionRelationship","","","id-5987a4d2","id-60f9cf88",""
"id-1d151577","CompositionRelationship","","","id-5987a4d2","dcbf743f",""
"id-1636672c","CompositionRelationship","","","id-5987a4d2","c2cd6391",""
"id-7df35815","CompositionRelationship","","","id-5987a4d2","id-38501faa",""
"id-7c508e12-ef28-4f31-99e7-9d950442357e","CompositionRelationship","","","f17bea54-435e-44d2-9694-85d07f057858","de48fe46-0040-42a5-840b-52f66623c682",""
"id-33b0d77e-9262-450d-8b6a-3c452d360324","CompositionRelationship","","","f17bea54-435e-44d2-9694-85d07f057858","be78f4ca-1924-4ebf-bf6c-9a4666be83cf",""
"id-0d1674d9","FlowRelationship","","","becc95cc","f51a6619",""
"id-9f7aaaaf","FlowRelationship","","","id-00c71422","id-430a771c",""
"id-3cfc99e7","FlowRelationship","","","id-60f9cf88","dcbf743f",""
"id-04283b27","FlowRelationship","","","dcbf743f","c2cd6391",""
"id-54f5c2e0","FlowRelationship","","","c2cd6391","id-38501faa",""
"id-3b57e3a0","FlowRelationship","","","dcbf743f","c2f56291",""
"id-35b159b2","FlowRelationship","","","c2cd6391","c2f56291",""
"id-6b51caae","RealizationRelationship","","","id-992c4933","id-47f8b39e",""
"id-9d25f42a","RealizationRelationship","","","b6587267","id-47f8b39e",""
"id-05d9e28d","RealizationRelationship","","","id-1c70b19b","a11a0ef0",""
"f7346ff2","RealizationRelationship","injected dependency","","d35f1b1e","a11a0ef0",""
"id-003a00c1","RealizationRelationship","injected dependency","","id-027b0a2d","id-7a0d8f58",""
"id-519adda0","TriggeringRelationship","","","ebf62219","id-4b98a20d",""
"id-5097da49","TriggeringRelationship","","","id-794916fc","ebf62219",""
"id-852c8fe0","TriggeringRelationship","","","e8c544bf","id-946932c3",""
"id-2866f18b","TriggeringRelationship","","","e8c544bf","id-794916fc",""
"id-8c6651a2-35f8-48e7-9c80-da7a4db30f82","TriggeringRelationship","","","de48fe46-0040-42a5-840b-52f66623c682","c6b30132-f7c6-4383-ae4c-22af0661da05",""
