"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-0a0b5367","AccessRelationship","","","id-510a453f","id-9ea2ddc1",""
"cf1ad34d","AccessRelationship","","","id-2438a1b7","id-9ea2ddc1",""
"id-4bdc4073","AccessRelationship","","","id-2438a1b7","id-85d49263",""
"id-53a2bafa","AccessRelationship","","","id-28414116","id-85d49263",""
"id-80ed2bd1","AccessRelationship","","","id-4dd73992","id-4bc494ff",""
"id-34bb2fdb","AccessRelationship","","","id-0a3d1bf4","id-4bc494ff",""
"faa81680","AccessRelationship","","","id-28414116","id-4bc494ff",""
"id-0fc75197","AccessRelationship","","","id-4dd73992","id-9fa7e145",""
"id-9855a5bf","AccessRelationship","","","id-52d80bdb","id-51e6b2c2",""
"id-49753d14","AccessRelationship","","","id-54b61939","id-51e6b2c2",""
"id-982e5222","AccessRelationship","","","id-82089b81","id-51e6b2c2",""
"id-60e59ce5","AccessRelationship","","","id-57f4827c","b13318ec",""
"f1a59c13","AccessRelationship","","","id-54b61939","b13318ec",""
"da0fda39","AccessRelationship","","","id-324d5e24","b13318ec",""
"id-4b41dd27","AccessRelationship","","","f7c21ddf","adb89810",""
"eab0ed23","AccessRelationship","","","id-87efb135","id-86b87e81",""
"id-25d170e2","AggregationRelationship","","","b13318ec","f59f4a36",""
"id-6e7122fc","AggregationRelationship","","","b13318ec","adb89810",""
"id-0fd4a4ab","AssociationRelationship","","","id-510a453f","id-2438a1b7",""
"id-678b5efc","AssociationRelationship","","","id-8cd45474","id-35ad9597",""
"b049b148","AssociationRelationship","","","id-89660b2d","id-35ad9597",""
"id-555200e5","AssociationRelationship","","","id-0a3d1bf4","id-28414116",""
"e79786fc","AssociationRelationship","","","id-89660b2d","a78aaf6c",""
"id-72acc38f","AssociationRelationship","","","a78aaf6c","id-57b9ef55",""
"a5d6db5a","AssociationRelationship","","","id-103419b8","id-35ad9597",""
"id-43070d7f","AssociationRelationship","","","id-000ee142","id-52d80bdb",""
"id-3a19d58e","AssociationRelationship","","","id-6a1f070a","id-6bdd9f75",""
"id-48216a19","AssociationRelationship","","","id-0e407361","id-74f145bb",""
"id-55322fa9","AssociationRelationship","","","id-0e407361","id-57f4827c",""
"cba4b4e7","AssociationRelationship","","","id-1008bec3","id-6f0eb5ca",""
"id-17085b7b","AssociationRelationship","","","id-87efb135","id-6f0eb5ca",""
"e6011534","CompositionRelationship","","","id-3a050b94","id-2438a1b7",""
"fe42c810","CompositionRelationship","","","id-3a050b94","id-510a453f",""
"id-6a15c517","CompositionRelationship","","","id-57f4827c","id-52d80bdb",""
"id-350f67bb","CompositionRelationship","","","id-57f4827c","id-54b61939",""
"id-5e4fc09b","CompositionRelationship","","","id-74f145bb","id-324d5e24",""
"id-3c194afc","CompositionRelationship","","","id-57f4827c","id-82089b81",""
