"ID","Key","Value"
"d35b7b41-b41e-417f-8f0b-4b46b25609b7","Architectuurtool","ARCHI"
"d35b7b41-b41e-417f-8f0b-4b46b25609b7","Publiceren","SWC en wiki"
"d35b7b41-b41e-417f-8f0b-4b46b25609b7","SWC status","In gebruik"
"d35b7b41-b41e-417f-8f0b-4b46b25609b7","Type model","Kernmodel"
"id-a51a079bcf3e492ebd00d8050af82b09","SWC type","Bedrijfsfunctie"
"id-a51a079bcf3e492ebd00d8050af82b09","Werkingsgebied","FO"
"id-a51a079bcf3e492ebd00d8050af82b09","SWC status","In gebruik"
"id-64c649139a8f47c8a3e1050b4ff469d5","Toelichting","Overheidsinstanties die mogelijk persoonsgegevens ontvangen in het kader van een bijzonder onderzoek overeenkomstig het Unierecht of het lidstatelijke recht gelden echter niet als ontvangers; de verwerking van die gegevens door die overheidsinstanties strookt met de gegevensbeschermingsregels die op het betreffende verwerkingsdoel van toepassing zijn."
"id-64c649139a8f47c8a3e1050b4ff469d5","Onderwijsbegrippen.nl","Nee"
"id-64c649139a8f47c8a3e1050b4ff469d5","Beschikbaarheid","Laag"
"id-64c649139a8f47c8a3e1050b4ff469d5","Integriteit","Midden"
"id-64c649139a8f47c8a3e1050b4ff469d5","Vertrouwelijkheid","Laag"
"id-64c649139a8f47c8a3e1050b4ff469d5","Persoonsgegevens","Ja"
"id-64c649139a8f47c8a3e1050b4ff469d5","Gegevenscategorie","Partij"
"id-64c649139a8f47c8a3e1050b4ff469d5","Domein","Bedrijfsvoering"
"id-64c649139a8f47c8a3e1050b4ff469d5","Sector","FO"
"id-64c649139a8f47c8a3e1050b4ff469d5","Bron","FORA-Serviceteam"
"id-64c649139a8f47c8a3e1050b4ff469d5","Status","Definitief"
"id-64c649139a8f47c8a3e1050b4ff469d5","Statusdatum","30-9-2022"
"id-59dc5df56195459a852c3389131bf2e0","Onderwijsbegrippen.nl","Nee"
"id-59dc5df56195459a852c3389131bf2e0","Beschikbaarheid","Laag"
"id-59dc5df56195459a852c3389131bf2e0","Integriteit","Laag"
"id-59dc5df56195459a852c3389131bf2e0","Vertrouwelijkheid","Laag"
"id-59dc5df56195459a852c3389131bf2e0","Persoonsgegevens","Nee"
"id-59dc5df56195459a852c3389131bf2e0","Gegevenscategorie","Middel"
"id-59dc5df56195459a852c3389131bf2e0","Domein","Bedrijfsvoering"
"id-59dc5df56195459a852c3389131bf2e0","Sector","FO"
"id-59dc5df56195459a852c3389131bf2e0","Bron","FORA-Serviceteam"
"id-59dc5df56195459a852c3389131bf2e0","Status","Definitief"
"id-59dc5df56195459a852c3389131bf2e0","Statusdatum","30-9-2022"
"id-99294a1123684f439d41c73cd7d04556","SWC type","Bedrijfsfunctie"
"id-99294a1123684f439d41c73cd7d04556","SWC status","In gebruik"
"id-f362bf93c0f943d0a8f3af109e2a49cd","Onderwijsbegrippen.nl","Nee"
"id-f362bf93c0f943d0a8f3af109e2a49cd","Beschikbaarheid","Laag"
"id-f362bf93c0f943d0a8f3af109e2a49cd","Integriteit","Midden"
"id-f362bf93c0f943d0a8f3af109e2a49cd","Vertrouwelijkheid","Midden"
"id-f362bf93c0f943d0a8f3af109e2a49cd","Persoonsgegevens","Nee"
"id-f362bf93c0f943d0a8f3af109e2a49cd","Gegevenscategorie","Middel"
