"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-339ad685","AccessRelationship","","","id-0e6d2115","id-013be947",""
"id-7c8d3150","AccessRelationship","","","caa04740","id-5ed9a8fd",""
"id-405e3693","AccessRelationship","","","id-50476976","c6244dec",""
"ea6deeb8","AccessRelationship","","","a7574f6e","cab70b37",""
"id-593b8331","AccessRelationship","","","c6244dec","id-74ba32c0",""
"id-4e4a1261","AssignmentRelationship","","","c9b01cb1","f97efe45",""
"id-1981d0dd","AssignmentRelationship","","","c9b01cb1","id-3f07fe00",""
"id-5929eb75","AssignmentRelationship","","","c9b01cb1","id-13e35133",""
"id-5c8bfa4e","AssociationRelationship","","","ac563198","id-968daf19",""
"dd310e18","AssociationRelationship","","","id-92b9ddd7","id-7dbc6ca0",""
"id-3c53ccac","AssociationRelationship","","","d036e610","id-11058dd7",""
"d3a7000b","AssociationRelationship","","","b14f5d92","id-630aa3f8",""
"f112a16e","AssociationRelationship","","","id-2a8ecc45","cada4324",""
"id-2afe24e1","AssociationRelationship","","","b14f5d92","id-968daf19",""
"id-0ac18b5d","AssociationRelationship","","","id-1efc7035","be268eda",""
"id-017258cb","AssociationRelationship","","","id-11058dd7","id-968daf19",""
"id-321b109b","AssociationRelationship","","","d036e610","ac563198",""
"id-24b0c548","AssociationRelationship","","","id-9e436d95","id-7dbc6ca0",""
"a55c661e","AssociationRelationship","","","id-630aa3f8","ac563198",""
"c856ed9b","AssociationRelationship","","","d036e610","b14f5d92",""
"id-886f4973","AssociationRelationship","","","id-022f4634","be268eda",""
"id-1243bfc2","CompositionRelationship","","","id-013be947","id-9e436d95",""
"id-32908a74","CompositionRelationship","","","id-74ba32c0","d036e610",""
"id-21228112","CompositionRelationship","","","id-013be947","id-7dbc6ca0",""
"ff75e43e","CompositionRelationship","","","id-74ba32c0","id-11058dd7",""
"bea509c4","CompositionRelationship","","","id-50476976","cab70b37",""
"id-73ad4cb6","CompositionRelationship","","","id-013be947","id-92b9ddd7",""
"e2eab87d","CompositionRelationship","","","cab70b37","id-1efc7035",""
"c42ea97a","CompositionRelationship","","","id-74ba32c0","id-968daf19",""
"id-650bdc76","CompositionRelationship","","","id-5ed9a8fd","id-2a8ecc45",""
"dddb0474","CompositionRelationship","","","id-50476976","id-013be947",""
"adfba8b0","CompositionRelationship","","","cab70b37","be268eda",""
"d7a0b2f7","CompositionRelationship","","","id-50476976","id-5ed9a8fd",""
"c3a62f28","CompositionRelationship","","","id-74ba32c0","ac563198",""
"dc0f7d1d","CompositionRelationship","","","id-74ba32c0","b14f5d92",""
"id-11e48fea","CompositionRelationship","","","cab70b37","id-022f4634",""
"ab11598f","CompositionRelationship","","","id-74ba32c0","id-630aa3f8",""
"id-79223752","CompositionRelationship","","","id-5ed9a8fd","cada4324",""
"id-1e87a58c","CompositionRelationship","","","id-3f07fe00","b374732c",""
"aa6e8908","CompositionRelationship","","","id-3f07fe00","id-0a5dce0f",""
"id-050eac12","CompositionRelationship","","","id-3f07fe00","id-2540dde8",""
"b5b837a3","CompositionRelationship","","","id-3f07fe00","id-54b1d60d",""
"id-3a0453e0","CompositionRelationship","","","id-01e0cf3e","id-1dae3ccc",""
"id-14ac6d0a","CompositionRelationship","","","id-01e0cf3e","id-4d793c39",""
"id-510cd8a7","CompositionRelationship","","","id-01e0cf3e","fe452bf1",""
"id-821f8878","CompositionRelationship","","","id-31444c4d","id-646280ed",""
"ee222de8","CompositionRelationship","","","fa5d7be3","id-8c466436",""
"id-9479954a","CompositionRelationship","","","f97efe45","id-08076b8f",""
"id-38d38668","CompositionRelationship","","","f97efe45","a2e3d22b",""
"id-5d10bcf2","CompositionRelationship","","","f97efe45","id-63d49fab",""
"id-0311e80a","CompositionRelationship","","","f97efe45","a38c99ca",""
"fe3d5055","CompositionRelationship","","","f97efe45","id-9c24a701",""
"f9391ff8","CompositionRelationship","","","f97efe45","id-3693c62f",""
"e2423bc7","CompositionRelationship","","","a38c99ca","b559d9ad",""
"id-32af0d2b","CompositionRelationship","","","id-9c24a701","id-32df1fc9",""
"id-176ebc47","CompositionRelationship","","","id-3693c62f","id-4c8cf540",""
"id-9853078c","CompositionRelationship","","","id-13e35133","id-51d11622",""
"id-8a44a56e","CompositionRelationship","","","id-5e07191e","id-7705a6e0",""
"id-0f361956","CompositionRelationship","","","id-13e35133","id-5e07191e",""
