"ID","Type","Name","Documentation","Source","Target","Specialization"
"6c11ebcd","AccessRelationship","","","f339163d","87eb9de1",""
"1963ccc8","AccessRelationship","","","5eebbef5","e6d94705",""
"bcbca909","AccessRelationship","","","ee262e3b","497e4dc8",""
"7d465646","AccessRelationship","","","5eebbef5","d048d12e",""
"507c6b27","AccessRelationship","","","9b7495f1","d4b0dff1",""
"1ae61162","AccessRelationship","","","eca433c2","6e42876c",""
"c6f197f0","AccessRelationship","","","117081dd","a028927a",""
"b348fa58","AccessRelationship","","","2c0f799e","12e5c79c",""
"23764b34","AggregationRelationship","","","33bfb038","2c0f799e",""
"f7492905","AggregationRelationship","","","efefb249","12e5c79c",""
"463d1bbc","AggregationRelationship","","","33bfb038","3c88b0da",""
"5698f6c2","AggregationRelationship","","","64b57938","46990aae",""
"52654f71","AggregationRelationship","","","efefb249","d4b0dff1",""
"0a4a727b","AggregationRelationship","","","64b57938","e9b60f8e",""
"98abbbb7","AggregationRelationship","","","669bf138","6e42876c",""
"41e46f03","AssignmentRelationship","","","64b57938","79c144d2",""
"f5c6798c","AssignmentRelationship","","","03841313","5f6958cc",""
"2370af98","AssignmentRelationship","","","9b7495f1","f6607496",""
"54b238d6","AssignmentRelationship","","","cc5deffc","7bdee56f",""
"c3de0ed4","AssignmentRelationship","","","fe5e26d4","ee262e3b",""
"ede20d57","AssignmentRelationship","","","7f7d5683","d08310ae",""
"980111cd","AssignmentRelationship","","","46990aae","cc5deffc",""
"39665b4b","AssignmentRelationship","","","b1679f40","902e651a",""
"238f7247","AssignmentRelationship","","","9e9b56fd","133cfe4a",""
"1d3778fe","AssignmentRelationship","","","e4649150","b60da37f",""
"dff24c9d","AssignmentRelationship","","","84326cbb","db37b6af",""
"1f88a1ca","AssignmentRelationship","","","9b7495f1","f09a89dc",""
"8e078e96","AssignmentRelationship","","","bb7f5a32","3af3a858",""
"adeb90bd","AssignmentRelationship","","","b8e39b89","e9b60f8e",""
"9474306b","AssignmentRelationship","","","9b7495f1","7531bdcb",""
"1f6c3d98","AssignmentRelationship","","","e4649150","e0bdca69",""
"2f328033","AssignmentRelationship","","","4f706a5b","0d59f935",""
"91e54368","AssignmentRelationship","","","7dc610c1","4163c2b2",""
"ebb57882","AssignmentRelationship","","","73ab944c","f711df46",""
"b6bbd01e","AssignmentRelationship","","","c56da22f","a14252aa",""
"3747dc0b","AssignmentRelationship","","","0d59f935","f711df46",""
"e9350df1","AssignmentRelationship","","","73ab944c","56e7f683",""
"2a635e2e","AssignmentRelationship","","","03841313","3eb521e2",""
"ecc3ed3d","AssignmentRelationship","","","bed34651","e4aad1db",""
"1d665f0e","AssignmentRelationship","","","73ab944c","46990aae",""
"69489c21","AssignmentRelationship","","","03841313","7ef2a0c3",""
"4ef3d3f2","AssociationRelationship","","","e82cc7ec","18c3671c",""
"ba965288","AssociationRelationship","","","18c3671c","7f7d5683",""
"d8c24187","AssociationRelationship","","","47112c05","4ab38733",""
"d1b76667","AssociationRelationship","","","6af21ca0","d71d68a3",""
"6f67139a","AssociationRelationship","","","2437dbaa","31707da4",""
"bb78933b","AssociationRelationship","","","f6131551","076b4311",""
"982f3ed1","AssociationRelationship","","","486f73dc","023827f1",""
"b85c5e2f","AssociationRelationship","","","f4359d26","14c3d421",""
"af2f12c3","AssociationRelationship","","","e7d9a8ff","136f7874",""
"835ca56b","AssociationRelationship","","","076b4311","486f73dc",""
"1145bfc6","AssociationRelationship","","","18c3671c","84326cbb",""
"abf80a3a","AssociationRelationship","","","c15be361","47112c05",""
"5e12dec2","AssociationRelationship","","","136f7874","3d7f205f",""
