"ID","Type","Name","Documentation","Source","Target","Specialization"
"a279323d-13a9-4c31-89fe-22b15cc2a5e4","AccessRelationship","","","fb609f29-f05a-40da-a09f-1bd63bd258b4","id-7fd3f514-36fe-4ce8-baad-fee56b77d3e9",""
"f0aa2dc3-2cee-482d-87ad-079f82d4a162","AccessRelationship","","","id-500d15d8-79c1-40c9-89f8-9c5b76e2dca8","id-16fa2770-1bd0-4645-b1ef-3f68e7d2f828",""
"id-282153a9-161a-47f7-a98d-d71f2abb3851","AccessRelationship","","","b1867316-7f85-4f1d-9be3-f24a37b08855","id-4100ac98-da58-4af4-a0d0-82a29196be7a",""
"b8ca88ff-835d-47eb-84db-1666a3d2e60b","AccessRelationship","","","b1867316-7f85-4f1d-9be3-f24a37b08855","id-78c75266-7569-4cfb-8806-b1ca77b3bdff",""
"id-281e134d-ff6e-4326-91bf-5dfc2d1672d6","AssignmentRelationship","","","bb707b2d-3011-4a81-b876-fbe1ea9a3ecd","fb609f29-f05a-40da-a09f-1bd63bd258b4",""
"f934e035-8047-4f96-bcca-831496c7a4e8","AssignmentRelationship","","","bb707b2d-3011-4a81-b876-fbe1ea9a3ecd","id-55d9771e-38e2-422f-8db5-cbdf5e59d4a1",""
"c7c84b63-a917-4a28-9523-45f7d62a8fd9","AssignmentRelationship","","","d91a0019-47c9-48ae-98ef-b9967450a33b","id-500d15d8-79c1-40c9-89f8-9c5b76e2dca8",""
"id-8caef306-bb40-4d06-b4a3-a25c5e2363fd","AssignmentRelationship","","","d91a0019-47c9-48ae-98ef-b9967450a33b","ad58515c-3afa-407b-9c9e-a8a31e1b7ba6",""
"id-5db1027f-bfbb-45f4-9a1f-02eee5e86d81","AssociationRelationship","","","id-4100ac98-da58-4af4-a0d0-82a29196be7a","id-78c75266-7569-4cfb-8806-b1ca77b3bdff",""
"id-3bef7b1d-400e-4d48-ad5a-01cdf8509a34","AssociationRelationship","","","id-1fd6d291-519b-42b2-8c74-5560afb9fa6b","c8a71f71-3c43-4d52-bdce-c20f554032f7",""
"id-430f5654-7923-4e1d-a39e-0ded72ded685","AssociationRelationship","","","id-1fd6d291-519b-42b2-8c74-5560afb9fa6b","id-2f3349eb-1417-4292-9b15-54aa6536e66e",""
"a270ff69-2b6b-46b1-9d30-51e20f095974","AssociationRelationship","","","id-1fd6d291-519b-42b2-8c74-5560afb9fa6b","c7b9d002-c4d4-4f04-8cff-88f0bc4332e8",""
"id-2b504d49-fc7b-40d0-a006-bad00d6dd692","AssociationRelationship","","","cf660b8a-6750-4ea4-afdf-2c77a89f0518","bb707b2d-3011-4a81-b876-fbe1ea9a3ecd",""
"id-89e4ce0b-4fa0-4533-945f-a5b426af68ca","AssociationRelationship","","","e7bdf6bd-423b-408e-9122-d0e44ecb3614","id-8076c28c-e502-4a05-bdea-e890bafd2475",""
"id-1a81e71b-176c-48e1-b396-32d0a2a48d2a","AssociationRelationship","Port: 30303","","id-051b4d9e-8bf9-4578-94ec-12284a1d1d86","c84d077a-c91e-4135-ac1b-176068d91132",""
"d1637d9f-d7d2-4255-92f4-e813ce28d866","CompositionRelationship","","","cf660b8a-6750-4ea4-afdf-2c77a89f0518","id-051b4d9e-8bf9-4578-94ec-12284a1d1d86",""
"id-280fb8f7-fed5-495c-8f52-957fe8ee787f","CompositionRelationship","","","id-051b4d9e-8bf9-4578-94ec-12284a1d1d86","e7bdf6bd-423b-408e-9122-d0e44ecb3614",""
"d7bde72d-70d1-40ab-a806-af4d297f0dde","CompositionRelationship","","","id-32689a15-7e81-4c59-b96e-b17f975bd9a8","id-097dda8b-8de6-419d-baf4-2df3323ec7d6",""
"c13b72b5-a9fd-4fe5-beed-86e929585b75","CompositionRelationship","","","fa6e6ab4-4e6a-46a5-b0c1-d9a24ccdf7e0","id-77c9c88d-efcf-4be7-870b-87fbf750f690",""
"fb1e1b8c-3cd1-43be-acba-981264617a43","CompositionRelationship","","","id-60b422f8-13c3-49a9-9f20-bbfc84987985","id-32689a15-7e81-4c59-b96e-b17f975bd9a8",""
"e81e6abe-a175-41c8-802d-a2c87a677965","CompositionRelationship","","","id-60b422f8-13c3-49a9-9f20-bbfc84987985","fa6e6ab4-4e6a-46a5-b0c1-d9a24ccdf7e0",""
"c4f64486-cd3e-4edf-a14c-6228f81409aa","CompositionRelationship","","","id-65587fca-9c21-45ea-815f-2fcc000010ed","id-6ca99049-3912-4a38-938d-74ad24faa70c",""
"id-33d10828-93a0-481c-9a3a-4b154504d2ee","CompositionRelationship","","","id-60b422f8-13c3-49a9-9f20-bbfc84987985","id-65587fca-9c21-45ea-815f-2fcc000010ed",""
"f45ea9a9-f4e1-44be-aace-996c8ae92517","CompositionRelationship","","","f3415f46-71e7-4299-b98b-fe6c5cac6860","id-60f7db40-2a21-4240-9ee3-0f1e4215cd59",""
"id-08d441e8-a09a-4ae6-a4d7-93ac21caccbc","CompositionRelationship","","","id-60b422f8-13c3-49a9-9f20-bbfc84987985","f3415f46-71e7-4299-b98b-fe6c5cac6860",""
"id-0602031a-c5ab-4faf-90bf-4910fcebaba8","CompositionRelationship","","","d1b6f0c6-4de1-4420-8ddd-0ea08fbc0235","a9610023-e1e2-44d0-84a1-adf985cb9ed8",""
"id-543860b8-2119-45f1-be73-725db6e806bd","CompositionRelationship","","","id-60b422f8-13c3-49a9-9f20-bbfc84987985","d1b6f0c6-4de1-4420-8ddd-0ea08fbc0235",""
"e148947c-e19a-4113-97e7-23db4af06efb","CompositionRelationship","","","fb609f29-f05a-40da-a09f-1bd63bd258b4","b5d405a2-b1cc-401a-a178-f92efffd87c5",""
"id-7ee56063-1bce-4af8-98ff-64cff9cd859a","FlowRelationship","","","id-404330d0-2de8-4ac6-9b49-c1a83491f6a7","f3415f46-71e7-4299-b98b-fe6c5cac6860",""
"b62da886-9ba8-4e70-92c6-802a7e5c0dca","FlowRelationship","","","id-2f3349eb-1417-4292-9b15-54aa6536e66e","b1867316-7f85-4f1d-9be3-f24a37b08855",""
"f6ab15cc-f44a-4f9d-907c-4e349d2cc847","FlowRelationship","","","c8a71f71-3c43-4d52-bdce-c20f554032f7","id-65587fca-9c21-45ea-815f-2fcc000010ed",""
"fcb83419-6f26-4cbd-9b67-1d27d307159d","RealizationRelationship","","","cf660b8a-6750-4ea4-afdf-2c77a89f0518","bb707b2d-3011-4a81-b876-fbe1ea9a3ecd",""
"b17f0d92-e074-4290-8515-cd4a6be4cc77","RealizationRelationship","","","bb707b2d-3011-4a81-b876-fbe1ea9a3ecd","b5d405a2-b1cc-401a-a178-f92efffd87c5",""
"a7dab2ea-7862-44fe-8bf4-8065b0634f2a","RealizationRelationship","","","d9dfa0f8-5dd1-4062-b47e-da80762a73e5","d91a0019-47c9-48ae-98ef-b9967450a33b",""
"a676d061-d71e-4fde-8aa6-ff005ecf2a1a","RealizationRelationship","","","d91a0019-47c9-48ae-98ef-b9967450a33b","a4cfec42-7f09-4c54-93c6-2cbcf268906c",""
"id-74b69a38-fc3e-423d-92fd-abf77d6b6b29","RealizationRelationship","","","c84d077a-c91e-4135-ac1b-176068d91132","b1867316-7f85-4f1d-9be3-f24a37b08855",""
"id-1bf8004b-e3e8-4e81-9b3b-819eabe713d9","RealizationRelationship","","","id-46d4d546-dff0-4ac5-ba89-da8795f90d82","b1867316-7f85-4f1d-9be3-f24a37b08855",""
"id-59a4d96f-a4d3-4b88-81aa-3c720eb9d76b","RealizationRelationship","","","cf660b8a-6750-4ea4-afdf-2c77a89f0518","fb609f29-f05a-40da-a09f-1bd63bd258b4",""
"id-5b604c95-d1c6-45f1-9b29-f4446f83fa98","ServingRelationship","","","cf660b8a-6750-4ea4-afdf-2c77a89f0518","bb707b2d-3011-4a81-b876-fbe1ea9a3ecd",""
