"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-3c9bd50b","AssociationRelationship","","","id-9aa7efca","ce17e1fa",""
"id-5bb978ef","AssociationRelationship","","","id-4db5bf4b","f86054fa",""
"id-57d6ecde","AssociationRelationship","","","id-02a24164","e795f8b6",""
"c976b659","AssociationRelationship","","","id-08520a4c","id-6e5e69db",""
"id-2a0d9540","AssociationRelationship","","","id-9de65f1f","id-08520a4c",""
"id-022bedc8","AssociationRelationship","","","id-6eb221f9","id-3426b1b2",""
"id-81929cf5","AssociationRelationship","","","a17277f8","id-11b67a9f",""
"dc4bdd35","AssociationRelationship","","","id-2fa64e3c","id-8c0ea9ab",""
"id-4f77f75e","AssociationRelationship","","","id-02a24164","id-9de65f1f",""
"id-5b394198","AssociationRelationship","","","id-098d3999","id-9cf24c7d",""
"id-8c610ec5","AssociationRelationship","","","id-2a3c369a","b306d1d8",""
"id-5af0678d","AssociationRelationship","","","d813da67","ce17e1fa",""
"id-7ee5bdb7","AssociationRelationship","","","id-02a24164","id-5bdedd00",""
"fa5cf17c","AssociationRelationship","","","b306d1d8","id-5ab193a0",""
"id-336127a5","AssociationRelationship","","","id-08520a4c","id-02a24164",""
"a3d62d64","AssociationRelationship","","","id-171afaa6","ce17e1fa",""
"e2f55905","AssociationRelationship","","","id-5bdedd00","id-097ff142",""
"id-64580642","AssociationRelationship","","","d968ddac","f86054fa",""
"id-3f997960","AssociationRelationship","","","id-11b67a9f","id-1928b57b",""
"id-86881dc4","AssociationRelationship","","","id-5bdedd00","id-171afaa6",""
"id-3cd708bc","AssociationRelationship","","","id-9aa7efca","id-932679bd",""
"id-084fae53","AssociationRelationship","","","id-3426b1b2","id-68a3da43",""
"caad891b","AssociationRelationship","","","id-3426b1b2","id-9c34fbbf",""
"d3a6b868","AssociationRelationship","","","id-9c34fbbf","a17277f8",""
"id-5399cfa2","AssociationRelationship","","","id-1928b57b","d968ddac",""
"id-677fb382","AssociationRelationship","","","id-0d133a6d","id-8c0ea9ab",""
"b781b1bf","AssociationRelationship","","","cae6f4d2","id-5356d4f7",""
"id-22ac2c94","AssociationRelationship","","","id-3426b1b2","d813da67",""
"id-1c16b5db","AssociationRelationship","","","e795f8b6","id-8c0ea9ab",""
"id-2b764c2d","AssociationRelationship","","","d219b315","id-098d3999",""
"id-4df5528f","AssociationRelationship","","","id-6e5e69db","id-11b67a9f",""
