"ID","Type","Name","Documentation","Source","Target","Specialization"
"_vW0BgNI2EDa6P43StyjgDw","AssociationRelationship","","","_dnm1AbUPEDaaVc4rj22kRw","_eTOk4bUPEDaaVc4rj22kRw",""
"_zGYDgdI2EDa6P43StyjgDw","AssociationRelationship","","","_eTOk4bUPEDaaVc4rj22kRw","_fbvFEbUPEDaaVc4rj22kRw",""
"_0IK3sNI2EDa6P43StyjgDw","AssociationRelationship","","","_fbvFEbUPEDaaVc4rj22kRw","_guKoANI0EDa6P43StyjgDw",""
"_078eAdI2EDa6P43StyjgDw","AssociationRelationship","","","_guKoANI0EDa6P43StyjgDw","_cw5EsNI1EDa6P43StyjgDw",""
"_2o9ZcNI2EDa6P43StyjgDw","AssociationRelationship","","","_cw5EsNI1EDa6P43StyjgDw","_foKz0NI1EDa6P43StyjgDw",""
"_3wozMdI2EDa6P43StyjgDw","AssociationRelationship","","","_foKz0NI1EDa6P43StyjgDw","_f3lI0NI1EDa6P43StyjgDw",""
"_4vWeMNI2EDa6P43StyjgDw","AssociationRelationship","","","_f3lI0NI1EDa6P43StyjgDw","_m45E4NI0EDa6P43StyjgDw",""
"_X0S1kNI6EDaLK_908QdQtw","AssociationRelationship","","","_P3f7IbUPEDaaVc4rj22kRw","_dnm1AbUPEDaaVc4rj22kRw",""
"_Y9EJkNI8EDaLK_908QdQtw","AssociationRelationship","","","_Nia6IbUPEDaaVc4rj22kRw","_YxmLUNI6EDaLK_908QdQtw",""
"_cMLw8dI8EDaLK_908QdQtw","AssociationRelationship","","","_YxmLUNI6EDaLK_908QdQtw","_ZGVsQNI6EDaLK_908QdQtw",""
"_gg6VgNI8EDaLK_908QdQtw","AssociationRelationship","","","_ZGVsQNI6EDaLK_908QdQtw","_fSfh8NI5EDa6P43StyjgDw",""
"_iCL7ANI8EDaLK_908QdQtw","AssociationRelationship","","","_fSfh8NI5EDa6P43StyjgDw","_ZntT8NI6EDaLK_908QdQtw",""
"_tO_ZYNI2EDa6P43StyjgDw","CompositionRelationship","","","_dnm1AbUPEDaaVc4rj22kRw","_eTOk4bUPEDaaVc4rj22kRw",""
"_W07AQLUPEDaaVc4rj22kRw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_Nia6IbUPEDaaVc4rj22kRw",""
"_XZfs8rUPEDaaVc4rj22kRw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_P3f7IbUPEDaaVc4rj22kRw",""
"_qNCWMNI0EDa6P43StyjgDw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_Ot8j0NI0EDa6P43StyjgDw",""
"_t0lrsNI0EDa6P43StyjgDw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_QNE0QNI0EDa6P43StyjgDw",""
"_xhrBcNI0EDa6P43StyjgDw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_RMoz0NI0EDa6P43StyjgDw",""
"_0uZcINI0EDa6P43StyjgDw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_XiYN4NI0EDa6P43StyjgDw",""
"_12LjkNI0EDa6P43StyjgDw","TriggeringRelationship","","","_HAxLALUPEDaaVc4rj22kRw","_Uxy8oNI0EDa6P43StyjgDw",""
