"ID","Key","Value"
"c8a19153","Access_Type","Write"
"id-7c92700d","Access_Type","Write"
"a27742aa","Directed","false"
"fa21383e","Access_Type","Write"
"id-9468ed5a","Access_Type","Write"
"id-6118cd2b","Directed","false"
"id-9d779228","Access_Type","Write"
"id-28f4b920","Access_Type","Write"
"id-3b4ca1be","Directed","false"
"id-73e733b4","Access_Type","Write"
"id-141aef17","Access_Type","Write"
"f931ed10","Directed","false"
"id-10cbaa6f","Access_Type","Write"
"id-5d420936","Directed","false"
"id-02280c90","Access_Type","Write"
"id-3abc7c73","Directed","false"
"id-1bc63016","Access_Type","Write"
