"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-4a01ba63","AccessRelationship","","","id-4deedc43","id-5d2a14e8",""
"eb9587b7","AccessRelationship","","","id-4deedc43","id-7460224e",""
"a0befbfb","AccessRelationship","","","id-25653445","d03a6193",""
"id-07f2b643","AccessRelationship","","","id-25653445","id-75e974d8",""
"id-5eb35b60","AccessRelationship","","","id-25653445","id-7b7d6e4b",""
"aafc14c5","AccessRelationship","","","id-25653445","id-52f2c1f0",""
"id-02c1b6af","AccessRelationship","","","id-53001c43","id-7b7d6e4b",""
"id-5a6f7d00","AccessRelationship","","","id-25653445","id-699dd85c",""
"id-4d4036a8","AccessRelationship","","","id-5dab3a44","id-699dd85c",""
"f60d7cb0-39cc-49fb-bd30-3d1acc99ba9c","AccessRelationship","","","cd97f974-5da5-4efb-8dda-63e9450ad8b8","id-466c5188-3f9c-4d91-8ead-7b73776f233e",""
"id-1f5989f6-6b43-464d-9e9f-4ababee8f0db","AccessRelationship","","","cd97f974-5da5-4efb-8dda-63e9450ad8b8","eeb8ba1b-51f3-4ce5-980c-984c1857b74c",""
"ad02a592-cc79-41cd-afed-01355187d71a","AccessRelationship","","","aa035e3e-4dae-444b-8334-0eccc35ea073","id-466c5188-3f9c-4d91-8ead-7b73776f233e",""
"id-51207d2d-864e-471c-a716-07fdc087407b","AccessRelationship","","","a8c96ff2-fc0a-4386-a1e8-bedb9ac188e8","id-466c5188-3f9c-4d91-8ead-7b73776f233e",""
"id-710e254c-859e-4126-86ec-7666a32fba81","AccessRelationship","","","id-85565118-1cf5-4dfd-b8a5-5d151cba1ce0","id-757312cd-b394-43dc-84e3-b88a805dafa7",""
"ccca9ef0-f076-4413-8966-6499fb3fa1ef","AccessRelationship","","","b80d0f12-e9b3-4417-ac09-454096518195","id-757312cd-b394-43dc-84e3-b88a805dafa7",""
"id-8104e14e-10b9-4908-9639-3e399c421b9c","AccessRelationship","","","fe19b548-19d3-4aeb-88e7-0582bf1c6d39","id-757312cd-b394-43dc-84e3-b88a805dafa7",""
"ed72832a-4263-4667-b3f4-006a60a6097e","AccessRelationship","","","id-614f3911-a509-4513-88e5-fa4b86d31348","id-757312cd-b394-43dc-84e3-b88a805dafa7",""
"b3d374bf","AggregationRelationship","the Class 1 contains an array of references to the class 2","","id-7689c15c","d32e30be",""
"a80db74f","AssignmentRelationship","","","id-17e387b4","d10fb124",""
"cd4f9489","AssignmentRelationship","","","id-25653445","bbde1587",""
"id-7d7d98a9","AssignmentRelationship","","","id-7eedc86d","ee9ab407",""
"id-0b4371b0","AssignmentRelationship","","","id-84880a95","id-0959b263",""
"id-6c343769-c77e-4ec3-a4ec-7ef509eaf9c2","AssignmentRelationship","","","cd97f974-5da5-4efb-8dda-63e9450ad8b8","id-8a57ab57-c4cd-4b75-a199-d00cd387c354",""
