"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-a7eb465533354592a63e307507bf9075","AccessRelationship","","","id-54a5b646020c4516bb900f20a8d07c93","id-da64b23ccfcf4620a5f801343eab2ac5",""
"id-065ba28f59f24e3fa018cf4b01455d13","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-ec0efecc39ec4a7290e18ae8bb0f5102",""
"id-8f3993ff94e94396ba2eb0c764e2f89d","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-b0f641f981ed4ac9b7b8fefa91f2feb7",""
"id-af838994ba6240a99f75aa648333b543","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-b6a6cd81728e492a9d4a7b8cc1043c7b",""
"id-ea0d5ab02ad9488ea9bdf3aec6cdb81e","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-09606155d41843948dbd564cd6aead40",""
"id-f5f8f7adfd1241cf9f1a57af28239546","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-0007ab60274f4d4194864f146097c2b8",""
"id-d9e31489ca4d4794884c95a0c20ca95e","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-2d70179cb18942b3b46efe1b7d6b2266",""
"id-840de5d97a8b4e988d9691f6ecbda3d5","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-2c3d1ba42ca1499ebfd2811081e56442",""
"id-a1d0bbd0153c4e899d4456abc96b4829","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-ecb50207e1bd45ddaf6df93cd8e4b49c",""
"id-cd5014c64309466e8ab33837ac4dc485","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-6e51c2de99104ed49243dbc37606e1fc",""
"id-442b99cad2e6444cae1b92593617d76d","AggregationRelationship","","","id-774b94900b8b42b787a2693f26f83156","id-ea11d862a08f454cae995076442f6978",""
"id-5aaa98b0d84749bab964793885504215","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-308289e73df24537a143c17e9fe03089",""
"id-bff0385ed75f48b7899d22f8a49aa8b5","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-e55960688efd4734bc9426c60decce80",""
"id-53100e06fe2342ea975f4b6750bfc94f","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-2ba286327d63485b947457e02c2df4d8",""
"id-0255b8687a934b2dbf7571f04f7cd191","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-a94497892c124e2d9274e7d21acdb83b",""
"id-1531d125e36b436e80e06c06d574151d","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-3bfb6075a3af4f5db3b6463ba2987f5e",""
"id-940fc28e93ff483f964ed6c31216d909","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-4ce93ab5847d40b195fc15b114d8420f",""
"id-b052e51b255c49b89253df2bb8933e13","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-3b533b4d9637421ca6fba66f2e5408b4",""
"id-a96bbe5169b140ff89abfa3dd7b4a2e1","AssignmentRelationship","","","id-3db2b558d1f34801809f878e619e4cc0","id-346dbdaaa091446b986e31f8e64ed50b",""
"id-37f518b6efc14c8e938e25f31669e1a5","AssignmentRelationship","","","id-fe4ef6db4bb746f6aa706cdae831de85","id-292c68212b6b426197cca58c2e26a0ca",""
"id-48e5542bf02d4b518208c511c8acc1c3","AssignmentRelationship","","","id-fe4ef6db4bb746f6aa706cdae831de85","id-0a514706263c440fa920fcecab48f8fd",""
"id-af42dc498c4e423480fa2f52293e1b7f","AssignmentRelationship","","","id-fe4ef6db4bb746f6aa706cdae831de85","id-815aeaf822ff4ef18887ef6cbd867443",""
"id-10e5a9c5ea1b40069e4b1cd037638bc1","AssignmentRelationship","","","id-fe4ef6db4bb746f6aa706cdae831de85","id-eea016c347c847439db42dfa5eec99ba",""
"id-9b4502e42dbc4b529e78c4f63c993115","AssignmentRelationship","","","id-fe4ef6db4bb746f6aa706cdae831de85","id-3d49171c0a3240f0939f8b98b3a0e1c6",""
"id-5f9891869f3a438a9f38edac85c1bf4a","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-f2e759791a1b43538bf9f8b968b79b88",""
"id-97e220edddbc4c608a37890747e94829","AssignmentRelationship","","","id-50266c737b65452eb629555231164684","id-f2e759791a1b43538bf9f8b968b79b88",""
"id-604122c9e26340f8a3ac13aa52bf5f79","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-7ae8ff3c2b6d467db9f66742be1ebdf0",""
"id-8e17601c439c47f49caaeab6a22dcaeb","AssignmentRelationship","","","id-9e09e69993d446b78dcb3beaee94870e","id-7ae8ff3c2b6d467db9f66742be1ebdf0",""
"id-fb23e1c1a156443396def6e5080a9845","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-b93e9f2b128e4cf29814dfdaf884bb37",""
"id-cd3701f329c04b6085bc4d1ba63c7277","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-99ed9435d6c449869e4fa24abba8d05f",""
"id-2f59fe7e7b5d4d108a172f34f13b2c1d","AssignmentRelationship","","","id-a7e96cec393948baba4181d36eaf6e6c","id-99ed9435d6c449869e4fa24abba8d05f",""
"id-b53b66e694a147edbddfc50ea9f70c6c","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-4ce64f961b0844cdab8ec4346ac18d2d",""
"id-4db7ba1158ba40d9a870354c147c1d00","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-a1a02630f9b149aa998aea01898a6ccc",""
"id-9c38d9bf8ca942dc8a2159521ebf2b64","AssignmentRelationship","","","id-f537581417a34c168b31c83ee4868a16","id-33aa1f0f5b684580b0f2ee328ec6af94",""
"id-c64afb08575d4176a6d70947d4975934","AssignmentRelationship","","","id-ef3681760f42473db037fb535c3c5f8f","id-5c8d082e201749f7b828614f4977be59",""
"id-3b44514032e344ffadcd756a5e232a41","AssignmentRelationship","","","id-ef3681760f42473db037fb535c3c5f8f","id-0a8fc5e79533491bae5355d8a1ff3c75",""
"id-a888bee562cc4e56be2a4caa408194d7","AssignmentRelationship","","","id-9e09e69993d446b78dcb3beaee94870e","id-ef3681760f42473db037fb535c3c5f8f",""
