"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-026c22e46f6440c6afdde2e685fe46a2","AccessRelationship","","","id-10126987e9d146019c6e2647644d67c7","id-ee56bb7cdee8499d83d1e0c878fec1f0",""
"id-58b6c6cbe9df4001aab3b975ef221501","AccessRelationship","","","id-e9c505045c7a43bd817c14993aaeb016","id-cba0e78642604e9bb3829ab3d841dd3a",""
"id-ea7665cafcc34d7cabe24f1ebb623c03","AccessRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-cba0e78642604e9bb3829ab3d841dd3a",""
"id-c909991f718f4fea8553a2cb551f7acc","AccessRelationship","","","id-c53ab88fb0614515ae24accfe511df2e","id-cba0e78642604e9bb3829ab3d841dd3a",""
"id-300307a3c4904c7d9ff6ace2dbba2ddd","AccessRelationship","","","id-3934d21644c34b03b29bb3aa095f7725","id-32bd148c52c44b9cbde18102d5403f91",""
"id-97e4ae9d31cc4762b8b1a6098e88f31d","AssignmentRelationship","","","id-f9a06d0204394cb8ad62f09d7b37dae7","id-6fb355e392ff41aeb62f8a45bba4e31a",""
"id-e257ab649e4f4fc58c8651ec8dadd042","AssignmentRelationship","","","id-935d5e5207d44335bc2028faf6fa7c2a","id-017cb76947354db3a385a642d372e209",""
"id-9c0a051baa2a4843a2ec6fa66a60bdf2","AssignmentRelationship","","","id-1ec1eafcd0e942b09f3cdf5082385a4a","id-937709042fd946b0aba5aae3d62080f1",""
"id-9416e38aca2443bdb97a3d72d129b42b","AssignmentRelationship","","","id-937709042fd946b0aba5aae3d62080f1","id-243bed1efb534bcdbe507aaad62d3132",""
"id-b8867a5c292944aabb277a4737a07cb0","AssignmentRelationship","","","id-7ba9bc98bf44446ea2ee90265ffaed33","id-31381cbbc19e495d8518e22807f2ecb0",""
"id-648b4ef9ea0b43e0957a697455268a8a","AssignmentRelationship","","","id-919b9a7a1bdf4af885294bb0a743f718","id-9e452440badc4842a665ecbf64578d2e",""
"id-0ebbb226a2fd444d8536b1b4cfd6ecb9","AssignmentRelationship","","","id-919b9a7a1bdf4af885294bb0a743f718","id-776bd2979c214b96a84c7b388f5feeb0",""
"id-cc9df02f7cea4793827494b1b67cfd44","AssignmentRelationship","","","id-dabf541e762941508e18f6eb9719269c","id-39c093ae5a77404d916036060777b704",""
"id-3a666b6ed5e44bee8b4292fb74dcf00e","AssignmentRelationship","","","id-526bd9f8d99d48bb9f0bb394dd25b8ab","id-05375633c1ae4fed9b8b4dbde789086a",""
"id-4a57b37c3a9743d9a8d718d8126f3496","AssignmentRelationship","","","id-7ba9bc98bf44446ea2ee90265ffaed33","id-d6e327f849c3406b85debc6ae8ba4175",""
"id-e98d0bbe189a4bd8bfd8ffcfb9a4ea85","AssignmentRelationship","","","id-7ba9bc98bf44446ea2ee90265ffaed33","id-b37f89631034494897385dbbfa776df2",""
"id-7a7b9e27f0dd47b2b26a9d039dda2c3b","CompositionRelationship","","","id-6fb355e392ff41aeb62f8a45bba4e31a","id-935d5e5207d44335bc2028faf6fa7c2a",""
"id-cf438dda56554a6a84beae90fbd509de","CompositionRelationship","","","id-b7f8c05d11164770a0c7b05d1b10c3d8","id-91008d5fc1f540b5a4fa727c576bb936",""
"id-1af10485209746029871c8a99f7daa55","CompositionRelationship","","","id-b7f8c05d11164770a0c7b05d1b10c3d8","id-10126987e9d146019c6e2647644d67c7",""
"id-500d974e1aed4f1fa289e9565ace2235","CompositionRelationship","","","id-b7f8c05d11164770a0c7b05d1b10c3d8","id-c44a59be8d184aeeaeed28a608a37f8b",""
"id-36ad1517ab174659a66366839d7308fe","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-e9c505045c7a43bd817c14993aaeb016",""
"id-7fd8d5ded8db4814ac709a3c596cb2a6","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-fa1a92a1393c4faeb9b4c3842a40f66e",""
"id-f3b680c9dcb94f48b4b72ed3703d8687","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-538d3f2e35a047d69c00298ae6eeccae",""
"id-16b67bd99a764c5697e95708bc84e91e","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-c53ab88fb0614515ae24accfe511df2e",""
"id-0cf37b10d686450b9d45c536caaceb65","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-74b4d27b429b4491b78c7ae582f4232f",""
"id-c320072dacd34f7e82e313237fda5c91","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-5b48bbd56daf436f9c71f6143c5eaf9c",""
"id-274db1a19e4f41d6baa8d8b012f5e32e","CompositionRelationship","","","id-6dfc1b3c48f84937983e5f89b09a0167","id-385e5b0f853f4821aa96efda4c2e4193",""
"id-2d65f48c52354bf58b268243f7d7854e","CompositionRelationship","","","id-6dfc1b3c48f84937983e5f89b09a0167","id-3934d21644c34b03b29bb3aa095f7725",""
"id-920b1aedfe28423aa1e125f573fd8b33","CompositionRelationship","","","id-b37f89631034494897385dbbfa776df2","id-919b9a7a1bdf4af885294bb0a743f718",""
"id-26949936fb2c4a898935bd4f7672f6e9","CompositionRelationship","","","id-55391b3e9041457aab7800ce6c545ed8","id-dabf541e762941508e18f6eb9719269c",""
"id-d6d675e6c5ed4b67b3584579449ca24a","CompositionRelationship","","","id-e2f59a694a1841e4943cdf3a232709fb","id-526bd9f8d99d48bb9f0bb394dd25b8ab",""
"id-21a9fd401e304f35bb7dfd49c7a134af","CompositionRelationship","","","id-017cb76947354db3a385a642d372e209","id-243bed1efb534bcdbe507aaad62d3132",""
"id-5e302eb6ffd145c9b83e0ba770d1d623","CompositionRelationship","","","id-243bed1efb534bcdbe507aaad62d3132","id-017cb76947354db3a385a642d372e209",""
"id-352ab7d1f29b41859fd762d763d59e5f","CompositionRelationship","","","id-776bd2979c214b96a84c7b388f5feeb0","id-243bed1efb534bcdbe507aaad62d3132",""
"id-a4ca9e2807324a53b6dcec58efb38ac1","CompositionRelationship","","","id-9e452440badc4842a665ecbf64578d2e","id-243bed1efb534bcdbe507aaad62d3132",""
"id-1994554073aa4e888ea6e3c268e8aa1e","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-b9b8970924324fd28e32298dab6e1343",""
"id-5842530660364ccd96cc2cd2703e6b93","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-385e5b0f853f4821aa96efda4c2e4193",""
"id-9b78dcf705f840c7ab6d91d2fbd44337","CompositionRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-3934d21644c34b03b29bb3aa095f7725",""
"id-2c8a957abb7a43bab05d1a68d36ff617","RealizationRelationship","","","id-b7f8c05d11164770a0c7b05d1b10c3d8","id-017cb76947354db3a385a642d372e209",""
"id-33358c402f8741d9bc3a8c51f636b70d","RealizationRelationship","","","id-b6b9dd4f680444c98cdf19248382da66","id-776bd2979c214b96a84c7b388f5feeb0",""
