"ID","Key","Value"
"id-bfc9a36c12f14f8f9e8b3690412fcbf9","Access_Type","Read"
"id-2d308ac23fa64f83978ccef4c5ac82e2","Access_Type","Write"
"id-b9071661a9424d66bda4b743c803bef7","Access_Type","Read"
"id-7b6f3bc839064478bccbd6eab1742931","Access_Type","Write"
"id-82978e47c80b4f21b89ccc7e84cbdbd8","Access_Type","Write"
"id-10194f63ebd445fdafe1a6d2b8e87200","Access_Type","ReadWrite"
"id-2803420eb9a24cbaa0828e62e200c978","Access_Type","Write"
"id-78e5cb8718e343b5861bbd941eb46b4c","Access_Type","ReadWrite"
"id-a67b223972d348a5a1873b1753421b4a","Access_Type","Write"
"id-de0680aff5824b20aa618bdcff7f9904","Access_Type","Write"
"id-aee63670a4e5410cb4bbe3db7813da51","Access_Type","ReadWrite"
"id-13ccf8618900435db20d4628e2291883","Access_Type","Read"
"id-f23f352f2abe42da85c7f09f74906923","Directed","false"
"id-18c91797e2ae45f2a48288a54b77a2fb","Access_Type","ReadWrite"
"id-f0a0c219f17b48af8e557bb6e55f157c","Access_Type","Write"
"id-d9934cb8575a4a89964c9842fff9b10e","Access_Type","ReadWrite"
"id-3a56d04b4bb24faba179271ebc012959","Access_Type","ReadWrite"
"id-7567068d44c7404cae2cc87b16d15d36","Access_Type","ReadWrite"
"id-a205b61ee306441a89db3e6066f6f902","Access_Type","Write"
"id-cd8262adfb854554a40c4c22427b009f","Access_Type","Write"
"id-ae8220cb85de49748f4800c96f4002c1","Access_Type","ReadWrite"
"id-822872b8a17e4a53867e67890e11b758","Access_Type","ReadWrite"
"id-993675a942b6485e8e2a65019b537672","Access_Type","Write"
"id-1838150f368f47b0a10da3dfa033d04e","Access_Type","Read"
"id-4e149f44fd27471fb563a5f1c52a75e8","Access_Type","Read"
"id-bbeb0bd9c8db49ba93b036c479161187","Access_Type","Read"
"id-9297a3e184594fe38787f068a71d1141","Access_Type","Write"
"id-ef78f8c9c2894986b4b907728ecb7cfb","Access_Type","Write"
"id-f8ff883d5aef4a26b7a73ec4697ae2ec","Access_Type","Read"
"id-ade2dc83b46849669cfb487c5dc2e86e","Access_Type","Write"
"id-90d75692a0364a099fb7aa3f41774413","Access_Type","Read"
"id-6996027670904ec89930e6347080ec10","Access_Type","Write"
