"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-504dda00-611d-49c7-8c9b-1501891fe222","AccessRelationship","","","id-bf4c3589-2542-402c-9b94-a1bca5dc99c2","id-fad9890c-55f1-4edd-9e1d-b2f9febb74ba",""
"id-122fdd6f-8ce6-45e9-be5d-977ccc726cdc","AccessRelationship","","","id-4e2b478c-aad5-45ba-8eb7-1b443e46d970","id-cd239cfc-6b3f-4fae-8188-7ec7522a5055",""
"id-e629cf13-895b-4376-a559-bc1da104df37","AccessRelationship","","","id-d2aa2456-6ff2-402c-a7d0-ee4907ee8c86","id-72e0c332-047c-4974-afd7-89ac7b8cdb47",""
"id-a19e7e3c-a99d-4612-a8bb-2903c4c71e9e","AccessRelationship","","","id-5345331e-530c-4d99-acc9-7206beb7017f","id-72e0c332-047c-4974-afd7-89ac7b8cdb47",""
"id-c4e30655-def6-4546-a9e9-4a8be0147f49","AccessRelationship","","","id-1039a1d8-6ef3-42ff-93a1-05736d8197b4","id-d80da4c4-72a1-45f3-bead-5a53211c1eb9",""
"id-725b25a1-7861-40ed-bb17-00325743c004","AccessRelationship","","","id-9e8d2f08-8e19-4239-b2b7-fd39e05e48eb","id-fad9890c-55f1-4edd-9e1d-b2f9febb74ba",""
"id-feb20afc-180d-4880-a80e-9b8295b6816d","AccessRelationship","","","id-28f9b4ce-6b20-492e-9f08-5e92d8d9bcf2","id-fad9890c-55f1-4edd-9e1d-b2f9febb74ba",""
"id-9aa172f9-1a11-4c34-8ad4-ee9b171b486c","AccessRelationship","","","id-28f9b4ce-6b20-492e-9f08-5e92d8d9bcf2","id-4210b2ed-8194-49ba-82a6-05bd839b8093",""
"id-e8908c4e-ed41-48ae-83f6-302eb1badfaf","AccessRelationship","","","id-0e148be7-ce52-47c9-8ae2-5ed32e76db05","id-4210b2ed-8194-49ba-82a6-05bd839b8093",""
"id-4b339f2e-9362-4be7-b107-54fdfe48e2bf","AccessRelationship","","","id-22b39542-0517-4c50-95b0-0d9782d84cd7","id-4210b2ed-8194-49ba-82a6-05bd839b8093",""
"id-f366182b-d606-4e18-ae8a-e47bfbdfc354","AccessRelationship","","","id-657eb672-740b-4624-9f6c-2a93264ba3a5","id-54fd40ec-f96f-48a4-86b8-676746fadce3",""
"id-f4fb1b21-52be-495b-9149-9fbfe98604e7","AccessRelationship","","","id-45c0a7b3-f23d-4459-b4ec-541957ace2d7","id-dd0ac3dd-0625-46a1-ae85-eb5bac634721",""
