"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-74df7507-644e-4dbf-be97-a838070e81a4","AggregationRelationship","","","id-395d19cc-b299-4dc6-a073-53601562eae5","id-4ecf7b1b-3b74-4536-9465-b4ce79e225b5",""
"id-a521ff53-69b7-4cca-a52c-732b23443385","AggregationRelationship","","","id-395d19cc-b299-4dc6-a073-53601562eae5","id-5d1855ae-42c6-4af8-8679-0974b3631fbe",""
"id-77602286-0976-4b53-a665-07f0d83b915d","AssignmentRelationship","","","id-d32fee87-70e9-48e4-bf2a-c0811ee04e80","id-3fc8c4c7-8526-460f-915f-b21a370f4bd3",""
"id-1845129a-8ffc-4984-ba70-b7bb1e88da27","AssociationRelationship","","","id-1ac2971d-9721-4876-b783-3337cd38ed49","id-ea7658b9-be39-4e1f-9e48-d6fc4b0ba37c",""
"id-a7b88190-68e4-4d5e-9391-d35f1b613560","AssociationRelationship","","","id-1ac2971d-9721-4876-b783-3337cd38ed49","id-89a3ec7d-ec9f-47eb-ab29-c8ee629d27eb",""
"id-21fe61e7-30b9-49d8-a046-39fe19e08753","AssociationRelationship","","","id-1ac2971d-9721-4876-b783-3337cd38ed49","id-787ad6a1-2231-4d5e-8a61-864327aef573",""
"id-5ffefa6a-3046-4fd3-8137-e704d2650d45","AssociationRelationship","","","id-7c68fdbd-dffa-4982-b141-0b3b72325524","id-a36a629f-c422-425d-a5e3-5e3364c5a21a",""
"id-bbe66f4f-dde0-4d0d-ae80-d47a6cb98940","AssociationRelationship","","","id-297c9467-cdf2-4b09-9e98-e588c576fe23","id-7c68fdbd-dffa-4982-b141-0b3b72325524",""
"id-11dd4df2-915d-49c4-9fc9-d477edbad5e7","AssociationRelationship","","","id-7c68fdbd-dffa-4982-b141-0b3b72325524","id-919c56cf-e761-4772-a0c1-768ce49a514c",""
"id-4b73ebd8-63ff-401d-bebe-0ab91b64a7df","AssociationRelationship","","","id-7c68fdbd-dffa-4982-b141-0b3b72325524","id-545223ec-e8a6-4e39-af68-d7ae48820cd9",""
"id-7cbf7de4-2409-423b-b795-6f31a7470763","AssociationRelationship","","","id-267c7a3b-bbfa-45ac-b2c7-ec7312598154","id-7c68fdbd-dffa-4982-b141-0b3b72325524",""
"id-7c3aebe5-6d92-486f-90c4-73765cfabbd2","AssociationRelationship","","","id-2d231c8f-3462-4e9f-ab55-d86b077d7a89","id-267c7a3b-bbfa-45ac-b2c7-ec7312598154",""
"id-c7028bd2-888f-435a-b23d-729cba0be8bc","CompositionRelationship","","","id-545223ec-e8a6-4e39-af68-d7ae48820cd9","id-679040c4-8188-418e-babc-0ceb66214e4b",""
"id-fb6b3686-c473-47c7-ba50-5a5002619020","CompositionRelationship","","","id-297c9467-cdf2-4b09-9e98-e588c576fe23","id-7c68fdbd-dffa-4982-b141-0b3b72325524",""
"id-c690dd53-7ad8-4f69-9bc4-c5ee106bd0b5","CompositionRelationship","","","id-297c9467-cdf2-4b09-9e98-e588c576fe23","id-267c7a3b-bbfa-45ac-b2c7-ec7312598154",""
"id-527f9cde-b0c8-4fc1-9934-2b09f851005e","CompositionRelationship","","","id-297c9467-cdf2-4b09-9e98-e588c576fe23","id-545223ec-e8a6-4e39-af68-d7ae48820cd9",""
"id-508d5dda-aded-4a0f-9eec-b86a331c143c","CompositionRelationship","","","id-a36a629f-c422-425d-a5e3-5e3364c5a21a","id-5ef201b4-e37d-4cd1-a7db-c09f438eeea6",""
"id-fdb2e438-7681-48db-9938-6c78347d3bc3","CompositionRelationship","","","id-545223ec-e8a6-4e39-af68-d7ae48820cd9","id-c571daef-26a5-4982-9f43-4d444b15dce8",""
"id-2d5319dc-7844-49e5-9635-9afa767984b0","CompositionRelationship","","","id-297c9467-cdf2-4b09-9e98-e588c576fe23","id-919c56cf-e761-4772-a0c1-768ce49a514c",""
"id-e5ec76b0-fa07-4ea6-8e63-f5b73699ce9e","CompositionRelationship","","","id-545223ec-e8a6-4e39-af68-d7ae48820cd9","id-dd5d2b29-00e2-4974-98f9-72659ccbb7f8",""
"id-fb6c16b4-36ec-4b05-bed8-0f2c2fa81da8","CompositionRelationship","","","id-297c9467-cdf2-4b09-9e98-e588c576fe23","id-a36a629f-c422-425d-a5e3-5e3364c5a21a",""
"id-d1036297-9daa-456d-b7e1-50222b067359","CompositionRelationship","","","id-a36a629f-c422-425d-a5e3-5e3364c5a21a","id-65871168-8837-4cd1-806a-4b73449b4476",""
"id-da41f1a3-55f7-44d7-9d5f-695821d5edb3","CompositionRelationship","","","id-58fc23fa-aea6-4bde-8620-8e8314154dc6","id-d32fee87-70e9-48e4-bf2a-c0811ee04e80",""
"id-341c5375-7fc5-4d27-b541-8885fa050b54","RealizationRelationship","","","id-919c56cf-e761-4772-a0c1-768ce49a514c","id-c08db88a-4031-4d25-b901-18b590781ec6",""
"id-34f1f7e5-c176-4c71-bd1a-77c21480bd4e","RealizationRelationship","","","id-545223ec-e8a6-4e39-af68-d7ae48820cd9","id-2d0964d0-6843-4b0a-96a3-f6027efa5561",""
"id-76013a98-bbec-4af1-9a2c-cba8826b4423","RealizationRelationship","","","id-267c7a3b-bbfa-45ac-b2c7-ec7312598154","id-5090b1f5-bc5f-4225-97cb-765cf80f95e5",""
