"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-9ba853cd06bd477ea13e059ab6fb38b4","RealizationRelationship","","","id-7ddc0bcb0bba4bffb9d05992ca5b28f7","id-66458bc3ee3c4bfa8d39949fd63f9080",""
"id-45d2fdff1da44f7494d44aec48e04e1c","RealizationRelationship","","","id-5fd9a0d53d49491cad74488f23e34aab","id-fe9170256e2e4b9d8ec8411b0fdb3436",""
"id-f9eb447d3d744f5498e860de46aef4e5","RealizationRelationship","","","id-b12e6ee439be4077976fe1b944200ad3","id-23da134913dc476eb8fb84dff3a567ec",""
"id-31aafa7dee8848d49b7152bb811d6be7","RealizationRelationship","","","id-d4bf98b1cfcd421e96e2b8269f2539ff","id-3fc0fd7b1c0942a6af3df77b66da8a27",""
"id-3f677fd1b43e4d9899ea658c0b0857f8","RealizationRelationship","","","id-908208000b424ff49fd857bc002740a1","id-23da134913dc476eb8fb84dff3a567ec",""
"id-9c7d31dc69ba4d17ad8eaf161512b1f6","RealizationRelationship","","","id-9b87e5509edf4009b1f23dfb25814eb6","id-23da134913dc476eb8fb84dff3a567ec",""
"id-f1b3c983d939497f967cad9fe5cf60f7","RealizationRelationship","","","id-9b87e5509edf4009b1f23dfb25814eb6","id-fe9170256e2e4b9d8ec8411b0fdb3436",""
"id-136b3f89bd89484fb0aae82959ab3bc9","RealizationRelationship","","","id-9b87e5509edf4009b1f23dfb25814eb6","id-66458bc3ee3c4bfa8d39949fd63f9080",""
"id-ac8acf787f4e426d9382d1a136a30d0b","RealizationRelationship","","","id-0e80ffb9a0ce40079fd79fc74d465bc4","id-478186b2886e49ae8f2666c741c8063a",""
"id-7668c0e05b8d4eea979ee27dddf86112","RealizationRelationship","","","id-e11b85cc2e3d48f2b9d38b875abfcda3","id-6c17b5d3b0e249728f5f45635b91229b",""
"id-e6dc933f479a43d3b8c112d891bd5e77","RealizationRelationship","","","id-4380a663069244e598a1fe8f88c4d410","id-7eaf9a6c86f04be6ba99cb7ed912386e",""
"id-efde9a99e53a44d481056a8677429bf6","RealizationRelationship","","","id-1f9002f641694baa83b579a2538e3d95","id-b1eb69b6713b4fc6ab60c37aec757d14",""
"id-3f27c61c6149412e91fab70ab04aed69","RealizationRelationship","","","id-c0c0a54175164bad8fa6a63ce951633a","id-b1eb69b6713b4fc6ab60c37aec757d14",""
"id-f54972f85fa34920b13dbdf79facd881","RealizationRelationship","","","id-1924f6cba3f044f4ab0669bd0831c694","id-7dac6590e58646e8bd0c8179b6212c57",""
"id-cdfb136756894e969b8c3e911f714002","RealizationRelationship","","","id-cc9d2765177a4df3abeb22318956af01","id-11f61bde761e47f0bbdb3b74053cd605",""
"id-a1260fc9094f4c29af00a76e02df70ca","RealizationRelationship","","","id-18c89d211bfc451ab09a716288584ec3","id-c54e0b4a562649ee8200d6207e91cfb6",""
"id-6f2dda4264d943439fb18a397dae4807","RealizationRelationship","","","id-ab15fac7107649dbba8a57f4ec4ec435","id-f21a449ae4ee4fa7827e966b94dbef68",""
"id-ed747ef3353f4b6f8f365af5922b24d5","RealizationRelationship","","","id-3762500d3eaf4bd2b41b68a742fd185b","id-f21a449ae4ee4fa7827e966b94dbef68",""
"id-b87842ac34a247dcb34736f8ff175a6f","RealizationRelationship","","","id-0c74b28d87ab4c1cb15e3efda63224c7","id-0c771b05eadf4a0497cc86eb9715f4aa",""
"id-26c8809edca34d14b836a64ffeede454","TriggeringRelationship","","","id-66458bc3ee3c4bfa8d39949fd63f9080","id-1e3e482d107b4a60a4cc395a75dd2e10",""
"id-67e3f3805d5a4fca9e5aefd283ac8cb1","TriggeringRelationship","","","id-66458bc3ee3c4bfa8d39949fd63f9080","id-3924a0481a184ea68655add7428206ac",""
"id-312bd1045846468cb0cae0ae3e6745a9","TriggeringRelationship","","","id-23da134913dc476eb8fb84dff3a567ec","id-3924a0481a184ea68655add7428206ac",""
"id-69c79e0449b340e8aee33873c1679023","TriggeringRelationship","","","id-23da134913dc476eb8fb84dff3a567ec","id-1bfa9181f72b4d18bd0f5eb593f0e782",""
"id-fa2423a8d9bd41fc9fd1e792f5a79b21","TriggeringRelationship","","","id-fe9170256e2e4b9d8ec8411b0fdb3436","id-1e3e482d107b4a60a4cc395a75dd2e10",""
"id-1baf40fb0a674853acda435a46b72f7c","TriggeringRelationship","","","id-fe9170256e2e4b9d8ec8411b0fdb3436","id-3924a0481a184ea68655add7428206ac",""
"id-27d1ddd5cc8149998741e166a8975753","TriggeringRelationship","","","id-fe9170256e2e4b9d8ec8411b0fdb3436","id-1bfa9181f72b4d18bd0f5eb593f0e782",""
"id-654b19ab2d304aa8a901d6a0388cce63","TriggeringRelationship","","","id-3fc0fd7b1c0942a6af3df77b66da8a27","id-b190f9304d854298b6cf35a1f9234ef9",""
"id-f58bff272ad44d3a90d6246b99cb8466","TriggeringRelationship","","","id-f21a449ae4ee4fa7827e966b94dbef68","id-b12e6ee439be4077976fe1b944200ad3",""
