"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-37e436ad9a674e44ab4ec13bff1ef477","AccessRelationship","","","id-0c18819dc9fd4368ae379e4c1dffcaaa","id-66ad51bf5ae24d15910e1e5e0fe27b42",""
"id-028ddd18c8e346e0ab7b167d3caaf3d2","AccessRelationship","","","id-0c18819dc9fd4368ae379e4c1dffcaaa","id-3ec0a7c938754493a80fba3f997cdddc",""
"id-262a60f8b8ac4ebfac9e8a8b1013b476","AggregationRelationship","","","id-0c18819dc9fd4368ae379e4c1dffcaaa","id-1d9abb26a8a74d8b8b4f49b3e33c9ebe",""
"id-e316985d2ddb42c3928232a7764ca4e3","AggregationRelationship","","","id-b0d711f8e6f045a3a8af4219d9c1864b","id-ad45884361f54710805ff84a628db39c",""
"id-9e99bd144d1c4aefa8cc7b416ebe7750","AggregationRelationship","","","id-b4c74bc3fe034c1db143fb051ea62ea3","id-826e640854504076a0cd19b24469891b",""
"id-a86eac02002b412791789902f1b4acd3","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-413f095b025141fd9c00c16667bd1fd4",""
"id-75ecb3c4758547d48979c4d1048ac092","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-41ec4a0067d34d438f69dbebecaf1305",""
"id-21d9c279af3b43628115a93f0df7ad0d","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-167d294164bf41a6bcba0b5fc827eafb",""
"id-c63d01237b63481085ad3c92e3712f49","AggregationRelationship","","","id-b0d711f8e6f045a3a8af4219d9c1864b","id-6ab515b0ee8b498f915fe2bfcd6b2982",""
"id-7ab0d10b7f3445edbff2226393743e4e","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-6ab515b0ee8b498f915fe2bfcd6b2982",""
"id-a4e507f3f15b40ceb5462e1387c8bb42","AggregationRelationship","","","id-6ab515b0ee8b498f915fe2bfcd6b2982","id-cea8b78c1aca493b9736e30ce6029fe8",""
"id-9b4a768dbf2840e7adae5be9de29903b","AggregationRelationship","","","id-413f095b025141fd9c00c16667bd1fd4","id-cea8b78c1aca493b9736e30ce6029fe8",""
"id-c8663bb8683b4c6ebe6dc0ad9fa9171b","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-a9ac822cf1564b85859f5a61d4e10783",""
"id-1813fb529d0c46d592f7a4c96a054aa5","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-e48af14278204e86bdc9cb7bec088968",""
"id-aaa33c83fa0e4b4b95525c990ab6b57a","AggregationRelationship","","","id-1a3bcca6d4144fa9b2092d7f941a1396","id-df4e6590c56d4fc0afeffc13c14ef0ab",""
"id-4899efd0fb7247b7b8db1529d340cb89","AggregationRelationship","","","id-b0d711f8e6f045a3a8af4219d9c1864b","id-ac47e745c1d24fc1a72fb3589e7be56b",""
"id-0077c649de83473f908c5c1301f0e23e","AggregationRelationship","","","id-b0d711f8e6f045a3a8af4219d9c1864b","id-d98ad8fc7f164ca18c8043e42b46ca45",""
"id-f0656d0c9e3a464db77745a778e3ea8d","AggregationRelationship","","","id-0c18819dc9fd4368ae379e4c1dffcaaa","id-f66855ecaa0846c4bf4335d860e13805",""
