"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-c2cf96e8806f4e18b3ade04f9fd8aa81","AccessRelationship","","","id-10bc7c446532468ea5db633ce263c1e9","id-bfeec672eba64c7b883e40a55ffd57d5",""
"id-6b5f1604c2d74b33b6a84aa6a6ed4156","AssignmentRelationship","","","id-edc70ed343c94c1c9db07fef73f69d8d","id-11c33c8f38444491bd8abe757febc671",""
"id-d1212878443f4a15a58603c0200fc318","AssignmentRelationship","","","id-10bc7c446532468ea5db633ce263c1e9","id-f5ab1fe5504e4221b6bc26a67a0ce50f",""
"id-1210b5e4f3b446eb8c440767d4111414","AssociationRelationship","","","id-10bc7c446532468ea5db633ce263c1e9","id-b6f340ff048d47c8869a1921564eabb7",""
"id-a64c0a0acee445a389fec17b56ec69e5","AssociationRelationship","","","id-03622e3fc31a431bba0784432525301d","id-b6f340ff048d47c8869a1921564eabb7",""
"id-c6dc85dc93dd4f0dbb6ef4c2cba31a22","AssociationRelationship","","","id-b6f340ff048d47c8869a1921564eabb7","id-edc70ed343c94c1c9db07fef73f69d8d",""
"id-ace7a8969f1b49d8a371c6cfc1efbeeb","AssociationRelationship","","","id-b6f340ff048d47c8869a1921564eabb7","id-edc70ed343c94c1c9db07fef73f69d8d",""
"id-1ccb707af5bf4146922d3c1be0f40d38","AssociationRelationship","","","id-13d2323b19474242bc61785cad5d84ee","id-b6f340ff048d47c8869a1921564eabb7",""
"id-1406479dd7ad4b2a9b15ed26df287ddf","CompositionRelationship","","","id-11c33c8f38444491bd8abe757febc671","id-c87087332ed64a4ea9571d9782c4437b",""
"id-f8f48a2471a24aa187991f4b99d9dbc0","CompositionRelationship","","","id-11c33c8f38444491bd8abe757febc671","id-4e640f3734054d0580246bd89887ebd0",""
"id-507ee18e57034b8fa7cd89714b57f4e0","CompositionRelationship","","","id-11c33c8f38444491bd8abe757febc671","id-18aeb28dbd594ec9b5f05b2a2acb1d02",""
"id-b65371fefc904453be12210e22f8a958","CompositionRelationship","","","id-4e640f3734054d0580246bd89887ebd0","id-49a8650008cc4375808a79a79cc27d7f",""
"id-bd4b2c10480b45d5a3ee4ef6a04eb870","CompositionRelationship","","","id-4e640f3734054d0580246bd89887ebd0","id-27c02adb68c44f5ea70d8ee297edade0",""
"id-00a91228a35345fb9bbaf51e045018e0","CompositionRelationship","","","id-c87087332ed64a4ea9571d9782c4437b","id-bfeec672eba64c7b883e40a55ffd57d5",""
"id-2c1ca96b5fac4ce4972bb595e2234e7c","CompositionRelationship","","","id-bfeec672eba64c7b883e40a55ffd57d5","id-7328aee42e8843eebeec810f4f9bda17",""
"id-e0f8f55b33e84ed2b8d0784c9b200c46","CompositionRelationship","","","id-bfeec672eba64c7b883e40a55ffd57d5","id-8c936678088841a0bfc7d5a77737f0a6",""
"id-96607d128dc94c50b6442f87002f9214","CompositionRelationship","","","id-bfeec672eba64c7b883e40a55ffd57d5","id-6ff909406940474ba22d9afe3951baa3",""
"id-7790851196c84212a24c2cbe6d29e04b","CompositionRelationship","","","id-bfeec672eba64c7b883e40a55ffd57d5","id-b8454b455282455b9541065029bcb8f6",""
"id-999e61444db347af8d1c4d8f4864bcdd","CompositionRelationship","","","id-bfeec672eba64c7b883e40a55ffd57d5","id-10ef489b5a4e459488e345dafd0611f1",""
"id-d16ba619b8404b44b50b68b3f8570eef","CompositionRelationship","","","id-18aeb28dbd594ec9b5f05b2a2acb1d02","id-7db261403cbe4509ae77b4e0b758fd07",""
"id-e16cf0c0b3534adfbf0336cdff40af2a","CompositionRelationship","","","id-7db261403cbe4509ae77b4e0b758fd07","id-2f57e63e2ac4419a983d667bc5c379bd",""
"id-7f711c23f608478195c08c0811a17c15","CompositionRelationship","","","id-7db261403cbe4509ae77b4e0b758fd07","id-d4597771c37247e0a85693423428c16e",""
