"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-6a959fda73cb465da185e7f3856ec332","AssignmentRelationship","","","id-0649e0708f10478a9ce95f8f0fd91248","id-068ea46d85ae439cada63aa6d26c5bd3",""
"id-794816c67fd040ebb51ec0ccbfcc0f0d","AssociationRelationship","","","id-342ebaf599954ab18395ad3a631d87db","id-8f835cc73d594eaba4398d09d7b12100",""
"id-550f107dc96b4a81af2939d140980b21","AssociationRelationship","","","id-e9cd32cc79404ea4b88d147724d5b520","id-cbeb1b48e6014d53b8169034f1912371",""
"id-a22d82c281d24ccfaf5599f0b5b96519","AssociationRelationship","","","id-e9cd32cc79404ea4b88d147724d5b520","id-5c52ad6a63074f5da1628dbe92ec5b6a",""
"id-609f5e34e0e1434d893984928931b1ed","AssociationRelationship","","","id-e9cd32cc79404ea4b88d147724d5b520","id-1b8358cdb6de4541ad1da87ff0fe1ed4",""
"id-9353eab787324e97992094e6e70df166","AssociationRelationship","","","id-e9cd32cc79404ea4b88d147724d5b520","id-205ffd7038d446efb7a6a0cb2b82e81c",""
"id-12c72fe385d64103bd3ae6c5376691df","AssociationRelationship","","","id-e9cd32cc79404ea4b88d147724d5b520","id-30f6ea5b62cc470eafa9593d581c805c",""
"id-00f28e964cf44c4c8ccb9153191fdab0","AssociationRelationship","","","id-e9cd32cc79404ea4b88d147724d5b520","id-22db3b3580d04b5193fcd28e564aa6ab",""
"id-7f4e080b16d44fc8a54cb30a977ef853","CompositionRelationship","","","id-5659c881d9bc4eaf9e5a975b4f670d0e","id-3f3062a33d3545e6a9eb5015131a81d2",""
"id-19e7ab3d0ca44d81b39bfc82c22fe206","CompositionRelationship","","","id-5659c881d9bc4eaf9e5a975b4f670d0e","id-14941c0d7032479b88128ea561bf0e4c",""
"id-f7161b10ca0a4d19a5cbc3858153d6a8","CompositionRelationship","","","id-5659c881d9bc4eaf9e5a975b4f670d0e","id-202a7fb1add24d46b494ec3a07e3e11c",""
"id-cdedc3aa008d487284688045840b3770","CompositionRelationship","","","id-5659c881d9bc4eaf9e5a975b4f670d0e","id-2cbe7c7d92834d61bbb14cee4e3f162c",""
"id-186752affcfb40f991f2e37373895238","CompositionRelationship","","","id-053cd88f3c6244f8ac26c76ab1e5419c","id-3b6d1072b47d4fdea6ecbf4ff7e7b3c5",""
"id-9c06a744fa85462b8f91f2cb8ed3ab80","CompositionRelationship","","","id-053cd88f3c6244f8ac26c76ab1e5419c","id-a089fadfddbb48f482d77252c3d94205",""
"id-8ce8f51fbc444c7a9191771e84e0aa42","CompositionRelationship","","","id-053cd88f3c6244f8ac26c76ab1e5419c","id-858ac651b9ae4fdea83ffa617cc9b850",""
"id-a4b8909cc92248a58911dd75b41006b0","CompositionRelationship","","","id-053cd88f3c6244f8ac26c76ab1e5419c","id-f09e4863f307480db0d4b3c7d8ff02ec",""
"id-714dedb78ec24f5e9f98bea23b2470e9","CompositionRelationship","","","id-053cd88f3c6244f8ac26c76ab1e5419c","id-5c19b2ac30fa46a4b181819a71d470d9",""
"id-813892ab741446e99f98a9d0791b17a9","CompositionRelationship","","","id-653e837f4a8c49eda90f93272e2b2bfc","id-565a32fce3d049a6ac142399f635b6b0",""
"id-834bea94d46d495db59fa86b30fcba39","CompositionRelationship","","","id-653e837f4a8c49eda90f93272e2b2bfc","id-4e82debcf95540e1bc8843854cdb6e86",""
"id-92538b2e5f7746a4ae7ca8e1a8ea27a8","CompositionRelationship","","","id-653e837f4a8c49eda90f93272e2b2bfc","id-0c46971085db46fea70b0daae33b0aab",""
"id-d52a1db4a87242aaaf0f2c726aa26378","CompositionRelationship","","","id-653e837f4a8c49eda90f93272e2b2bfc","id-bc277be3057149e6bde5a072690b8632",""
"id-6933e5b112004a799844b7cfc4485ea4","CompositionRelationship","","","id-653e837f4a8c49eda90f93272e2b2bfc","id-daa57fa6209241e6b395488d9b6eb3bc",""
"id-9dd1bfe2a64142369d2a740bb54c48d1","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-6d58026ffeee4b5aa7b4032a1986e042",""
"id-cbc58c1eca724fa9aabafd27e0406a99","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-33b335d317f54432aed21c238c28935b",""
"id-3555222d412c4ed8a9e8909bb79cb2a7","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-346643f09b104f1cb3385f85ee0c3a0d",""
"id-b7d70bce4ba5497db6dcf04d7dba76ce","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-21d10fd9b12f41a587564c935f1e3a5b",""
"id-391e9b0eb6454ae2aa84a41724085ccf","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-ddeec78d7a184e60baa45ce6a46f8624",""
"id-2a4ad0e1e8dd444c95a7d60d60f58ad6","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-02f15357191c4415af7e094df9294987",""
"id-8a625ccb6cfc4a3ba17799c16dea23a1","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-a9bedb3393ba47e992fe845e0307b722",""
"id-00ee469acb554ecf9915b4e3df2f7e75","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-0ee91e5e60ad46868301b2b488fcf269",""
"id-6471e396d6c04deb9cd09f8fb4b95f82","CompositionRelationship","","","id-a089fadfddbb48f482d77252c3d94205","id-6edc6dc64a904fd09da7377b49496717",""
"id-ed41f839ef864236b20713ea3466e094","CompositionRelationship","","","id-dfcc040ce82642c7b86293632b7f7c83","id-eb39c5bef5624f769658da2af6c6783a",""
