"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-abf2048b129f48c9897dcbc734b30e86","AccessRelationship","","","id-0115b4f3b47b4c83aeee4e186dc6837f","id-6c1a6fdea9fa417bb99bdd49885fcf8a",""
"id-a5a02a52545d4e478f9e6759ee723695","AccessRelationship","","","id-964a64e5b60743d4bb346fd0377a6ca3","id-31d5c821cd1e4042a521ca9ac175e910",""
"id-144de5e1672b4a8099e18aee12e2ca6f","AccessRelationship","","","id-f1f00930dc234bedab40ba6619f91b81","id-2e6e414883d344b0945c272404fedf92",""
"id-50d9afe9c3b04560a5738f4fa80fb8bb","AccessRelationship","","","id-9bae9736101c486ba8bb910ffd4ec29e","id-6c1a6fdea9fa417bb99bdd49885fcf8a",""
"id-03351aa897c74b9ca4debe2e7cf39f79","AccessRelationship","","","id-b471a83ba5f84059850e2db23ed7e1ba","id-31d5c821cd1e4042a521ca9ac175e910",""
"id-0387ef48a7d7422a85e67d4bce906d4c","AccessRelationship","","","id-590cc0f341174699a686854afe2984a7","id-2e6e414883d344b0945c272404fedf92",""
"id-eb54f821c119492d96cdba6f23718a30","AssignmentRelationship","","","id-448bd9755ff9441c8017136bd91a5708","id-2c6652ec8f3a42d09d4f77439bfa53ef",""
"id-4b6b9203ffbf47e0892328fc1b5a30d6","AssignmentRelationship","","","id-c2f86b12e5b84af2a33d36c9f85fbd57","id-21ecbe4855304a589adac13613aaa33f",""
"id-d798ec360ee045fe8b8e71c359d44de1","AssignmentRelationship","","","id-c2f86b12e5b84af2a33d36c9f85fbd57","id-8318ed1c8eff4e0c8dec1aa988685a29",""
"id-c69da0661e844b4d9b166d2eb3db039c","AssignmentRelationship","","","id-89fce2c2c2724b1bb1d8fa91e685dd57","id-0d8a2d4fc39644eab64bdbf21228c46b",""
"id-dbab9db6b1aa4b49b5a47853c7de61d7","AssignmentRelationship","","","id-89fce2c2c2724b1bb1d8fa91e685dd57","id-e46d48f41aaf45689b38f02602d70a38",""
"id-4d9e682d7edf48769851e0e78fb3e75b","AssignmentRelationship","","","id-bcd491f307314c179f0ce42d23552ce0","id-e2cdbea0ccf2456ca0aea6f2959e7a1d",""
"id-7302b5f1a15547d8bf60ccd1b3d31975","AssignmentRelationship","","","id-bcd491f307314c179f0ce42d23552ce0","id-c1ad6a96d97a40a4902aba979f8fe63b",""
"id-cc16f503f8cf49c59fd972be88185a5c","AssignmentRelationship","","","id-6a0cbe2a8e2f4ff7a1fec5ed62f2c7c9","id-a628a821d587430aab2a5d3ce35afba7",""
"id-3ea62c92e7bf44e2b09d3b0bac0df59d","AssignmentRelationship","","","id-2c2f16e0dd9142d7b872b4b821327a38","id-9bae9736101c486ba8bb910ffd4ec29e",""
"id-153b5ff2f2044bcca38ba670f9f0bdab","AssignmentRelationship","","","id-49c49170fb6e4920952a7695d58adb60","id-b471a83ba5f84059850e2db23ed7e1ba",""
"id-597d29c4102a416caf5bf118546b41ee","AssignmentRelationship","","","id-5fa87263b7934b13958ee55a1220986b","id-590cc0f341174699a686854afe2984a7",""
