"ID","Key","Value"
"id-1d4cb2202a604caa880e9e2f42df8996","property1 name","property value"
"id-1d4cb2202a604caa880e9e2f42df8996","property2 name","value"
"id-e7ba459f108a4c62804e8e2ac83d25bd","property1 name","property1 value"
"id-e7ba459f108a4c62804e8e2ac83d25bd","property2 name","property2 value"
"id-4455336e4cc9417fbebf879c06db76c0","property2 name","property2 value"
"id-b0667c09059b4476922dd743cb8377f6","property2 name","property2 value"
"id-9cea97ef62cd4050856dc4aa210c26ff","property2 name","property2 value"
"id-053fa1a298544b429656d9f8f49bd0ed","property1 name","property value"
"id-053fa1a298544b429656d9f8f49bd0ed","property2 name","value"
"id-771c7517246f49d58315d569a3186ec7","Access_Type","Write"
"id-41f8309d80034bfbb365e6618eb31894","Access_Type","Read"
"id-785c8967474f4b9d951435b69f669771","Access_Type","ReadWrite"
"id-8e2d1e2bdd144a8298fb15cf152c0ca9","Directed","false"
