"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-7397c002f8874fe4b6b2d3f59909d1f5","AccessRelationship","","","id-4e8d922264d94f38ad9fa5f0b9d9e913","id-308160e77d53406e94809f0d83afd14d",""
"id-060fc477c8d74a2faae82ee319f10cb1","AccessRelationship","","","id-4e8d922264d94f38ad9fa5f0b9d9e913","id-16e55d75a8e440d480baf715c066b339",""
"id-f5ac4f1f61fb44e3ba6a7be3bc3552d3","AccessRelationship","","","id-523ed8c2f3724f83a48041611aaeb590","id-f0b0b02d8d1644b38198d93ff77992f4",""
"id-52ae7b55977949fca57d802ded2ab87c","AggregationRelationship","","","id-fbb53978afda43c4bca147e8a7b039a2","id-c2badff443b744e5aa514dabd31b2a3c",""
"id-0fe830cc275b4325b667c3861500a6a5","AggregationRelationship","","","id-e08f7a5df2ce4565ac73428274b6511d","id-fbb53978afda43c4bca147e8a7b039a2",""
"id-432bb15845294865830e271d651aae88","AssignmentRelationship","","","id-30e7f25a704a494d9e4d8c3741f239fd","id-0532449927684e95bbbae0189e34db11",""
"id-b18f417cf96a432e8132c0fad33fad52","AssignmentRelationship","","","id-3561b309a61344cd8f7811f88157d0bd","id-89900a28e1f54c07bab8b1950fd6dc4a",""
"id-ac29d7937e4e46b19b77fdb4a1947c2f","AssignmentRelationship","","","id-c6affe66d69140dd8dde2ca43dbcb054","id-cdbc2f23feb2465cbe0084bfd8a7e761",""
"id-36e539caf8a44bdf9ebe0f4adeefb84c","AssignmentRelationship","","","id-de3caa9986ec4bccb11c32e50f1c73c6","id-cfc7bdbd681c41c6b12e1730a348d793",""
"id-92471942f5ad452b9e45ec082e666071","AssignmentRelationship","","","id-acf465b2a90b4c8cb71c7d5a3e25bd4b","id-518c22e7c2594c7b87ec2ccff00c463d",""
"id-150320266cca4d6b8454eb379ed68118","AssignmentRelationship","","","id-de3caa9986ec4bccb11c32e50f1c73c6","id-4e6424029e5c4ffd80bf99a6d8c7bfac",""
"id-c01fa3d526e846beba71080209e0044e","AssignmentRelationship","","","id-799b4ffa026449bea38d5d582c0e3f07","id-b00fbe6097af437fbf268691b8db9249",""
"id-52d7b2ce38e84c19b317a2808c41477a","AssignmentRelationship","","","id-3492ee89defe491cb7eef0a551d6e884","id-5d200e9e9d49436ab04955efd6aebc69",""
"id-78fd32eac2c64f01a7904a1bed1ba661","AssignmentRelationship","","","id-cd6efbdac9be44f2948faf68811ca22e","id-bf14fe98a522416db725a1478a9a82ea",""
"id-40c21c324cd84c85809b47382324e3cb","AssignmentRelationship","","","id-de3caa9986ec4bccb11c32e50f1c73c6","id-9145c493e8874e69a71c1aabfbf4df6d",""
"id-77b1b74239434465bbce95f3ecf91d29","AssignmentRelationship","","","id-acf465b2a90b4c8cb71c7d5a3e25bd4b","id-9145c493e8874e69a71c1aabfbf4df6d",""
"id-3d6c50aed1ae424dbe029194179db490","AssignmentRelationship","","","id-799b4ffa026449bea38d5d582c0e3f07","id-9145c493e8874e69a71c1aabfbf4df6d",""
"id-556071db3a1646d69fd069d3e2d805e9","AssignmentRelationship","","","id-ef1181a5cfcc417583693db27253cb96","id-6f2810dc04a7466fa3acc08a348fddc5",""
"id-dc75ebe9bd35431390d3f3366524152b","AssignmentRelationship","","","id-ef1181a5cfcc417583693db27253cb96","id-cf387aa2f48640a6845317a7ba8af5ca",""
