"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-52c4ab58dead4a74aa0ac21e55380971","AccessRelationship","","","id-4302a877e9b1460ba83311364183d39b","id-74bc5830dfe4436783632949185fb6c4",""
"id-7c9047e00d844100b704f4f70dcaadd9","AccessRelationship","","","id-bbbd70997cec44349f57b2b03919d048","id-3fba864f1917472dba642730a14baa29",""
"id-e9ac8fc7b679442987414b940aaf9422","AccessRelationship","","","id-9930f2cbddee45229019d983ee6b4952","id-e1572d9363774ee486decbbd9c4b9e95",""
"id-5dd245b197904d6ab800eef1e0a2434e","AccessRelationship","","","id-d8d12870b9ab4b6f9b70c1a40956101f","id-8e63a54b903e4c6f822b076f4308f636",""
"id-debefd5a20174a6c9f2aedb9614cc232","AccessRelationship","","","id-fca705ed32e04b15b65e4860ac156730","id-b92b2bb9ccf84a69b6135841247aeb26",""
"id-fba32834b6784b77aa463f59bb8035e8","AccessRelationship","","","id-d80525acc1fa434c92995406e8828eda","id-512e5451e92b4a0aac33f1b7d330fa78",""
"id-657e2ee27b8046889727226b19a221b9","AccessRelationship","","","id-91686a6de9614b7dabb1dd96dcdcc466","id-cf2ceea536a449f6a011b562357b7e2b",""
"id-a4a17613710249f9a181340c6e76bb50","AccessRelationship","","","id-f6239bc6800e47d38a5e3c16e9e53854","id-b92b2bb9ccf84a69b6135841247aeb26",""
"id-ba864c14d3f94009b84ba015da633f0d","AccessRelationship","","","id-ae66f2176b354607a32ff41a4fa9b368","id-067408f450b94ee3aa21afa83d0d3edd",""
"id-e4dc71b0ecaa4fcba68a9c65d2fd1af3","AccessRelationship","","","id-acb8639711e54a0d85bf9c5700d33276","id-4a2d23e138eb4ec9be6de5833435bc7d",""
"id-278125937ca340e9b8e90b5b8967aac2","AccessRelationship","","","id-7175b137248b4cbcab93568f5bcaff29","id-48d5d1078cd346b989a158c8aa6fdc12",""
"id-d8658adb0c1a4a47b99cb83f4f0a4107","AccessRelationship","","","id-1b4d9e3abf6f4576b25b79cc848e1b6f","id-213e1f5277664682930b685bbf0b1033",""
