"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-e83bf03009c048ee82154bade832623f","AccessRelationship","","","id-a1f25c6b1add466fafe57a92bc04522e","id-2082682695ca46a0bcaff34a5713befe",""
"id-1cc423af3c1e4ddf89bfbd17cd2888af","AccessRelationship","input message","","id-68af9cbd7eba4042be603e416bdd1619","id-8507562c0a064bc0beaddf5e162c88e2",""
"id-36ceabf24ba04d809961080eaa427310","AccessRelationship","output message","","id-68af9cbd7eba4042be603e416bdd1619","id-8507562c0a064bc0beaddf5e162c88e2",""
"id-ba740e5b8a2241b3b0ed962da0689e3d","AggregationRelationship","","","id-a1f25c6b1add466fafe57a92bc04522e","id-955825b517454591970bb4d33055fd2f",""
"id-758baccf2abb4603b8d2b2683888d95a","AggregationRelationship","","","id-2082682695ca46a0bcaff34a5713befe","id-d76127ef99f641e0a8cc93f90ad1a414",""
"id-f3fa48eb23344010b13657887f1bddd3","AggregationRelationship","","","id-2082682695ca46a0bcaff34a5713befe","id-dba26e9af0b5410fb549f59276dcbfdc",""
"id-fbb58358c9554efd8c86b4c8810ba311","AggregationRelationship","","","id-d76127ef99f641e0a8cc93f90ad1a414","id-49f8a4ef38ab4457984d03513b8f76c0",""
"id-cce7767873e74b4387168c17b972998d","AggregationRelationship","","","id-dba26e9af0b5410fb549f59276dcbfdc","id-49f8a4ef38ab4457984d03513b8f76c0",""
"id-aa8702460a36431aae60add8f5236c82","CompositionRelationship","","","id-b357bb804d54467282f574d419b0da42","id-8625f9d51d004da8b0cf80c8bd36886c",""
"id-0729ad80f07746c18561affa3b1b2ec1","CompositionRelationship","","","id-8625f9d51d004da8b0cf80c8bd36886c","id-8625f9d51d004da8b0cf80c8bd36886c",""
"id-ba056c07d54447c98dbb61372e163ba8","CompositionRelationship","","","id-8625f9d51d004da8b0cf80c8bd36886c","id-f9e44e2ec1c8493383e1ae7d5c0bfb45",""
"id-37f41d87859843b4a64e362a8c7f7ba5","CompositionRelationship","","","id-d350b4de5693404cbd9c01b53d33724a","id-d350b4de5693404cbd9c01b53d33724a",""
"id-38739bb600d54fbdb7d1978f307e6022","CompositionRelationship","","","id-6321f4d34a324defa42849f472f52c81","id-68af9cbd7eba4042be603e416bdd1619",""
"id-6b3a6797012e416884debb27f0cf4f90","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-25db69b7004940f08cceb39d3fada5a6",""
"id-aff3601aaaa94dc89b948e764e8778f2","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-1dbcc673b0944ad18e233971054ade01",""
"id-a9105cd3e1d648daa8e0e92b74c08e67","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-411219a7abe44ad584f97a294296a3b1",""
"id-edaa077ee0c346568d2712e05ef902e9","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-b4aed81d085349a892e3b7640bed9356",""
"id-1f1312a76e1f435eb717d89e493edb44","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-dd15b385cc784d12a6ed4fbf80d9201c",""
"id-97892e8becb54fda84d7f649b0cad748","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-dc36e97fbf234a93b3072c4077ec5f33",""
"id-83047d1e61a2423e9a4d447c7366892a","CompositionRelationship","","","id-512ded9bddf14cdfbd899d1bc05c1aba","id-c3901991e8f940e7be68180b6956bc19",""
"id-f30638f97739480a81d4673a63db1eed","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-19c48d03d53f4ccfbc6f6d738de0bfbe",""
"id-9e6369381b7c4accbcaa314b0e7baafe","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-52634719e13c493eb826e1d5a118a5a7",""
"id-166d7ccbbb0c4b54b527c911d235b3cf","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-f7281d9a38614da4af8cf76816736d2f",""
"id-198ad3e0da4740cab98b1ac08abb7b28","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-ef006944d59140aba39ec8f9db20f280",""
"id-cda3489d8b8d46a4985ed67a22dd494e","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-d7a21a45594e4eb3ad6a87f6ab3ab94e",""
"id-9b20e902816146a1be758f67672084d8","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-0b42930325d1459aa75047136f99894d",""
"id-22245462639d4e8fa31371c85f723a2c","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-07ee376119584b1291d0854b31a6370f",""
"id-2a10548b726948c9bcb61f287f8f6f64","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-f25240ccc1e44d23b3ee023f5d286fb3",""
"id-a446b79c9927426bafd8264f314df2bb","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-15386f5f298b4f49b35b1f5254faea92",""
"id-09aa3c7da2024e419250b615a33254f5","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-71da805b2bdd4f1cb6c667fa60d4732c",""
"id-164b680f3f9247c7bcbd2ea228f59118","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-1b43918ed5c147e389f53356b8dd1c76",""
"id-05c753e4b64143df91deca103ae8613d","CompositionRelationship","","","id-5c57367bf7c44e628fa97334ca872cec","id-0d9f2915e43c4b79bf05cc85697c8a17",""
"id-590a418b91ea4767bd4a9a2ba63f1e9b","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-a18ba07946d344f4b266a9968c9f2de6",""
"id-d55a14c4604e4b9ea1ab1c34bb6b4da5","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-d57f610040224518998b38bdf8caa9df",""
"id-502698c777ba4ecca08a133da4400175","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-7fdd06be035941f2a4b46ac6c1794ed0",""
"id-c2e48544c9114287840745340b5aa418","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-3925fc8b78714e37a59dc32d0262759b",""
"id-2fb794dc755241f29092dde359306fb3","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-1830f723d3d241a29a00a23c601fe113",""
"id-d9005c6f44094d78908b2c3505d8eb8c","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-fac8d4ba11eb4a06ba75275c248d6509",""
"id-b2c625abfa6946abb88b7da9f3a4bdf5","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-9d41cea314b046099a7010b317797963",""
"id-e4bedc6f509842c89e776ce25f94e6db","CompositionRelationship","","","id-40401ee2b3894c12b4b118ae3cb135ef","id-ce910d6ca38540eebfa044ec19ec8eb4",""
"id-55a4cb322e5a41498ea6b082e45fd28b","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-f0e722c603f9448c9c7db282fac38ed0",""
"id-887d51e51286460893a35e1002806586","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-d16673a0c9d1403eb95eb2e527c23ca3",""
"id-11bd81b0304c4f3281a643f6e557e25d","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-068279a4bbae4751981346cdf95bffa5",""
"id-b9eb2c132bc94b0cad6eb727717253a7","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-85657dad0dd24deb8eaadea12787c1a2",""
"id-17caf53b508d463684b08aa84efa3631","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-88429dd8dbe24ae0bc6ef5a9cbabdd1c",""
"id-be26dd7cca6944d79199ffa6bb98437b","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-a3ca7a9de7cd4161995c9cb3e25890bb",""
"id-b2a347c530824409b0972ece8c631ebd","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-1f17b19ebcf64ef7b08d33d254c18dce",""
"id-54854badde154fbda89ee7d4d871387c","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-7f87efdb421e4fa0acda251ba0cfbf67",""
"id-50c05f7a58c14a1b9404e1148de9eb6c","CompositionRelationship","","","id-73cb936a4f18441880612d3e176932bb","id-24f1e221c8c24393b2662787663272c4",""
"id-e01b3a189b494d7c9acd9d7d860d0b30","CompositionRelationship","","","id-2b0191040a04479aa7cbc1150f230620","id-826975539e4c4215a57bfedb3598e41c",""
"id-ab0cd220d5d3405a8dd368b185f2b189","CompositionRelationship","","","id-2b0191040a04479aa7cbc1150f230620","id-4c5593bdcde543fca76bd8411f352eca",""
"id-0fba71e2f0034bf0ac8102384f286002","CompositionRelationship","","","id-2b0191040a04479aa7cbc1150f230620","id-581c6e2991044a0e96010eeb0fc8d767",""
"id-bbcc5e93ff7d44088161f97f5c82d47d","InfluenceRelationship","","","id-7f87efdb421e4fa0acda251ba0cfbf67","id-f5e8ce76e787416eb783309010e5cb24",""
"id-8f531430f6ac4fbfb82b662205055ed4","InfluenceRelationship","","","id-c3901991e8f940e7be68180b6956bc19","id-333f8a6a97da4bb08af906a287c225cd",""
"id-1f2fcb4555d748e1b1b9f9483fc300d5","InfluenceRelationship","","","id-88429dd8dbe24ae0bc6ef5a9cbabdd1c","id-4a82de2a2b7f4edd925cb75826e5ac8c",""
"id-1f903896877d4092ab686c6c5008dfd9","InfluenceRelationship","","","id-a3ca7a9de7cd4161995c9cb3e25890bb","id-4a82de2a2b7f4edd925cb75826e5ac8c",""
"id-06c390e047064b92bd5f36e064ed04b3","InfluenceRelationship","","","id-581c6e2991044a0e96010eeb0fc8d767","id-4a82de2a2b7f4edd925cb75826e5ac8c",""
"id-4e9535a7ef9249b7ae9d0ced3d6c54c4","InfluenceRelationship","","","id-3925fc8b78714e37a59dc32d0262759b","id-200cd25858fa495498088d823282e004",""
"id-70ce46ecabbe4920b6df0bd157e3a5d6","InfluenceRelationship","","","id-a3ca7a9de7cd4161995c9cb3e25890bb","id-c4a8967dd26241ef8f4a3da148d875e1",""
"id-68182ffdccff44cb92a0f82d2a8703c4","InfluenceRelationship","","","id-24f1e221c8c24393b2662787663272c4","id-f5e8ce76e787416eb783309010e5cb24",""
"id-732deefba8604677aa2794b64ba70096","InfluenceRelationship","","","id-d16673a0c9d1403eb95eb2e527c23ca3","id-6575fbcc2654408293024fdde157a8a6",""
"id-9784216bea874a67b62fb87ab5f8c226","InfluenceRelationship","","","id-826975539e4c4215a57bfedb3598e41c","id-0305e59f9c3644ce9c4eeb3c7e396c89",""
