"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-f992d3ce6c0a4d76a445e75ffe5de75a","AccessRelationship","","","id-92f705a6cb9842edab4d8e334d9a8db5","id-30276d3bebef48f88831face083648a9",""
"id-a13cca0aa0b24568952561cec334f13a","AggregationRelationship","","","id-cd57654b7f2b43cdb45e4395a69977ec","id-8332b23364eb47adbf56c6a1b2d29ea4",""
"id-37e1590359024cd2a6f5dc7c47aacfdf","AggregationRelationship","","","id-cd57654b7f2b43cdb45e4395a69977ec","id-f546af37abe749b09ddffba06be74f02",""
"id-504b0eb38808486684ce5cfd3700395a","AggregationRelationship","","","id-f5f68938b4d649c8bd4b78c23575186f","id-6dafa3c936564aa7bd6009e97281c51b",""
"id-bef3d33a3f724eebb988d4288d023906","AggregationRelationship","","","id-f5f68938b4d649c8bd4b78c23575186f","id-de96167075e7424d829a23befe5783e1",""
"id-ee87ab210ad145eea694963bd006ec5a","AggregationRelationship","","","id-5498614b900646b1a4591d5de0b9015f","id-761e3bbf187e433382bd93f720cbbee6",""
"id-fb4aee68c0b448be9edeb1c993936a2a","AggregationRelationship","","","id-5498614b900646b1a4591d5de0b9015f","id-5cc2f4942fac4baca0c63808df6f07fa",""
"id-8d05fb08ad02415aa08213b9de48e789","AggregationRelationship","","","id-9c8c6b301b014393a0d67d7227a8f3ba","id-5cc2f4942fac4baca0c63808df6f07fa",""
"id-f9a63cce8be1423ea1e78dc19f54ca55","AggregationRelationship","","","id-9c8c6b301b014393a0d67d7227a8f3ba","id-8f882ae584aa4dba853d23e7b04e501d",""
"id-17fe57e2bfd84ac1be29978882954fc1","AggregationRelationship","","","id-c8fa9b9a32f94e10bfe76bd3cd556da5","id-66901715c34149f4a9d4a40932c07253",""
"id-7569279545394a77b139bc838023b5b8","AggregationRelationship","","","id-f5f68938b4d649c8bd4b78c23575186f","id-761e3bbf187e433382bd93f720cbbee6",""
"id-70f21c58317442cc8ab359a71b820412","AggregationRelationship","","","id-f5f68938b4d649c8bd4b78c23575186f","id-5cc2f4942fac4baca0c63808df6f07fa",""
"id-5d1b7e5f8a6d49da996610bfc2e8c0cd","AggregationRelationship","","","id-30276d3bebef48f88831face083648a9","id-8eb8e24fb70444949b2dc1ca35e8d1e7",""
"id-0d7cfde6f33b4ad19e906637dc5da141","AggregationRelationship","","","id-d8d43dd4901f429e8dd3e100b996da2e","id-afcb9b36e83b47039b22ead03d6930cb",""
"id-8dbf630524f843d183ff4c80c7229d81","AggregationRelationship","","","id-9c8c6b301b014393a0d67d7227a8f3ba","id-761e3bbf187e433382bd93f720cbbee6",""
"id-6efc46f8dd4348b6b4e24b3f8f9dbe5f","AssignmentRelationship","","","id-4979d2373b4b4bc0b392973178a343e3","id-f2bf9099c3894df8ae343f0308bb8841",""
"id-1e6a4f0661374c4e969c7e216d33fc5b","AssignmentRelationship","","","id-4979d2373b4b4bc0b392973178a343e3","id-b7014fc666574faf8a34d9fb2d8bdddc",""
"id-ba7ccf52f0694edcbc59275fef72a3d9","AssignmentRelationship","","","id-8d7a5e72c23d46d4afbc22ec15f4360a","id-ee941db49a704dc0b5d05b61321d5846",""
"id-d5ad834d89094143b70f7ae919fa287e","AssignmentRelationship","","","id-8d7a5e72c23d46d4afbc22ec15f4360a","id-b06f4634ecf14d849a920f6b571cc4eb",""
"id-60b553e43b244e54b02d1027216a7ab6","AssignmentRelationship","","","id-b4a292f07de64f64bd43a102cbbe6eb6","id-c36574d54a8a4a65bdab9eb8fd6280d0",""
"id-cbba93bdbdb84a7eae62baea5e4ea5ab","AssignmentRelationship","","","id-b4a292f07de64f64bd43a102cbbe6eb6","id-42056c47816347388bff17d3ff0489f3",""
"id-8c9fdd61d78845039261b2c4becaf01d","AssignmentRelationship","","","id-0bdab019c815437a8c36fc5ec715cd00","id-8b484162a1904c4fb7b5d7eeeaa79854",""
"id-d7f22440a6654158b4381defc1fff003","AssignmentRelationship","","","id-dd0f8e4f88b049e3b4f0b01db44c8f63","id-4477d0212f674cb188e69e46838633a5",""
"id-9297bf48f79b46bdb7012d1c964af4fc","AssociationRelationship","","","id-8332b23364eb47adbf56c6a1b2d29ea4","id-ccdb0a206e384e689d037c281e2db17e",""
"id-be5219a1abfb464a95267a87e2322119","AssociationRelationship","","","id-8332b23364eb47adbf56c6a1b2d29ea4","id-0624a4b43d704d128c49d3ea6c4106be",""
"id-641d680cc3a34af7a6de0913bf844504","AssociationRelationship","","","id-6ebf933715734cca8e84ec1af9b199d2","id-8332b23364eb47adbf56c6a1b2d29ea4",""
"id-7e58d558eacc4292be459973c207090d","AssociationRelationship","","","id-66e1bc3d86c9471dac4656b38e601ebc","id-8332b23364eb47adbf56c6a1b2d29ea4",""
"id-9244a6d3f43844588772c462a959b2dd","AssociationRelationship","","","id-178620f56ced44d0bb9187efa07394f7","id-8332b23364eb47adbf56c6a1b2d29ea4",""
"id-669474fd14264c5b9c85884e2ef9b5c5","AssociationRelationship","","","id-a45881d1d55e45cfb9007d9b7e8d0b3c","id-6dafa3c936564aa7bd6009e97281c51b",""
"id-380742765f084015ab5fa454932bcd5c","AssociationRelationship","","","id-4a15732dd3ff4a5a8150d01edf6d7fcc","id-c9caca8b40634ea8b95c1648c1f58287",""
"id-d4a7a32b23994b668be62fdc3a0bb507","AssociationRelationship","","","id-761e3bbf187e433382bd93f720cbbee6","id-00d48e5fcc0b42f48474d3e91706b695",""
"id-e5f281ff39e74002a0cd136c77eba6f5","AssociationRelationship","","","id-761e3bbf187e433382bd93f720cbbee6","id-c423295f52d948e0931d3f1ef209f03c",""
"id-3fee08e1428040be8ebfc4f7a038d367","AssociationRelationship","","","id-f81d34fd888b48b8a6699909f7f9a085","id-761e3bbf187e433382bd93f720cbbee6",""
"id-988530962dc044af8f516b1e3b9d39a0","AssociationRelationship","","","id-1ccd703259634259a496f0e220c79300","id-8f882ae584aa4dba853d23e7b04e501d",""
"id-2d5c593d7d094cf6bc3b1b44a4e94a02","AssociationRelationship","","","id-761e3bbf187e433382bd93f720cbbee6","id-4f179070cea54654a76dabd79f18d659",""
"id-21faab66d31148ec90342f4aad80cee9","AssociationRelationship","","","id-4f179070cea54654a76dabd79f18d659","id-d9a0cc77aa8b45ee8ddb1af47553ff97",""
"id-d1e668cefe344c49ac3ea6dd16009275","AssociationRelationship","","","id-761e3bbf187e433382bd93f720cbbee6","id-d242880d790845dc9d70adb49f762a8c",""
"id-9a694b6a305f4269ab8e3aa1ffb71806","AssociationRelationship","","","id-761e3bbf187e433382bd93f720cbbee6","id-4a29464341474705a1c47d68f1208b31",""
"id-08b965d643e54a3496823f5aaaa676b3","AssociationRelationship","","","id-761e3bbf187e433382bd93f720cbbee6","id-29fc47d9adfd4e37ba9a9e3db1e336aa",""
"id-98923f9425ce47b2b791783e76a4787c","AssociationRelationship","","","id-29fc47d9adfd4e37ba9a9e3db1e336aa","id-63bde6a0deb54f5191e2187e2fd0da38",""
"id-5e5a4aa8db36466b9f766d897a0aa0b2","AssociationRelationship","","","id-5cc2f4942fac4baca0c63808df6f07fa","id-63bde6a0deb54f5191e2187e2fd0da38",""
"id-fc74a1acb5ba4bde9c4b093719848996","AssociationRelationship","","","id-13fc0bcc55a54ad08c9128b2918178a9","id-5cc2f4942fac4baca0c63808df6f07fa",""
"id-24cc0a85fe3742299e65cff01d96b7cb","AssociationRelationship","","","id-2422de5f30bc42e49480bd55e813cd72","id-761e3bbf187e433382bd93f720cbbee6",""
"id-9b32bd84de084ff991338804da0fa2e7","AssociationRelationship","","","id-8580801eb7b440b6a2662884f4116932","id-386ffd5acce64fd78d706e65584f256f",""
"id-2d63517b448140c087fbde3b3ecfd726","AssociationRelationship","","","id-8580801eb7b440b6a2662884f4116932","id-8daed299f4924f85b755a44d5772c8d2",""
