"ID","Type","Name","Documentation","Specialization"
"1d703f78","ArchimateModel","everything","
# Purpose

This **ArchiMate** Model is here to illustrate the abilty to use [Markdown](https://daringfireball.net/projects/markdown/)
for markup in *Documentation* tags.

* lists
* lists
* lists

You also include code examples:

    // Code examples
    while (true) {
      this.burnCpu();
    }

  ",""
"895b5ec5","BusinessActor","Business Actor","",""
"f123a9d3","BusinessActor","Business Actor","",""
"b6677ae1","BusinessCollaboration","Business Collaboration","",""
"cfffd652","BusinessEvent","Business Event","",""
"890c6b06","BusinessEvent","Business Event hello red fish blue fish","",""
"15e2172c","BusinessFunction","Business Function","",""
"2a00fdf3","BusinessInteraction","Business Interaction","",""
"bc1ceb46","BusinessInterface","Business Interface","",""
"11af7615","BusinessInterface","Business Interface","",""
"e1616652","BusinessObject","Business Object","",""
"70630355","BusinessProcess","Business Process","",""
"d393c534","BusinessProcess","Business Process","",""
"e7c1a5f3","BusinessProcess","Business Process","",""
"867c2f22","BusinessProcess","Business Process","",""
"d1a45f58","BusinessRole","Business Role","",""
"b5dd94c9","BusinessService","Business Service","",""
"495250a2","BusinessService","Business Service","",""
"03064f37","Contract","Contract","",""
"f0090d70","Product","Product","",""
"ab4c4726","Representation","Representation of us and all of that","",""
"a3965597","ApplicationCollaboration","Application Collaboration","",""
"4e337ab3","ApplicationComponent","Application Component","",""
"2f331587","ApplicationComponent","Application Component","",""
"0fd56a64-8ee7-4777-93e3-2fd4ae66fe2b","ApplicationEvent","Application Event","",""
"9b0af2d9","ApplicationFunction","Application Function","",""
"51eecad7","ApplicationInteraction","Application Interaction","",""
"72abc76d","ApplicationInterface","Application Interface","",""
"8b0269a0","ApplicationInterface","Application Interface","",""
"1c8c458d-7c1a-4424-b3bd-ff236bd9888b","ApplicationProcess","Application Process","",""
"e5504f30","ApplicationService","Application Service","",""
"c50ea139","ApplicationService","Application Service","",""
"75a63568","DataObject","Data Object","",""
"a58c2cff","Artifact","Artifact that I found one day","",""
"b55b532f","CommunicationNetwork","Network","",""
"78f8493b","Device","Device","",""
"89d89ded","Device","Device","",""
"7eacfc0f","Node","Node","",""
"fa48c0eb","Node","Node","",""
"61b2ebb6","Path","Communication Path","",""
"5d63c4ac","SystemSoftware","System Software","",""
"c3b8630a","TechnologyFunction","Infrastructure Function","",""
"f5bb4733","TechnologyInterface","Infrastructure Interface","",""
"7d72249a","TechnologyInterface","Infrastructure Interface","",""
"1637e896","TechnologyService","Infrastructure Service","",""
"a11b9eb7","TechnologyService","Infrastructure Service","",""
"21876b7e","Assessment","Assessment","",""
"da7394bd","Constraint","Constraint","",""
"49f1b964","Driver","Driver","",""
"35d27705","Goal","Goal","",""
"b9d8f495","Meaning","Meaning","",""
"4a1a1a71","Principle","Principle","",""
"529a4b14","Requirement","Requirement","",""
"1ef2b6b0","Stakeholder","Stakeholder","",""
"5ce14ef5","Value","Value of some thing","",""
"0e8739c2","Deliverable","Deliverable","",""
"9005d244","Gap","Gap","",""
"d89ba03a","Plateau","Plateau","",""
"77fa0664","WorkPackage","Work Package","",""
"5f48a3fc-7864-4e9e-ac2b-3f6f1e6a0344","Grouping","Grouping","",""
"2b5667ad","Junction","And Junction","",""
"1bbf9386","Junction","Junction","",""
"a3344375","Junction","Or Junction","",""
"d8440883","Location","Location","",""
