"ID","Type","Name","Documentation","Specialization"
"_rqQysLoYEeuARqq-icHx7Q","ArchimateModel","Smart City N","",""
"_sO_3oL0qEDmn3YC-uPBEJw","BusinessFunction","Aushandeln von Vertägen","",""
"_WKsS8L0qEDmn3YC-uPBEJw","BusinessFunction","Function","",""
"_XmdtYL0qEDmn3YC-uPBEJw","BusinessFunction","Function","",""
"_V49YAFmREDqIRLPVFtS8_w","BusinessObject","Object","",""
"_HVu9cJxHEDm_I_Qx11Jw1g","BusinessService","Registrierung durchführen","",""
"__O8v8L0pEDmn3YC-uPBEJw","BusinessService","Service","",""
"_voVyAL0qEDmn3YC-uPBEJw","Contract","Contract","",""
"_UGFsMFmREDqIRLPVFtS8_w","Product","Product","",""
"_XgTJQFmREDqIRLPVFtS8_w","Representation","Representation","",""
"_YDMZQJxHEDm_I_Qx11Jw1g","ApplicationComponent","App Komponente für Registrierung","",""
"_808WML0qEDmn3YC-uPBEJw","ApplicationComponent","Backend","",""
"_VrD7ML0rEDmn3YC-uPBEJw","ApplicationComponent","Frontend","",""
"_hGV0wJxHEDm_I_Qx11Jw1g","ApplicationComponent","Zentralseitige Komponente für Registrierung","",""
"_Fo-XoL0rEDmn3YC-uPBEJw","ApplicationFunction","Function","",""
"_6vDnwL0qEDmn3YC-uPBEJw","ApplicationService","Service","",""
"_PyMqYL0rEDmn3YC-uPBEJw","Device","Device","",""
"_oBm9wJxHEDm_I_Qx11Jw1g","Device","Smart Phone","",""
"_OXxTwL0rEDmn3YC-uPBEJw","Node","Node","",""
"_qQepEJxHEDm_I_Qx11Jw1g","Node","Server","",""
"_2krugL0pEDmn3YC-uPBEJw","Constraint","Constraint","",""
"_ABv7UL0pEDmn3YC-uPBEJw","Driver","Klimaschutz","",""
"_GtpyoL0pEDmn3YC-uPBEJw","Driver","Notwenigkeit zur Digitalisierung","",""
"_xBQOwJxGEDm_I_Qx11Jw1g","Goal","Klima schützen","",""
"_1NovoJxGEDm_I_Qx11Jw1g","Outcome","MaaS Angebot","<p>Beschreiben&nbsp;</p>",""
"_bxR9cL0pEDmn3YC-uPBEJw","Outcome","ÖV Angebot für die letzte Meile","",""
"_xYJ_QL0pEDmn3YC-uPBEJw","Requirement","Requirement","",""
"_RLuUAL0pEDmn3YC-uPBEJw","Stakeholder","Indusrie","",""
"_aD_KoL0oEDmn3YC-uPBEJw","Stakeholder","Stakeholder","",""
"_L9sv8L0pEDmn3YC-uPBEJw","Stakeholder","Städte und Kommunen","",""
"_V6NcYL0pEDmn3YC-uPBEJw","Value","Klimascutzziele werden erreicht","",""
