"ID","Type","Name","Documentation","Specialization"
"_L-pyMH9LEeqjCeBtMxTJVQ","ArchimateModel","ArrchitestApril","",""
"_VTcUcWEUEDiJEaWoc7K3-g","Resource","Resource","",""
"_CGRWgGF4EDirnO9vY830Ng","Resource","Resource","",""
"_RAqQoGEUEDiJEaWoc7K3-g","BusinessActor","Actor","",""
"_xEzGEWEVEDi517eDQF6mwA","Device","Device","",""
"_s6K4sGEVEDi517eDQF6mwA","Assessment","Assessment","",""
"_VgZAwGETEDiA0pH_q2s6Kg","Driver","Driver","",""
"_Yni-8WETEDiA0pH_q2s6Kg","Meaning","Meaning","",""
"_UJQZQGEUEDiJEaWoc7K3-g","Meaning","Meaning","",""
"_VoSIIWF5EDi0rMmkw2SVnQ","Meaning","Toll","",""
"_W0lMgGETEDiA0pH_q2s6Kg","Outcome","Outcome","",""
"_Sgz0wGEUEDiJEaWoc7K3-g","Stakeholder","Stakeholder","<p>Hallo Tobi</p><p>&nbsp;</p>",""
"_UNx5AWF5EDi0rMmkw2SVnQ","Value","Ich bin Toll","",""
