"ID","Type","Name","Documentation","Specialization"
"9756c58e","ArchimateModel","5 Repository","",""
"f4a2ffd1","ApplicationComponent","class criteria","",""
"f27485d9","ApplicationComponent","class criteria","",""
"ba2bb2ff","ApplicationComponent","class mapper (copy)","",""
"280ffd1a","ApplicationComponent","class mapper 1","",""
"03601a69","ApplicationComponent","class mapper 2","",""
"1e3cafd9","ApplicationComponent","class mapper 3","",""
"1a04d45b","ApplicationComponent","class query object","",""
"7b7e580c","ApplicationComponent","class query object","",""
"90500954","ApplicationComponent","class type 1","",""
"66c9d22d","ApplicationComponent","class type 2","",""
"932c64f5","ApplicationComponent","class type 3","",""
"4e032a93","ApplicationComponent","collection","",""
"a9e7d6f4","ApplicationComponent","repository 1 (Subtype of collection)","",""
"b932027c","ApplicationComponent","Repository 2","",""
"f7774901","ApplicationComponent","Repository 3","",""
"a1b00232","ApplicationFunction","Create/insert (v_object)","",""
"82b4ab9c","ApplicationFunction","Create/insert (v_object)","",""
"129205c2","ApplicationFunction","Create/insert (v_object)","",""
"6acb51c4","ApplicationFunction","Create/insert (v_object) (copy)","",""
"62997f21","ApplicationFunction","Create/insert (v_object) (copy) (copy)","",""
"486098e1","ApplicationFunction","Create/insert (v_object) (copy) (copy) (copy)","",""
"425b790e","ApplicationFunction","Delete (id)","",""
"d630e8de","ApplicationFunction","Delete (id)","",""
"5c4378a6","ApplicationFunction","Delete (id) ","",""
"2a14e5ef","ApplicationFunction","Delete (id) (copy)","",""
"955eecfc","ApplicationFunction","Delete (id) (copy)","",""
"09076434","ApplicationFunction","Delete (id) (copy) (copy)","",""
"9d0ac2c2","ApplicationFunction","Delete (id) (copy) (copy) (copy)","",""
"7b60e38c","ApplicationFunction","exec(criteria)","",""
"5e3f2c53","ApplicationFunction","factory (props)","",""
"71a6c7c2","ApplicationFunction","factory (props) ","",""
"9c33eb23","ApplicationFunction","factory (props)","",""
"5a706feb","ApplicationFunction","factory (props) (copy)","",""
"d8f8819a","ApplicationFunction","factory (props) (copy)","",""
"8a601097","ApplicationFunction","factory (props) (copy) (copy)","",""
"fb729cc2","ApplicationFunction","factory (props) (copy) (copy) (copy)","",""
"6ff86ad9","ApplicationFunction","Find(query object)","",""
"95fda305","ApplicationFunction","Find(query object)","",""
"2a4c25b8","ApplicationFunction","Find(query object) ","",""
"306444da","ApplicationFunction","Find(query object) (copy)","",""
"474547e7","ApplicationFunction","Find(query object) (copy)","",""
"cdcf6eda","ApplicationFunction","Find(query object) (copy) (copy)","",""
"9adb6aed","ApplicationFunction","Find(query object) (copy) (copy) (copy)","",""
"79f66f48","ApplicationFunction","matching (criteria) (copy)","",""
