"ID","Type","Name","Documentation","Specialization"
"799298e6-cefa-47aa-986f-1ab9d5c10d21","ArchimateModel","(new model)","",""
"6be02ba1-0489-4ea4-b62b-a22d302cbefe","Capability","Capability","This is a documentation test",""
"5382f2ab-3c02-44b3-a26f-ceaff8b4df02","CourseOfAction","Course of Action","",""
"40eb5bd6-4d7c-4c27-98a8-602f935ed405","Resource","Resource","",""
"7d9dd269-b44a-4067-b10c-2c0563f3efea","ValueStream","Value Stream","",""
"2d2786e0-cad0-4684-9bb4-efc806502b18","BusinessActor","a","",""
"35fad4b4-cf0b-46a8-832a-2da1d522b4b5","BusinessActor","Business Actor","",""
"3a17d18c-78b4-47e1-bf17-0ff3ac741b7a","BusinessActor","Business Actor","",""
"6657839b-3f7f-46e5-87b5-30299fee9e59","BusinessCollaboration","Business Collaboration","",""
"d0c22546-6ae6-4ba9-a141-222cc6eea16d","BusinessCollaboration","Business Collaboration","",""
"b359fb3d-fd7b-4752-8241-99b9cbe7d3e3","BusinessEvent","Business Event","",""
"aef2a0fd-3905-4db2-b527-08bb903d71a3","BusinessFunction","Business Function","",""
"54b6e024-2be6-4686-a5b6-2ac904235db2","BusinessInteraction","Business Interaction","",""
"e65afa9e-ef98-4fc0-969b-6d7af4de225e","BusinessInterface","Business Interface","",""
"9b2ba4e7-1dc2-48a2-bd74-0e3ddbb70fd8","BusinessObject","Business Object","",""
"4ab9baa5-2ebe-4093-a8e8-fbd5b17b87c5","BusinessProcess","a","",""
"513c2b8d-78ab-484c-b9b4-6e8f721f31b0","BusinessProcess","b","",""
"e75e68cf-0ca7-47dd-aeaf-071b69a87b12","BusinessProcess","Business Process","",""
"ce1bdaf3-3759-4df2-b2b9-7e4399042f7e","BusinessProcess","Business Process A","",""
"27d9e8b2-ded2-4eb1-8883-062cd3c8dc14","BusinessProcess","Business Process B","",""
"0e9e5337-c1d5-4465-8966-3c33e7aa9306","BusinessProcess","Business Process C","",""
"04c7398e-14b0-4a69-a61e-b729b94c3488","BusinessProcess","Business Process D","",""
"75dfdfeb-77ae-4b35-812a-2eb131ba18df","BusinessProcess","c","",""
"5a22b53b-0f6d-4aae-8e08-51464d63f5ad","BusinessProcess","c","",""
"eeda300f-6a89-4324-a945-b5a3fe74297e","BusinessProcess","c1","",""
